   W         M3-(eta_p)
 (MeV)      Re         Im
 1486.0    0.000007   0.000065
 1487.0    0.000003   0.000024
 1488.0   -0.000001  -0.000016
 1489.0   -0.000006  -0.000056
 1490.0   -0.000010  -0.000096
 1491.0   -0.000014  -0.000136
 1492.0   -0.000018  -0.000176
 1493.0   -0.000022  -0.000217
 1494.0   -0.000027  -0.000257
 1495.0   -0.000031  -0.000297
 1496.0   -0.000037  -0.000349
 1497.0   -0.000043  -0.000401
 1498.0   -0.000050  -0.000452
 1499.0   -0.000056  -0.000504
 1500.0   -0.000062  -0.000556
 1501.0   -0.000069  -0.000618
 1502.0   -0.000076  -0.000680
 1503.0   -0.000084  -0.000742
 1504.0   -0.000091  -0.000804
 1505.0   -0.000098  -0.000866
 1506.0   -0.000107  -0.000935
 1507.0   -0.000117  -0.001004
 1508.0   -0.000126  -0.001073
 1509.0   -0.000136  -0.001142
 1510.0   -0.000145  -0.001211
 1511.0   -0.000158  -0.001285
 1512.0   -0.000170  -0.001360
 1513.0   -0.000183  -0.001435
 1514.0   -0.000195  -0.001509
 1515.0   -0.000208  -0.001584
 1516.0   -0.000223  -0.001664
 1517.0   -0.000239  -0.001744
 1518.0   -0.000254  -0.001824
 1519.0   -0.000270  -0.001904
 1520.0   -0.000285  -0.001984
 1521.0   -0.000305  -0.002068
 1522.0   -0.000326  -0.002152
 1523.0   -0.000346  -0.002236
 1524.0   -0.000366  -0.002319
 1525.0   -0.000386  -0.002403
 1526.0   -0.000412  -0.002491
 1527.0   -0.000437  -0.002578
 1528.0   -0.000463  -0.002665
 1529.0   -0.000488  -0.002753
 1530.0   -0.000514  -0.002840
 1531.0   -0.000546  -0.002930
 1532.0   -0.000579  -0.003020
 1533.0   -0.000612  -0.003110
 1534.0   -0.000644  -0.003199
 1535.0   -0.000677  -0.003289
 1536.0   -0.000718  -0.003381
 1537.0   -0.000759  -0.003474
 1538.0   -0.000801  -0.003566
 1539.0   -0.000842  -0.003658
 1540.0   -0.000883  -0.003750
 1541.0   -0.000935  -0.003844
 1542.0   -0.000987  -0.003938
 1543.0   -0.001038  -0.004032
 1544.0   -0.001090  -0.004127
 1545.0   -0.001142  -0.004221
 1546.0   -0.001207  -0.004317
 1547.0   -0.001272  -0.004413
 1548.0   -0.001336  -0.004510
