   W         E0+(eta_p)
 (MeV)      Re      Im
 1486.0   11.732  10.816
 1487.0   10.932  11.100
 1488.0   10.397  11.313
 1489.0    9.962  11.495
 1490.0    9.582  11.657
 1491.0    9.237  11.805
 1492.0    8.916  11.941
 1493.0    8.613  12.068
 1494.0    8.325  12.186
 1495.0    8.047  12.296
 1496.0    7.778  12.399
 1497.0    7.517  12.495
 1498.0    7.262  12.585
 1499.0    7.012  12.669
 1500.0    6.767  12.747
 1501.0    6.527  12.819
 1502.0    6.289  12.886
 1503.0    6.056  12.948
 1504.0    5.825  13.005
 1505.0    5.597  13.056
 1506.0    5.371  13.103
 1507.0    5.148  13.145
 1508.0    4.928  13.182
 1509.0    4.710  13.215
 1510.0    4.494  13.243
 1511.0    4.280  13.266
 1512.0    4.068  13.286
 1513.0    3.858  13.301
 1514.0    3.651  13.311
 1515.0    3.446  13.318
 1516.0    3.242  13.320
 1517.0    3.041  13.319
 1518.0    2.842  13.313
 1519.0    2.645  13.304
 1520.0    2.451  13.291
 1521.0    2.258  13.275
 1522.0    2.068  13.255
 1523.0    1.880  13.231
 1524.0    1.695  13.204
 1525.0    1.511  13.173
 1526.0    1.330  13.140
 1527.0    1.152  13.103
 1528.0    0.976  13.063
 1529.0    0.802  13.020
 1530.0    0.630  12.974
 1531.0    0.461  12.925
 1532.0    0.295  12.874
 1533.0    0.131  12.819
 1534.0   -0.030  12.763
 1535.0   -0.189  12.703
 1536.0   -0.346  12.642
 1537.0   -0.500  12.578
 1538.0   -0.651  12.511
 1539.0   -0.800  12.443
 1540.0   -0.946  12.372
 1541.0   -1.090  12.300
 1542.0   -1.231  12.225
 1543.0   -1.369  12.149
 1544.0   -1.505  12.070
 1545.0   -1.638  11.990
 1546.0   -1.769  11.909
 1547.0   -1.897  11.825
 1548.0   -2.023  11.740
 1549.0   -2.146  11.654
 1550.0   -2.267  11.566
 1551.0   -2.385  11.477
 1552.0   -2.501  11.387
 1553.0   -2.614  11.295
 1554.0   -2.724  11.203
 1555.0   -2.832  11.109
 1556.0   -2.938  11.014
 1557.0   -3.041  10.918
 1558.0   -3.142  10.821
 1559.0   -3.241  10.723
 1560.0   -3.337  10.625
 1561.0   -3.431  10.525
 1562.0   -3.522  10.425
 1563.0   -3.611  10.324
 1564.0   -3.698  10.222
 1565.0   -3.782  10.120
 1566.0   -3.864  10.017
 1567.0   -3.944   9.913
 1568.0   -4.022   9.809
 1569.0   -4.097   9.704
 1570.0   -4.171   9.599
 1571.0   -4.242   9.493
 1572.0   -4.310   9.387
 1573.0   -4.377   9.280
 1574.0   -4.442   9.174
 1575.0   -4.504   9.066
 1576.0   -4.564   8.959
 1577.0   -4.622   8.851
 1578.0   -4.678   8.743
 1579.0   -4.732   8.634
 1580.0   -4.784   8.526
 1581.0   -4.833   8.417
 1582.0   -4.881   8.308
 1583.0   -4.926   8.198
 1584.0   -4.970   8.089
 1585.0   -5.011   7.980
 1586.0   -5.050   7.870
 1587.0   -5.087   7.760
 1588.0   -5.122   7.651
 1589.0   -5.155   7.541
 1590.0   -5.186   7.431
 1591.0   -5.214   7.322
 1592.0   -5.241   7.212
 1593.0   -5.265   7.102
 1594.0   -5.288   6.993
 1595.0   -5.308   6.884
 1596.0   -5.326   6.775
 1597.0   -5.342   6.666
 1598.0   -5.355   6.557
 1599.0   -5.367   6.449
 1600.0   -5.376   6.341
 1601.0   -5.383   6.234
 1602.0   -5.388   6.127
