   W         M3-(eta_p)
 (MeV)      Re      Im
 1486.0    0.000   0.000
 1487.0    0.000   0.000
 1488.0    0.000   0.000
 1489.0    0.000   0.000
 1490.0    0.000   0.000
 1491.0    0.000   0.000
 1492.0    0.001   0.000
 1493.0    0.001   0.000
 1494.0    0.001   0.000
 1495.0    0.001   0.000
 1496.0    0.001   0.000
 1497.0    0.001   0.000
 1498.0    0.002   0.000
 1499.0    0.002   0.000
 1500.0    0.002   0.000
 1501.0    0.002   0.000
 1502.0    0.002   0.000
 1503.0    0.003   0.000
 1504.0    0.003   0.000
 1505.0    0.003   0.000
 1506.0    0.003   0.000
 1507.0    0.004   0.000
 1508.0    0.004   0.000
 1509.0    0.004   0.000
 1510.0    0.004   0.000
 1511.0    0.005   0.000
 1512.0    0.005   0.000
 1513.0    0.005   0.000
 1514.0    0.005   0.000
 1515.0    0.006   0.000
 1516.0    0.006   0.000
 1517.0    0.006   0.000
 1518.0    0.007   0.000
 1519.0    0.007   0.000
 1520.0    0.007   0.001
 1521.0    0.008   0.001
 1522.0    0.008   0.001
 1523.0    0.008   0.001
 1524.0    0.009   0.001
 1525.0    0.009   0.001
 1526.0    0.009   0.001
 1527.0    0.010   0.001
 1528.0    0.010   0.001
 1529.0    0.010   0.001
 1530.0    0.011   0.001
 1531.0    0.011   0.001
 1532.0    0.012   0.001
 1533.0    0.012   0.001
 1534.0    0.012   0.001
 1535.0    0.013   0.001
 1536.0    0.013   0.001
 1537.0    0.014   0.001
 1538.0    0.014   0.001
 1539.0    0.014   0.001
 1540.0    0.015   0.001
 1541.0    0.015   0.002
 1542.0    0.016   0.002
 1543.0    0.016   0.002
 1544.0    0.017   0.002
 1545.0    0.017   0.002
 1546.0    0.017   0.002
 1547.0    0.018   0.002
 1548.0    0.018   0.002
 1549.0    0.019   0.002
 1550.0    0.019   0.002
 1551.0    0.020   0.002
 1552.0    0.020   0.002
 1553.0    0.021   0.003
 1554.0    0.021   0.003
 1555.0    0.022   0.003
 1556.0    0.022   0.003
 1557.0    0.023   0.003
 1558.0    0.023   0.003
 1559.0    0.024   0.003
 1560.0    0.024   0.003
 1561.0    0.025   0.003
 1562.0    0.025   0.004
 1563.0    0.026   0.004
 1564.0    0.026   0.004
 1565.0    0.027   0.004
 1566.0    0.028   0.004
 1567.0    0.028   0.004
 1568.0    0.029   0.004
 1569.0    0.029   0.005
 1570.0    0.030   0.005
 1571.0    0.030   0.005
 1572.0    0.031   0.005
 1573.0    0.032   0.005
 1574.0    0.032   0.006
 1575.0    0.033   0.006
 1576.0    0.033   0.006
 1577.0    0.034   0.006
 1578.0    0.035   0.006
 1579.0    0.035   0.007
 1580.0    0.036   0.007
 1581.0    0.036   0.007
 1582.0    0.037   0.007
 1583.0    0.038   0.008
 1584.0    0.038   0.008
 1585.0    0.039   0.008
 1586.0    0.040   0.008
 1587.0    0.040   0.009
 1588.0    0.041   0.009
 1589.0    0.041   0.009
 1590.0    0.042   0.010
 1591.0    0.043   0.010
 1592.0    0.043   0.010
 1593.0    0.044   0.011
 1594.0    0.045   0.011
