   W         E0+(eta_p)
 (MeV)      Re      Im
 1487.0   11.475  10.494
 1488.0   10.864  10.767
 1489.0   10.401  10.992
 1490.0   10.007  11.190
 1491.0    9.653  11.371
 1492.0    9.326  11.537
 1493.0    9.018  11.692
 1494.0    8.724  11.837
 1495.0    8.440  11.972
 1496.0    8.165  12.099
 1497.0    7.896  12.219
 1498.0    7.633  12.331
 1499.0    7.374  12.435
 1500.0    7.119  12.533
 1501.0    6.868  12.625
 1502.0    6.620  12.710
 1503.0    6.374  12.788
 1504.0    6.130  12.860
 1505.0    5.889  12.927
 1506.0    5.650  12.987
 1507.0    5.413  13.041
 1508.0    5.178  13.090
 1509.0    4.945  13.132
 1510.0    4.713  13.170
 1511.0    4.484  13.201
 1512.0    4.257  13.227
 1513.0    4.032  13.248
 1514.0    3.809  13.264
 1515.0    3.588  13.274
 1516.0    3.369  13.280
 1517.0    3.153  13.280
 1518.0    2.939  13.276
 1519.0    2.727  13.267
 1520.0    2.518  13.253
 1521.0    2.311  13.235
 1522.0    2.107  13.212
 1523.0    1.906  13.185
 1524.0    1.707  13.154
 1525.0    1.512  13.119
 1526.0    1.319  13.080
 1527.0    1.129  13.038
 1528.0    0.941  12.991
 1529.0    0.757  12.941
 1530.0    0.576  12.888
 1531.0    0.398  12.832
 1532.0    0.224  12.772
 1533.0    0.052  12.709
 1534.0   -0.117  12.644
 1535.0   -0.282  12.575
 1536.0   -0.444  12.504
 1537.0   -0.603  12.431
 1538.0   -0.759  12.355
 1539.0   -0.911  12.277
 1540.0   -1.061  12.196
 1541.0   -1.207  12.114
 1542.0   -1.350  12.030
 1543.0   -1.489  11.943
 1544.0   -1.626  11.855
 1545.0   -1.759  11.766
 1546.0   -1.889  11.675
 1547.0   -2.016  11.583
 1548.0   -2.140  11.489
 1549.0   -2.261  11.394
 1550.0   -2.378  11.298
 1551.0   -2.493  11.200
 1552.0   -2.605  11.102
 1553.0   -2.714  11.003
 1554.0   -2.820  10.904
 1555.0   -2.923  10.803
 1556.0   -3.023  10.702
 1557.0   -3.120  10.600
 1558.0   -3.215  10.498
 1559.0   -3.307  10.395
 1560.0   -3.396  10.292
 1561.0   -3.483  10.188
 1562.0   -3.567  10.084
 1563.0   -3.648   9.980
 1564.0   -3.727   9.876
 1565.0   -3.804   9.771
 1566.0   -3.878   9.667
 1567.0   -3.950   9.562
 1568.0   -4.019   9.457
 1569.0   -4.087   9.352
 1570.0   -4.152   9.248
 1571.0   -4.215   9.143
 1572.0   -4.275   9.039
 1573.0   -4.334   8.934
 1574.0   -4.390   8.830
 1575.0   -4.445   8.726
 1576.0   -4.497   8.622
 1577.0   -4.548   8.518
 1578.0   -4.597   8.414
 1579.0   -4.643   8.311
 1580.0   -4.688   8.208
 1581.0   -4.731   8.105
 1582.0   -4.773   8.003
 1583.0   -4.812   7.900
 1584.0   -4.850   7.798
 1585.0   -4.886   7.697
 1586.0   -4.920   7.595
 1587.0   -4.953   7.494
 1588.0   -4.984   7.393
 1589.0   -5.014   7.292
 1590.0   -5.041   7.192
 1591.0   -5.068   7.092
 1592.0   -5.092   6.992
 1593.0   -5.115   6.893
 1594.0   -5.137   6.794
 1595.0   -5.157   6.695
 1596.0   -5.175   6.597
 1597.0   -5.192   6.499
 1598.0   -5.207   6.401
 1599.0   -5.221   6.304
 1600.0   -5.233   6.207
 1601.0   -5.244   6.110
 1602.0   -5.253   6.014
 1603.0   -5.260   5.918
 1604.0   -5.266   5.822
 1605.0   -5.271   5.727
 1606.0   -5.273   5.633
 1607.0   -5.275   5.538
 1608.0   -5.274   5.444
 1609.0   -5.272   5.351
 1610.0   -5.268   5.258
 1611.0   -5.263   5.166
 1612.0   -5.256   5.074
 1613.0   -5.247   4.983
 1614.0   -5.237   4.893
 1615.0   -5.225   4.803
 1616.0   -5.211   4.714
 1617.0   -5.196   4.625
 1618.0   -5.179   4.538
 1619.0   -5.160   4.451
 1620.0   -5.139   4.366
 1621.0   -5.117   4.281
 1622.0   -5.093   4.197
 1623.0   -5.068   4.115
 1624.0   -5.040   4.034
 1625.0   -5.011   3.954
 1626.0   -4.980   3.875
 1627.0   -4.948   3.798
 1628.0   -4.914   3.722
 1629.0   -4.879   3.648
 1630.0   -4.842   3.575
 1631.0   -4.804   3.504
 1632.0   -4.764   3.435
 1633.0   -4.723   3.367
 1634.0   -4.681   3.302
 1635.0   -4.638   3.238
 1636.0   -4.594   3.177
 1637.0   -4.549   3.118
 1638.0   -4.502   3.060
 1639.0   -4.455   3.005
 1640.0   -4.408   2.952
 1641.0   -4.360   2.901
 1642.0   -4.311   2.852
 1643.0   -4.262   2.806
 1644.0   -4.213   2.761
 1645.0   -4.164   2.719
 1646.0   -4.114   2.679
 1647.0   -4.065   2.641
 1648.0   -4.016   2.606
 1649.0   -3.967   2.572
 1650.0   -3.918   2.540
 1651.0   -3.870   2.511
 1652.0   -3.823   2.483
 1653.0   -3.776   2.457
 1654.0   -3.730   2.433
 1655.0   -3.685   2.411
 1656.0   -3.640   2.390
 1657.0   -3.596   2.371
 1658.0   -3.554   2.353
 1659.0   -3.512   2.337
