   W         E2-(eta_p)
 (MeV)      Re      Im
 1487.0    0.009   0.011
 1488.0    0.019   0.025
 1489.0    0.029   0.039
 1490.0    0.038   0.054
 1491.0    0.047   0.068
 1492.0    0.055   0.083
 1493.0    0.063   0.099
 1494.0    0.070   0.115
 1495.0    0.076   0.131
 1496.0    0.082   0.147
 1497.0    0.088   0.163
 1498.0    0.092   0.180
 1499.0    0.096   0.196
 1500.0    0.100   0.213
 1501.0    0.102   0.230
 1502.0    0.104   0.247
 1503.0    0.106   0.263
 1504.0    0.106   0.280
 1505.0    0.106   0.297
 1506.0    0.106   0.313
 1507.0    0.104   0.329
 1508.0    0.102   0.345
 1509.0    0.100   0.361
 1510.0    0.097   0.376
 1511.0    0.093   0.391
 1512.0    0.089   0.406
 1513.0    0.084   0.420
 1514.0    0.079   0.434
 1515.0    0.073   0.448
 1516.0    0.067   0.461
 1517.0    0.060   0.473
 1518.0    0.054   0.486
 1519.0    0.046   0.497
 1520.0    0.039   0.508
 1521.0    0.031   0.519
 1522.0    0.023   0.529
 1523.0    0.015   0.539
 1524.0    0.006   0.548
 1525.0   -0.002   0.556
 1526.0   -0.011   0.564
 1527.0   -0.019   0.572
 1528.0   -0.028   0.579
 1529.0   -0.037   0.586
 1530.0   -0.046   0.592
 1531.0   -0.055   0.598
 1532.0   -0.064   0.603
 1533.0   -0.072   0.608
 1534.0   -0.081   0.612
 1535.0   -0.090   0.616
 1536.0   -0.098   0.620
 1537.0   -0.107   0.623
 1538.0   -0.115   0.626
 1539.0   -0.123   0.629
 1540.0   -0.131   0.631
 1541.0   -0.139   0.633
 1542.0   -0.147   0.634
 1543.0   -0.154   0.636
 1544.0   -0.162   0.637
 1545.0   -0.169   0.638
 1546.0   -0.176   0.638
 1547.0   -0.183   0.638
 1548.0   -0.190   0.639
 1549.0   -0.196   0.638
 1550.0   -0.203   0.638
 1551.0   -0.209   0.638
 1552.0   -0.215   0.637
 1553.0   -0.221   0.636
 1554.0   -0.226   0.635
 1555.0   -0.232   0.634
 1556.0   -0.237   0.633
 1557.0   -0.242   0.632
 1558.0   -0.247   0.631
 1559.0   -0.251   0.629
 1560.0   -0.256   0.627
 1561.0   -0.260   0.626
 1562.0   -0.265   0.624
 1563.0   -0.269   0.622
 1564.0   -0.273   0.620
 1565.0   -0.276   0.618
 1566.0   -0.280   0.616
 1567.0   -0.283   0.614
 1568.0   -0.287   0.612
 1569.0   -0.290   0.610
 1570.0   -0.293   0.608
 1571.0   -0.296   0.606
 1572.0   -0.298   0.603
 1573.0   -0.301   0.601
 1574.0   -0.304   0.599
 1575.0   -0.306   0.597
 1576.0   -0.308   0.594
 1577.0   -0.310   0.592
 1578.0   -0.312   0.590
 1579.0   -0.314   0.587
 1580.0   -0.316   0.585
 1581.0   -0.318   0.583
 1582.0   -0.319   0.580
 1583.0   -0.321   0.578
 1584.0   -0.322   0.576
 1585.0   -0.324   0.573
 1586.0   -0.325   0.571
 1587.0   -0.326   0.569
 1588.0   -0.327   0.566
 1589.0   -0.328   0.564
 1590.0   -0.329   0.562
 1591.0   -0.330   0.560
 1592.0   -0.330   0.558
 1593.0   -0.331   0.555
 1594.0   -0.331   0.553
 1595.0   -0.332   0.551
