   W         M2-(eta_p)
 (MeV)      Re      Im
 1487.0    0.006   0.008
 1488.0    0.012   0.017
 1489.0    0.018   0.026
 1490.0    0.024   0.035
 1491.0    0.029   0.045
 1492.0    0.034   0.055
 1493.0    0.039   0.065
 1494.0    0.043   0.076
 1495.0    0.047   0.086
 1496.0    0.051   0.097
 1497.0    0.054   0.108
 1498.0    0.056   0.119
 1499.0    0.059   0.130
 1500.0    0.060   0.141
 1501.0    0.061   0.152
 1502.0    0.062   0.163
 1503.0    0.063   0.174
 1504.0    0.062   0.185
 1505.0    0.062   0.196
 1506.0    0.061   0.206
 1507.0    0.059   0.217
 1508.0    0.058   0.227
 1509.0    0.055   0.238
 1510.0    0.053   0.248
 1511.0    0.049   0.257
 1512.0    0.046   0.267
 1513.0    0.042   0.276
 1514.0    0.038   0.285
 1515.0    0.034   0.294
 1516.0    0.029   0.302
 1517.0    0.024   0.311
 1518.0    0.019   0.318
 1519.0    0.013   0.326
 1520.0    0.007   0.333
 1521.0    0.001   0.339
 1522.0   -0.005   0.346
 1523.0   -0.011   0.352
 1524.0   -0.017   0.357
 1525.0   -0.024   0.363
 1526.0   -0.030   0.368
 1527.0   -0.037   0.372
 1528.0   -0.043   0.377
 1529.0   -0.050   0.380
 1530.0   -0.057   0.384
 1531.0   -0.063   0.387
 1532.0   -0.070   0.390
 1533.0   -0.077   0.393
 1534.0   -0.083   0.395
 1535.0   -0.090   0.397
 1536.0   -0.096   0.399
 1537.0   -0.103   0.401
 1538.0   -0.109   0.402
 1539.0   -0.116   0.403
 1540.0   -0.122   0.404
 1541.0   -0.128   0.404
 1542.0   -0.134   0.405
 1543.0   -0.140   0.405
 1544.0   -0.146   0.405
 1545.0   -0.151   0.404
 1546.0   -0.157   0.404
 1547.0   -0.162   0.403
 1548.0   -0.168   0.402
 1549.0   -0.173   0.401
 1550.0   -0.178   0.400
 1551.0   -0.183   0.399
 1552.0   -0.188   0.398
 1553.0   -0.192   0.396
 1554.0   -0.197   0.395
 1555.0   -0.202   0.393
 1556.0   -0.206   0.391
 1557.0   -0.210   0.389
 1558.0   -0.214   0.387
 1559.0   -0.218   0.385
 1560.0   -0.222   0.383
 1561.0   -0.226   0.380
 1562.0   -0.230   0.378
 1563.0   -0.233   0.375
 1564.0   -0.237   0.373
 1565.0   -0.240   0.370
 1566.0   -0.243   0.368
 1567.0   -0.247   0.365
 1568.0   -0.250   0.362
 1569.0   -0.253   0.359
 1570.0   -0.255   0.356
 1571.0   -0.258   0.353
 1572.0   -0.261   0.351
 1573.0   -0.263   0.347
 1574.0   -0.266   0.344
 1575.0   -0.268   0.341
 1576.0   -0.271   0.338
 1577.0   -0.273   0.335
 1578.0   -0.275   0.332
 1579.0   -0.277   0.329
 1580.0   -0.279   0.325
 1581.0   -0.281   0.322
 1582.0   -0.283   0.319
 1583.0   -0.284   0.315
