   W         M2-(eta_p)
 (MeV)      Re      Im
 1486.0    0.001   0.000
 1487.0    0.003   0.000
 1488.0    0.004   0.000
 1489.0    0.006   0.000
 1490.0    0.008   0.000
 1491.0    0.010   0.000
 1492.0    0.011   0.000
 1493.0    0.013   0.000
 1494.0    0.015   0.000
 1495.0    0.017   0.000
 1496.0    0.018   0.000
 1497.0    0.020   0.000
 1498.0    0.022   0.000
 1499.0    0.024   0.000
 1500.0    0.025   0.000
 1501.0    0.027   0.000
 1502.0    0.029   0.000
 1503.0    0.030   0.000
 1504.0    0.032   0.000
 1505.0    0.034   0.000
 1506.0    0.036   0.000
 1507.0    0.037   0.000
 1508.0    0.039   0.000
 1509.0    0.041   0.000
 1510.0    0.043   0.000
 1511.0    0.044   0.000
 1512.0    0.046   0.000
 1513.0    0.048   0.000
 1514.0    0.049   0.000
 1515.0    0.051   0.000
 1516.0    0.053   0.000
 1517.0    0.055   0.000
 1518.0    0.056   0.000
 1519.0    0.058   0.000
 1520.0    0.060   0.000
 1521.0    0.061   0.000
 1522.0    0.063   0.000
 1523.0    0.065   0.000
 1524.0    0.066   0.000
 1525.0    0.068   0.000
 1526.0    0.070   0.000
 1527.0    0.071   0.000
 1528.0    0.073   0.000
 1529.0    0.075   0.000
 1530.0    0.076   0.000
 1531.0    0.078   0.000
 1532.0    0.080   0.000
 1533.0    0.081   0.000
 1534.0    0.083   0.000
 1535.0    0.085   0.000
 1536.0    0.086   0.000
 1537.0    0.088   0.000
 1538.0    0.090   0.000
 1539.0    0.091   0.000
 1540.0    0.093   0.000
 1541.0    0.094   0.000
 1542.0    0.096   0.000
 1543.0    0.098   0.000
 1544.0    0.099   0.000
 1545.0    0.101   0.000
 1546.0    0.103   0.000
 1547.0    0.104   0.000
 1548.0    0.106   0.000
 1549.0    0.107   0.000
 1550.0    0.109   0.000
 1551.0    0.111   0.000
 1552.0    0.112   0.000
 1553.0    0.114   0.000
 1554.0    0.115   0.000
 1555.0    0.117   0.000
 1556.0    0.119   0.000
 1557.0    0.120   0.000
 1558.0    0.122   0.000
 1559.0    0.123   0.000
 1560.0    0.125   0.000
 1561.0    0.127   0.000
 1562.0    0.128   0.000
 1563.0    0.130   0.000
 1564.0    0.131   0.000
 1565.0    0.133   0.000
 1566.0    0.134   0.000
 1567.0    0.136   0.000
 1568.0    0.138   0.000
 1569.0    0.139   0.000
 1570.0    0.141   0.000
 1571.0    0.142   0.000
 1572.0    0.144   0.000
 1573.0    0.145   0.000
 1574.0    0.147   0.000
 1575.0    0.148   0.000
 1576.0    0.150   0.000
 1577.0    0.151   0.000
 1578.0    0.153   0.000
 1579.0    0.154   0.000
 1580.0    0.156   0.000
 1581.0    0.158   0.000
 1582.0    0.159   0.000
 1583.0    0.161   0.000
 1584.0    0.162   0.000
 1585.0    0.164   0.000
 1586.0    0.165   0.000
 1587.0    0.167   0.000
 1588.0    0.168   0.000
 1589.0    0.170   0.000
 1590.0    0.171   0.000
 1591.0    0.173   0.000
 1592.0    0.174   0.000
 1593.0    0.175   0.000
 1594.0    0.177   0.000
 1595.0    0.178   0.000
 1596.0    0.180   0.000
 1597.0    0.181   0.000
 1598.0    0.183   0.000
 1599.0    0.184   0.000
 1600.0    0.186   0.000
 1601.0    0.187   0.000
 1602.0    0.189   0.000
 1603.0    0.190   0.000
 1604.0    0.192   0.000
 1605.0    0.193   0.000
 1606.0    0.194   0.000
 1607.0    0.196   0.000
 1608.0    0.197   0.000
 1609.0    0.199   0.000
 1610.0    0.200   0.000
 1611.0    0.202   0.000
 1612.0    0.203   0.000
 1613.0    0.204   0.000
 1614.0    0.206   0.000
 1615.0    0.207   0.000
 1616.0    0.209   0.000
 1617.0    0.210   0.000
 1618.0    0.211   0.000
 1619.0    0.213   0.000
 1620.0    0.214   0.000
 1621.0    0.216   0.000
 1622.0    0.217   0.000
 1623.0    0.218   0.000
 1624.0    0.220   0.000
 1625.0    0.221   0.000
 1626.0    0.222   0.000
 1627.0    0.224   0.000
 1628.0    0.225   0.000
 1629.0    0.227   0.000
 1630.0    0.228   0.000
 1631.0    0.229   0.000
 1632.0    0.231   0.000
 1633.0    0.232   0.000
 1634.0    0.233   0.000
 1635.0    0.235   0.000
 1636.0    0.236   0.000
 1637.0    0.237   0.000
 1638.0    0.239   0.000
 1639.0    0.240   0.000
 1640.0    0.241   0.000
 1641.0    0.243   0.000
 1642.0    0.244   0.000
 1643.0    0.245   0.000
 1644.0    0.247   0.000
 1645.0    0.248   0.000
 1646.0    0.249   0.000
 1647.0    0.251   0.000
 1648.0    0.252   0.000
 1649.0    0.253   0.000
 1650.0    0.254   0.000
 1651.0    0.256   0.000
 1652.0    0.257   0.000
 1653.0    0.258   0.000
 1654.0    0.260   0.000
 1655.0    0.261   0.000
 1656.0    0.262   0.000
 1657.0    0.263   0.000
 1658.0    0.265   0.000
 1659.0    0.266   0.000
 1660.0    0.267   0.000
 1661.0    0.268   0.000
 1662.0    0.270   0.000
 1663.0    0.271   0.000
 1664.0    0.272   0.000
 1665.0    0.273   0.000
 1666.0    0.275   0.000
 1667.0    0.276   0.000
 1668.0    0.277   0.000
 1669.0    0.278   0.000
 1670.0    0.280   0.000
 1671.0    0.281   0.000
 1672.0    0.282   0.000
 1673.0    0.283   0.000
 1674.0    0.284   0.000
 1675.0    0.286   0.000
 1676.0    0.287   0.000
 1677.0    0.288   0.000
 1678.0    0.289   0.000
 1679.0    0.291   0.000
 1680.0    0.292   0.000
 1681.0    0.293   0.000
 1682.0    0.294   0.000
 1683.0    0.295   0.000
 1684.0    0.296   0.000
 1685.0    0.298   0.000
 1686.0    0.299   0.000
 1687.0    0.300   0.000
 1688.0    0.301   0.000
 1689.0    0.302   0.000
 1690.0    0.303   0.000
 1691.0    0.305   0.000
 1692.0    0.306   0.000
 1693.0    0.307   0.000
 1694.0    0.308   0.000
 1695.0    0.309   0.000
 1696.0    0.310   0.000
 1697.0    0.312   0.000
 1698.0    0.313   0.000
 1699.0    0.314   0.000
 1700.0    0.315   0.000
 1701.0    0.316   0.000
 1702.0    0.317   0.000
 1703.0    0.318   0.000
 1704.0    0.319   0.000
 1705.0    0.321   0.000
 1706.0    0.322   0.000
 1707.0    0.323   0.000
 1708.0    0.324   0.000
 1709.0    0.325   0.000
 1710.0    0.326   0.000
 1711.0    0.327   0.000
 1712.0    0.328   0.000
 1713.0    0.329   0.000
 1714.0    0.330   0.000
 1715.0    0.332   0.000
 1716.0    0.333   0.000
 1717.0    0.334   0.000
 1718.0    0.335   0.000
 1719.0    0.336   0.000
 1720.0    0.337   0.000
 1721.0    0.338   0.000
 1722.0    0.339   0.000
 1723.0    0.340   0.000
 1724.0    0.341   0.000
 1725.0    0.342   0.000
 1726.0    0.343   0.000
 1727.0    0.344   0.000
 1728.0    0.345   0.000
 1729.0    0.346   0.000
 1730.0    0.347   0.000
 1731.0    0.348   0.000
 1732.0    0.349   0.000
 1733.0    0.350   0.000
 1734.0    0.352   0.000
 1735.0    0.353   0.000
 1736.0    0.354   0.000
 1737.0    0.355   0.000
 1738.0    0.356   0.000
 1739.0    0.357   0.000
 1740.0    0.358   0.000
 1741.0    0.359   0.000
 1742.0    0.360   0.000
 1743.0    0.361   0.000
 1744.0    0.362   0.000
 1745.0    0.363   0.000
 1746.0    0.364   0.000
 1747.0    0.365   0.000
 1748.0    0.366   0.000
 1749.0    0.366   0.000
 1750.0    0.367   0.000
 1751.0    0.368   0.000
 1752.0    0.369   0.000
 1753.0    0.370   0.000
 1754.0    0.371   0.000
 1755.0    0.372   0.000
 1756.0    0.373   0.000
 1757.0    0.374   0.000
 1758.0    0.375   0.000
 1759.0    0.376   0.000
 1760.0    0.377   0.000
 1761.0    0.378   0.000
 1762.0    0.379   0.000
 1763.0    0.380   0.000
 1764.0    0.381   0.000
 1765.0    0.382   0.000
 1766.0    0.383   0.000
 1767.0    0.384   0.000
 1768.0    0.384   0.000
 1769.0    0.385   0.000
 1770.0    0.386   0.000
 1771.0    0.387   0.000
 1772.0    0.388   0.000
 1773.0    0.389   0.000
 1774.0    0.390   0.000
 1775.0    0.391   0.000
 1776.0    0.392   0.000
 1777.0    0.393   0.000
 1778.0    0.394   0.000
 1779.0    0.394   0.000
 1780.0    0.395   0.000
 1781.0    0.396   0.000
 1782.0    0.397   0.000
 1783.0    0.398   0.000
 1784.0    0.399   0.000
 1785.0    0.400   0.000
 1786.0    0.401   0.000
 1787.0    0.401   0.000
 1788.0    0.402   0.000
 1789.0    0.403   0.000
 1790.0    0.404   0.000
 1791.0    0.405   0.000
 1792.0    0.406   0.000
 1793.0    0.407   0.000
 1794.0    0.407   0.000
 1795.0    0.408   0.000
 1796.0    0.409   0.000
 1797.0    0.410   0.000
 1798.0    0.411   0.000
 1799.0    0.412   0.000
 1800.0    0.412   0.000
 1801.0    0.413   0.000
 1802.0    0.414   0.000
 1803.0    0.415   0.000
 1804.0    0.416   0.000
 1805.0    0.416   0.000
 1806.0    0.417   0.000
 1807.0    0.418   0.000
 1808.0    0.419   0.000
 1809.0    0.420   0.000
 1810.0    0.420   0.000
 1811.0    0.421   0.000
 1812.0    0.422   0.000
 1813.0    0.423   0.000
 1814.0    0.424   0.000
 1815.0    0.424   0.000
 1816.0    0.425   0.000
 1817.0    0.426   0.000
 1818.0    0.427   0.000
 1819.0    0.428   0.000
 1820.0    0.428   0.000
 1821.0    0.429   0.000
 1822.0    0.430   0.000
 1823.0    0.431   0.000
 1824.0    0.431   0.000
 1825.0    0.432   0.000
 1826.0    0.433   0.000
 1827.0    0.434   0.000
 1828.0    0.434   0.000
 1829.0    0.435   0.000
 1830.0    0.436   0.000
 1831.0    0.437   0.000
 1832.0    0.437   0.000
 1833.0    0.438   0.000
 1834.0    0.439   0.000
 1835.0    0.440   0.000
 1836.0    0.440   0.000
 1837.0    0.441   0.000
 1838.0    0.442   0.000
 1839.0    0.442   0.000
 1840.0    0.443   0.000
 1841.0    0.444   0.000
 1842.0    0.445   0.000
 1843.0    0.445   0.000
 1844.0    0.446   0.000
 1845.0    0.447   0.000
 1846.0    0.447   0.000
 1847.0    0.448   0.000
 1848.0    0.449   0.000
 1849.0    0.450   0.000
 1850.0    0.450   0.000
 1851.0    0.451   0.000
 1852.0    0.452   0.000
 1853.0    0.452   0.000
 1854.0    0.453   0.000
 1855.0    0.454   0.000
 1856.0    0.454   0.000
