   W         M2+(eta_p)
 (MeV)      Re      Im
 1487.0    0.000   0.000
 1488.0   -0.001   0.000
 1489.0   -0.001   0.000
 1490.0   -0.002   0.000
 1491.0   -0.002   0.000
 1492.0   -0.003  -0.001
 1493.0   -0.003  -0.001
 1494.0   -0.003  -0.001
 1495.0   -0.004  -0.001
 1496.0   -0.004  -0.001
 1497.0   -0.005  -0.001
 1498.0   -0.005  -0.001
 1499.0   -0.006  -0.002
 1500.0   -0.006  -0.002
 1501.0   -0.007  -0.002
 1502.0   -0.007  -0.002
 1503.0   -0.008  -0.002
 1504.0   -0.008  -0.002
 1505.0   -0.009  -0.002
 1506.0   -0.009  -0.003
 1507.0   -0.010  -0.003
 1508.0   -0.010  -0.003
 1509.0   -0.011  -0.003
 1510.0   -0.011  -0.003
 1511.0   -0.012  -0.004
 1512.0   -0.013  -0.004
 1513.0   -0.013  -0.004
 1514.0   -0.014  -0.004
 1515.0   -0.014  -0.004
 1516.0   -0.015  -0.005
 1517.0   -0.015  -0.005
 1518.0   -0.016  -0.005
 1519.0   -0.017  -0.005
 1520.0   -0.017  -0.006
 1521.0   -0.018  -0.006
 1522.0   -0.018  -0.006
 1523.0   -0.019  -0.006
 1524.0   -0.020  -0.007
 1525.0   -0.020  -0.007
 1526.0   -0.021  -0.007
 1527.0   -0.022  -0.008
 1528.0   -0.022  -0.008
 1529.0   -0.023  -0.008
 1530.0   -0.024  -0.009
 1531.0   -0.024  -0.009
 1532.0   -0.025  -0.009
 1533.0   -0.026  -0.010
 1534.0   -0.026  -0.010
 1535.0   -0.027  -0.011
 1536.0   -0.028  -0.011
 1537.0   -0.028  -0.011
 1538.0   -0.029  -0.012
 1539.0   -0.030  -0.012
 1540.0   -0.031  -0.013
 1541.0   -0.031  -0.013
 1542.0   -0.032  -0.014
 1543.0   -0.033  -0.014
 1544.0   -0.034  -0.015
 1545.0   -0.034  -0.015
 1546.0   -0.035  -0.016
 1547.0   -0.036  -0.016
 1548.0   -0.037  -0.017
 1549.0   -0.038  -0.017
 1550.0   -0.038  -0.018
 1551.0   -0.039  -0.019
 1552.0   -0.040  -0.019
 1553.0   -0.041  -0.020
 1554.0   -0.042  -0.021
 1555.0   -0.043  -0.021
 1556.0   -0.043  -0.022
 1557.0   -0.044  -0.023
 1558.0   -0.045  -0.024
 1559.0   -0.046  -0.024
 1560.0   -0.047  -0.025
 1561.0   -0.048  -0.026
 1562.0   -0.049  -0.027
 1563.0   -0.050  -0.028
 1564.0   -0.050  -0.029
 1565.0   -0.051  -0.029
 1566.0   -0.052  -0.030
 1567.0   -0.053  -0.031
 1568.0   -0.054  -0.032
 1569.0   -0.055  -0.033
 1570.0   -0.056  -0.034
 1571.0   -0.057  -0.036
 1572.0   -0.058  -0.037
 1573.0   -0.059  -0.038
 1574.0   -0.060  -0.039
 1575.0   -0.061  -0.040
 1576.0   -0.061  -0.041
 1577.0   -0.062  -0.043
 1578.0   -0.063  -0.044
 1579.0   -0.064  -0.045
 1580.0   -0.065  -0.047
 1581.0   -0.066  -0.048
 1582.0   -0.067  -0.050
 1583.0   -0.068  -0.051
 1584.0   -0.069  -0.053
 1585.0   -0.070  -0.054
 1586.0   -0.071  -0.056
 1587.0   -0.072  -0.057
 1588.0   -0.072  -0.059
 1589.0   -0.073  -0.061
 1590.0   -0.074  -0.063
 1591.0   -0.075  -0.064
 1592.0   -0.076  -0.066
 1593.0   -0.077  -0.068
 1594.0   -0.077  -0.070
 1595.0   -0.078  -0.072
 1596.0   -0.079  -0.074
 1597.0   -0.080  -0.076
 1598.0   -0.080  -0.078
 1599.0   -0.081  -0.081
 1600.0   -0.082  -0.083
 1601.0   -0.082  -0.085
 1602.0   -0.083  -0.087
 1603.0   -0.083  -0.090
 1604.0   -0.084  -0.092
 1605.0   -0.084  -0.095
 1606.0   -0.085  -0.097
 1607.0   -0.085  -0.100
 1608.0   -0.085  -0.102
 1609.0   -0.086  -0.105
 1610.0   -0.086  -0.108
 1611.0   -0.086  -0.111
 1612.0   -0.086  -0.113
 1613.0   -0.086  -0.116
 1614.0   -0.086  -0.119
 1615.0   -0.086  -0.122
 1616.0   -0.086  -0.125
 1617.0   -0.086  -0.128
 1618.0   -0.085  -0.131
 1619.0   -0.085  -0.134
 1620.0   -0.085  -0.137
 1621.0   -0.084  -0.141
 1622.0   -0.084  -0.144
 1623.0   -0.083  -0.147
 1624.0   -0.082  -0.150
 1625.0   -0.081  -0.153
 1626.0   -0.080  -0.157
 1627.0   -0.079  -0.160
 1628.0   -0.078  -0.163
 1629.0   -0.077  -0.167
 1630.0   -0.076  -0.170
 1631.0   -0.074  -0.173
 1632.0   -0.073  -0.177
 1633.0   -0.071  -0.180
 1634.0   -0.069  -0.183
 1635.0   -0.067  -0.187
 1636.0   -0.065  -0.190
 1637.0   -0.063  -0.193
 1638.0   -0.061  -0.196
 1639.0   -0.059  -0.199
 1640.0   -0.056  -0.203
 1641.0   -0.054  -0.206
 1642.0   -0.051  -0.209
 1643.0   -0.049  -0.212
 1644.0   -0.046  -0.215
 1645.0   -0.043  -0.218
 1646.0   -0.040  -0.220
 1647.0   -0.037  -0.223
 1648.0   -0.034  -0.226
 1649.0   -0.030  -0.228
 1650.0   -0.027  -0.231
 1651.0   -0.024  -0.233
 1652.0   -0.020  -0.235
 1653.0   -0.017  -0.238
 1654.0   -0.013  -0.240
 1655.0   -0.009  -0.242
 1656.0   -0.005  -0.244
 1657.0   -0.002  -0.245
 1658.0    0.002  -0.247
 1659.0    0.006  -0.249
 1660.0    0.010  -0.250
 1661.0    0.014  -0.251
