   W          E0+(p)
 (MeV)      Re      Im
 1487.0   13.489   8.606
 1488.0   12.762   9.189
 1489.0   12.209   9.620
 1490.0   11.740   9.976
 1491.0   11.319  10.283
 1492.0   10.931  10.556
 1493.0   10.566  10.801
 1494.0   10.219  11.025
 1495.0    9.886  11.229
 1496.0    9.565  11.418
 1497.0    9.252  11.592
 1498.0    8.947  11.754
 1499.0    8.648  11.903
 1500.0    8.355  12.041
 1501.0    8.067  12.169
 1502.0    7.784  12.287
 1503.0    7.505  12.395
 1504.0    7.230  12.495
 1505.0    6.958  12.587
 1506.0    6.690  12.670
 1507.0    6.425  12.745
 1508.0    6.163  12.813
 1509.0    5.904  12.874
 1510.0    5.649  12.928
 1511.0    5.396  12.975
 1512.0    5.147  13.015
 1513.0    4.901  13.049
 1514.0    4.657  13.076
 1515.0    4.417  13.098
 1516.0    4.180  13.114
 1517.0    3.946  13.124
 1518.0    3.715  13.129
 1519.0    3.487  13.129
 1520.0    3.262  13.123
 1521.0    3.041  13.113
 1522.0    2.823  13.098
 1523.0    2.608  13.078
 1524.0    2.396  13.054
 1525.0    2.188  13.026
 1526.0    1.983  12.993
 1527.0    1.781  12.956
 1528.0    1.583  12.916
 1529.0    1.388  12.872
 1530.0    1.197  12.825
 1531.0    1.009  12.774
 1532.0    0.825  12.719
 1533.0    0.643  12.662
 1534.0    0.466  12.602
 1535.0    0.292  12.539
 1536.0    0.121  12.473
 1537.0   -0.047  12.405
 1538.0   -0.211  12.334
 1539.0   -0.371  12.261
 1540.0   -0.528  12.186
 1541.0   -0.682  12.109
 1542.0   -0.833  12.029
 1543.0   -0.980  11.948
 1544.0   -1.124  11.865
 1545.0   -1.265  11.780
 1546.0   -1.402  11.694
 1547.0   -1.537  11.606
 1548.0   -1.668  11.517
 1549.0   -1.796  11.427
 1550.0   -1.921  11.335
 1551.0   -2.043  11.242
 1552.0   -2.162  11.148
 1553.0   -2.278  11.054
 1554.0   -2.391  10.958
 1555.0   -2.502  10.861
 1556.0   -2.609  10.764
 1557.0   -2.714  10.666
 1558.0   -2.816  10.567
 1559.0   -2.915  10.468
 1560.0   -3.012  10.368
 1561.0   -3.105  10.267
 1562.0   -3.197  10.167
 1563.0   -3.286  10.065
 1564.0   -3.372   9.964
 1565.0   -3.456   9.862
 1566.0   -3.537   9.760
 1567.0   -3.616   9.657
 1568.0   -3.693   9.554
 1569.0   -3.767   9.452
 1570.0   -3.839   9.349
 1571.0   -3.909   9.245
 1572.0   -3.977   9.142
 1573.0   -4.043   9.039
 1574.0   -4.106   8.935
 1575.0   -4.167   8.832
 1576.0   -4.227   8.729
 1577.0   -4.284   8.625
 1578.0   -4.339   8.522
 1579.0   -4.392   8.418
 1580.0   -4.444   8.315
 1581.0   -4.493   8.212
 1582.0   -4.540   8.109
 1583.0   -4.586   8.006
 1584.0   -4.629   7.903
 1585.0   -4.671   7.800
 1586.0   -4.711   7.697
 1587.0   -4.749   7.594
 1588.0   -4.786   7.492
 1589.0   -4.820   7.389
 1590.0   -4.853   7.287
 1591.0   -4.884   7.185
 1592.0   -4.913   7.083
 1593.0   -4.940   6.982
 1594.0   -4.966   6.880
 1595.0   -4.989   6.779
 1596.0   -5.011   6.678
 1597.0   -5.031   6.577
 1598.0   -5.050   6.476
 1599.0   -5.066   6.376
 1600.0   -5.081   6.276
 1601.0   -5.094   6.177
 1602.0   -5.105   6.077
 1603.0   -5.115   5.978
 1604.0   -5.122   5.880
 1605.0   -5.128   5.781
 1606.0   -5.132   5.684
 1607.0   -5.134   5.586
 1608.0   -5.134   5.490
 1609.0   -5.132   5.394
 1610.0   -5.128   5.298
