   W         E1+(p)
 (MeV)     Re      Im
 1487.0   0.001  -0.002
 1488.0   0.001  -0.003
 1489.0   0.001  -0.004
 1490.0   0.002  -0.004
 1491.0   0.002  -0.005
 1492.0   0.002  -0.006
 1493.0   0.003  -0.006
 1494.0   0.003  -0.007
 1495.0   0.003  -0.007
 1496.0   0.003  -0.008
 1497.0   0.004  -0.008
 1498.0   0.004  -0.008
 1499.0   0.004  -0.009
 1500.0   0.004  -0.009
 1501.0   0.005  -0.010
 1502.0   0.005  -0.010
 1503.0   0.005  -0.011
 1504.0   0.005  -0.011
 1505.0   0.006  -0.011
 1506.0   0.006  -0.012
 1507.0   0.006  -0.012
 1508.0   0.006  -0.013
 1509.0   0.007  -0.013
 1510.0   0.007  -0.013
 1511.0   0.007  -0.014
 1512.0   0.008  -0.014
 1513.0   0.008  -0.015
 1514.0   0.008  -0.015
 1515.0   0.009  -0.015
 1516.0   0.009  -0.016
 1517.0   0.009  -0.016
 1518.0   0.010  -0.017
 1519.0   0.010  -0.017
 1520.0   0.010  -0.017
 1521.0   0.011  -0.018
 1522.0   0.011  -0.018
 1523.0   0.012  -0.018
 1524.0   0.012  -0.019
 1525.0   0.012  -0.019
 1526.0   0.013  -0.020
 1527.0   0.013  -0.020
 1528.0   0.014  -0.020
 1529.0   0.014  -0.021
 1530.0   0.014  -0.021
 1531.0   0.015  -0.021
 1532.0   0.015  -0.022
 1533.0   0.016  -0.022
 1534.0   0.016  -0.023
 1535.0   0.017  -0.023
 1536.0   0.017  -0.023
 1537.0   0.018  -0.024
 1538.0   0.018  -0.024
 1539.0   0.019  -0.024
 1540.0   0.019  -0.025
 1541.0   0.020  -0.025
 1542.0   0.020  -0.025
 1543.0   0.021  -0.026
 1544.0   0.021  -0.026
 1545.0   0.022  -0.026
 1546.0   0.022  -0.027
 1547.0   0.023  -0.027
 1548.0   0.023  -0.028
 1549.0   0.024  -0.028
 1550.0   0.024  -0.028
 1551.0   0.025  -0.028
 1552.0   0.026  -0.029
 1553.0   0.026  -0.029
 1554.0   0.027  -0.029
 1555.0   0.027  -0.030
 1556.0   0.028  -0.030
 1557.0   0.029  -0.030
 1558.0   0.029  -0.031
 1559.0   0.030  -0.031
 1560.0   0.031  -0.031
 1561.0   0.031  -0.031
 1562.0   0.032  -0.032
 1563.0   0.033  -0.032
 1564.0   0.033  -0.032
 1565.0   0.034  -0.033
 1566.0   0.035  -0.033
 1567.0   0.035  -0.033
 1568.0   0.036  -0.033
 1569.0   0.037  -0.034
 1570.0   0.037  -0.034
 1571.0   0.038  -0.034
 1572.0   0.039  -0.034
 1573.0   0.040  -0.034
 1574.0   0.040  -0.035
 1575.0   0.041  -0.035
 1576.0   0.042  -0.035
 1577.0   0.043  -0.035
 1578.0   0.043  -0.035
 1579.0   0.044  -0.036
 1580.0   0.045  -0.036
 1581.0   0.046  -0.036
 1582.0   0.046  -0.036
 1583.0   0.047  -0.036
 1584.0   0.048  -0.036
 1585.0   0.049  -0.036
 1586.0   0.049  -0.037
 1587.0   0.050  -0.037
 1588.0   0.051  -0.037
 1589.0   0.052  -0.037
 1590.0   0.053  -0.037
 1591.0   0.053  -0.037
 1592.0   0.054  -0.037
 1593.0   0.055  -0.037
 1594.0   0.056  -0.037
 1595.0   0.057  -0.037
 1596.0   0.058  -0.037
 1597.0   0.058  -0.037
 1598.0   0.059  -0.037
 1599.0   0.060  -0.037
 1600.0   0.061  -0.037
 1601.0   0.062  -0.037
 1602.0   0.063  -0.037
 1603.0   0.063  -0.037
 1604.0   0.064  -0.037
 1605.0   0.065  -0.037
 1606.0   0.066  -0.037
 1607.0   0.067  -0.037
 1608.0   0.068  -0.037
 1609.0   0.069  -0.037
 1610.0   0.069  -0.037
 1611.0   0.070  -0.037
 1612.0   0.071  -0.037
 1613.0   0.072  -0.037
 1614.0   0.073  -0.037
 1615.0   0.074  -0.037
 1616.0   0.074  -0.037
 1617.0   0.075  -0.036
 1618.0   0.076  -0.036
 1619.0   0.077  -0.036
 1620.0   0.078  -0.036
 1621.0   0.079  -0.036
 1622.0   0.080  -0.036
 1623.0   0.080  -0.036
 1624.0   0.081  -0.035
 1625.0   0.082  -0.035
 1626.0   0.083  -0.035
 1627.0   0.084  -0.035
 1628.0   0.085  -0.035
 1629.0   0.086  -0.034
 1630.0   0.086  -0.034
 1631.0   0.087  -0.034
 1632.0   0.088  -0.034
 1633.0   0.089  -0.033
 1634.0   0.090  -0.033
 1635.0   0.091  -0.033
 1636.0   0.091  -0.033
 1637.0   0.092  -0.032
 1638.0   0.093  -0.032
 1639.0   0.094  -0.032
 1640.0   0.095  -0.032
 1641.0   0.096  -0.031
 1642.0   0.096  -0.031
 1643.0   0.097  -0.031
 1644.0   0.098  -0.030
 1645.0   0.099  -0.030
 1646.0   0.100  -0.030
 1647.0   0.101  -0.029
 1648.0   0.101  -0.029
 1649.0   0.102  -0.029
 1650.0   0.103  -0.028
 1651.0   0.104  -0.028
 1652.0   0.105  -0.028
 1653.0   0.105  -0.027
 1654.0   0.106  -0.027
 1655.0   0.107  -0.026
 1656.0   0.108  -0.026
 1657.0   0.109  -0.026
 1658.0   0.109  -0.025
 1659.0   0.110  -0.025
 1660.0   0.111  -0.024
 1661.0   0.112  -0.024
 1662.0   0.112  -0.024
 1663.0   0.113  -0.023
 1664.0   0.114  -0.023
 1665.0   0.115  -0.022
 1666.0   0.115  -0.022
 1667.0   0.116  -0.021
 1668.0   0.117  -0.021
 1669.0   0.118  -0.020
 1670.0   0.118  -0.020
 1671.0   0.119  -0.019
 1672.0   0.120  -0.019
 1673.0   0.121  -0.018
 1674.0   0.121  -0.018
 1675.0   0.122  -0.017
 1676.0   0.123  -0.017
 1677.0   0.124  -0.016
 1678.0   0.124  -0.016
 1679.0   0.125  -0.015
 1680.0   0.126  -0.015
 1681.0   0.126  -0.014
 1682.0   0.127  -0.014
 1683.0   0.128  -0.013
 1684.0   0.128  -0.013
 1685.0   0.129  -0.012
 1686.0   0.130  -0.012
 1687.0   0.130  -0.011
 1688.0   0.131  -0.010
 1689.0   0.132  -0.010
 1690.0   0.132  -0.009
 1691.0   0.133  -0.009
 1692.0   0.134  -0.008
 1693.0   0.134  -0.008
 1694.0   0.135  -0.007
 1695.0   0.136  -0.006
 1696.0   0.136  -0.006
 1697.0   0.137  -0.005
 1698.0   0.138  -0.005
 1699.0   0.138  -0.004
 1700.0   0.139  -0.003
 1701.0   0.139  -0.003
 1702.0   0.140  -0.002
 1703.0   0.141  -0.001
 1704.0   0.141  -0.001
 1705.0   0.142   0.000
 1706.0   0.142   0.001
 1707.0   0.143   0.001
 1708.0   0.143   0.002
 1709.0   0.144   0.002
 1710.0   0.145   0.003
 1711.0   0.145   0.004
 1712.0   0.146   0.004
 1713.0   0.146   0.005
 1714.0   0.147   0.006
 1715.0   0.147   0.006
 1716.0   0.148   0.007
 1717.0   0.148   0.008
 1718.0   0.149   0.009
 1719.0   0.149   0.009
 1720.0   0.150   0.010
 1721.0   0.150   0.011
 1722.0   0.151   0.011
 1723.0   0.151   0.012
 1724.0   0.152   0.013
 1725.0   0.152   0.013
 1726.0   0.153   0.014
 1727.0   0.153   0.015
 1728.0   0.154   0.016
 1729.0   0.154   0.016
 1730.0   0.155   0.017
 1731.0   0.155   0.018
 1732.0   0.155   0.019
 1733.0   0.156   0.019
 1734.0   0.156   0.020
 1735.0   0.157   0.021
 1736.0   0.157   0.021
 1737.0   0.158   0.022
 1738.0   0.158   0.023
 1739.0   0.158   0.024
 1740.0   0.159   0.024
 1741.0   0.159   0.025
 1742.0   0.159   0.026
 1743.0   0.160   0.027
 1744.0   0.160   0.028
 1745.0   0.160   0.028
 1746.0   0.161   0.029
 1747.0   0.161   0.030
 1748.0   0.162   0.031
 1749.0   0.162   0.031
 1750.0   0.162   0.032
 1751.0   0.162   0.033
 1752.0   0.163   0.034
 1753.0   0.163   0.035
 1754.0   0.163   0.035
 1755.0   0.164   0.036
 1756.0   0.164   0.037
 1757.0   0.164   0.038
 1758.0   0.164   0.038
 1759.0   0.165   0.039
 1760.0   0.165   0.040
 1761.0   0.165   0.041
 1762.0   0.165   0.042
 1763.0   0.166   0.042
 1764.0   0.166   0.043
 1765.0   0.166   0.044
 1766.0   0.166   0.045
 1767.0   0.166   0.046
 1768.0   0.167   0.046
 1769.0   0.167   0.047
 1770.0   0.167   0.048
 1771.0   0.167   0.049
 1772.0   0.167   0.050
 1773.0   0.167   0.050
 1774.0   0.168   0.051
 1775.0   0.168   0.052
 1776.0   0.168   0.053
 1777.0   0.168   0.054
 1778.0   0.168   0.055
 1779.0   0.168   0.055
 1780.0   0.168   0.056
 1781.0   0.168   0.057
 1782.0   0.168   0.058
 1783.0   0.168   0.059
 1784.0   0.169   0.059
 1785.0   0.169   0.060
 1786.0   0.169   0.061
 1787.0   0.169   0.062
 1788.0   0.169   0.063
 1789.0   0.169   0.063
 1790.0   0.169   0.064
 1791.0   0.169   0.065
 1792.0   0.169   0.066
 1793.0   0.169   0.067
 1794.0   0.169   0.067
 1795.0   0.169   0.068
 1796.0   0.169   0.069
 1797.0   0.169   0.070
 1798.0   0.169   0.070
 1799.0   0.169   0.071
 1800.0   0.168   0.072
 1801.0   0.168   0.073
 1802.0   0.168   0.074
 1803.0   0.168   0.074
 1804.0   0.168   0.075
 1805.0   0.168   0.076
 1806.0   0.168   0.077
 1807.0   0.168   0.077
 1808.0   0.168   0.078
 1809.0   0.168   0.079
 1810.0   0.167   0.080
 1811.0   0.167   0.081
 1812.0   0.167   0.081
 1813.0   0.167   0.082
 1814.0   0.167   0.083
 1815.0   0.167   0.083
 1816.0   0.166   0.084
 1817.0   0.166   0.085
 1818.0   0.166   0.086
 1819.0   0.166   0.086
 1820.0   0.165   0.087
 1821.0   0.165   0.088
 1822.0   0.165   0.089
 1823.0   0.165   0.089
 1824.0   0.165   0.090
 1825.0   0.164   0.091
