   W          E3-(p)
 (MeV)      Re      Im
 1487.0    0.000   0.000
 1488.0    0.000   0.000
 1489.0    0.000   0.000
 1490.0    0.000   0.000
 1491.0    0.000   0.000
 1492.0    0.000   0.000
 1493.0    0.000   0.000
 1494.0    0.001   0.000
 1495.0    0.001   0.000
 1496.0    0.001   0.000
 1497.0    0.001   0.000
 1498.0    0.001   0.000
 1499.0    0.001   0.000
 1500.0    0.001   0.000
 1501.0    0.002   0.000
 1502.0    0.002   0.000
 1503.0    0.002   0.000
 1504.0    0.002   0.000
 1505.0    0.002   0.000
 1506.0    0.002   0.000
 1507.0    0.003   0.000
 1508.0    0.003   0.000
 1509.0    0.003   0.000
 1510.0    0.003   0.001
 1511.0    0.004   0.001
 1512.0    0.004   0.001
 1513.0    0.004   0.001
 1514.0    0.004   0.001
 1515.0    0.004   0.001
 1516.0    0.005   0.001
 1517.0    0.005   0.001
 1518.0    0.005   0.001
 1519.0    0.005   0.001
 1520.0    0.006   0.001
 1521.0    0.006   0.001
 1522.0    0.006   0.001
 1523.0    0.007   0.001
 1524.0    0.007   0.001
 1525.0    0.007   0.001
 1526.0    0.007   0.001
 1527.0    0.008   0.002
 1528.0    0.008   0.002
 1529.0    0.008   0.002
 1530.0    0.009   0.002
 1531.0    0.009   0.002
 1532.0    0.009   0.002
 1533.0    0.010   0.002
 1534.0    0.010   0.002
 1535.0    0.010   0.002
 1536.0    0.011   0.002
 1537.0    0.011   0.002
 1538.0    0.012   0.003
 1539.0    0.012   0.003
 1540.0    0.012   0.003
 1541.0    0.013   0.003
 1542.0    0.013   0.003
 1543.0    0.013   0.003
 1544.0    0.014   0.003
 1545.0    0.014   0.004
 1546.0    0.015   0.004
 1547.0    0.015   0.004
 1548.0    0.016   0.004
 1549.0    0.016   0.004
 1550.0    0.016   0.004
 1551.0    0.017   0.005
 1552.0    0.017   0.005
 1553.0    0.018   0.005
 1554.0    0.018   0.005
 1555.0    0.019   0.005
 1556.0    0.019   0.006
 1557.0    0.020   0.006
 1558.0    0.020   0.006
 1559.0    0.021   0.006
 1560.0    0.021   0.006
 1561.0    0.022   0.007
 1562.0    0.022   0.007
 1563.0    0.023   0.007
 1564.0    0.023   0.008
 1565.0    0.024   0.008
 1566.0    0.025   0.008
 1567.0    0.025   0.008
 1568.0    0.026   0.009
 1569.0    0.026   0.009
 1570.0    0.027   0.009
 1571.0    0.027   0.010
 1572.0    0.028   0.010
 1573.0    0.029   0.010
 1574.0    0.029   0.011
 1575.0    0.030   0.011
 1576.0    0.030   0.012
 1577.0    0.031   0.012
 1578.0    0.032   0.013
 1579.0    0.032   0.013
 1580.0    0.033   0.013
 1581.0    0.034   0.014
 1582.0    0.034   0.014
 1583.0    0.035   0.015
 1584.0    0.036   0.015
 1585.0    0.036   0.016
 1586.0    0.037   0.017
 1587.0    0.038   0.017
 1588.0    0.038   0.018
 1589.0    0.039   0.018
 1590.0    0.040   0.019
 1591.0    0.041   0.020
 1592.0    0.041   0.020
 1593.0    0.042   0.021
 1594.0    0.043   0.022
 1595.0    0.043   0.023
 1596.0    0.044   0.023
 1597.0    0.045   0.024
 1598.0    0.046   0.025
 1599.0    0.046   0.026
 1600.0    0.047   0.027
 1601.0    0.048   0.027
 1602.0    0.048   0.028
 1603.0    0.049   0.029
 1604.0    0.050   0.030
 1605.0    0.051   0.031
 1606.0    0.051   0.032
 1607.0    0.052   0.033
 1608.0    0.053   0.035
 1609.0    0.054   0.036
 1610.0    0.054   0.037
 1611.0    0.055   0.038
 1612.0    0.056   0.039
 1613.0    0.056   0.041
 1614.0    0.057   0.042
 1615.0    0.058   0.043
 1616.0    0.058   0.045
 1617.0    0.059   0.046
 1618.0    0.059   0.047
 1619.0    0.060   0.049
 1620.0    0.061   0.050
 1621.0    0.061   0.052
 1622.0    0.062   0.054
 1623.0    0.062   0.055
 1624.0    0.063   0.057
 1625.0    0.063   0.059
 1626.0    0.063   0.060
 1627.0    0.064   0.062
 1628.0    0.064   0.064
 1629.0    0.064   0.066
 1630.0    0.065   0.068
 1631.0    0.065   0.070
 1632.0    0.065   0.072
 1633.0    0.065   0.074
 1634.0    0.065   0.076
 1635.0    0.065   0.078
 1636.0    0.065   0.080
 1637.0    0.065   0.082
 1638.0    0.065   0.084
 1639.0    0.065   0.087
 1640.0    0.064   0.089
 1641.0    0.064   0.091
 1642.0    0.064   0.093
 1643.0    0.063   0.096
 1644.0    0.062   0.098
 1645.0    0.062   0.100
 1646.0    0.061   0.103
 1647.0    0.060   0.105
 1648.0    0.059   0.107
 1649.0    0.058   0.110
 1650.0    0.057   0.112
 1651.0    0.056   0.114
 1652.0    0.055   0.117
 1653.0    0.054   0.119
 1654.0    0.052   0.121
 1655.0    0.051   0.124
 1656.0    0.049   0.126
 1657.0    0.048   0.128
 1658.0    0.046   0.130
 1659.0    0.044   0.132
 1660.0    0.042   0.134
 1661.0    0.040   0.136
 1662.0    0.038   0.138
 1663.0    0.036   0.140
 1664.0    0.034   0.142
 1665.0    0.032   0.144
 1666.0    0.029   0.146
 1667.0    0.027   0.147
 1668.0    0.024   0.149
 1669.0    0.022   0.150
 1670.0    0.019   0.152
 1671.0    0.017   0.153
 1672.0    0.014   0.154
 1673.0    0.011   0.155
 1674.0    0.008   0.156
 1675.0    0.006   0.157
 1676.0    0.003   0.158
 1677.0    0.000   0.159
 1678.0   -0.003   0.160
 1679.0   -0.006   0.160
 1680.0   -0.009   0.161
 1681.0   -0.011   0.161
 1682.0   -0.014   0.161
 1683.0   -0.017   0.161
 1684.0   -0.020   0.162
 1685.0   -0.023   0.162
