   W           M1+(p)
 (MeV)       Re      Im
 1487.0     0.050  -0.015
 1488.0     0.073  -0.022
 1489.0     0.091  -0.027
 1490.0     0.106  -0.032
 1491.0     0.119  -0.036
 1492.0     0.131  -0.040
 1493.0     0.142  -0.044
 1494.0     0.152  -0.048
 1495.0     0.161  -0.051
 1496.0     0.170  -0.054
 1497.0     0.179  -0.058
 1498.0     0.187  -0.061
 1499.0     0.195  -0.064
 1500.0     0.203  -0.067
 1501.0     0.210  -0.070
 1502.0     0.218  -0.073
 1503.0     0.225  -0.076
 1504.0     0.232  -0.079
 1505.0     0.238  -0.082
 1506.0     0.245  -0.085
 1507.0     0.252  -0.088
 1508.0     0.258  -0.091
 1509.0     0.264  -0.093
 1510.0     0.271  -0.096
 1511.0     0.277  -0.099
 1512.0     0.283  -0.102
 1513.0     0.289  -0.105
 1514.0     0.295  -0.108
 1515.0     0.301  -0.110
 1516.0     0.306  -0.113
 1517.0     0.312  -0.116
 1518.0     0.318  -0.119
 1519.0     0.324  -0.122
 1520.0     0.329  -0.124
 1521.0     0.335  -0.127
 1522.0     0.341  -0.130
 1523.0     0.346  -0.133
 1524.0     0.352  -0.135
 1525.0     0.357  -0.138
 1526.0     0.363  -0.141
 1527.0     0.369  -0.143
 1528.0     0.374  -0.146
 1529.0     0.380  -0.149
 1530.0     0.385  -0.152
 1531.0     0.391  -0.154
 1532.0     0.396  -0.157
 1533.0     0.402  -0.159
 1534.0     0.407  -0.162
 1535.0     0.413  -0.165
 1536.0     0.418  -0.167
 1537.0     0.424  -0.170
 1538.0     0.429  -0.172
 1539.0     0.435  -0.175
 1540.0     0.441  -0.178
 1541.0     0.446  -0.180
 1542.0     0.452  -0.183
 1543.0     0.457  -0.185
 1544.0     0.463  -0.188
 1545.0     0.469  -0.190
 1546.0     0.474  -0.192
 1547.0     0.480  -0.195
 1548.0     0.486  -0.197
 1549.0     0.491  -0.200
 1550.0     0.497  -0.202
 1551.0     0.503  -0.204
 1552.0     0.509  -0.206
 1553.0     0.515  -0.209
 1554.0     0.520  -0.211
 1555.0     0.526  -0.213
 1556.0     0.532  -0.215
 1557.0     0.538  -0.217
 1558.0     0.544  -0.219
 1559.0     0.550  -0.221
 1560.0     0.556  -0.223
 1561.0     0.562  -0.225
 1562.0     0.568  -0.227
 1563.0     0.574  -0.229
 1564.0     0.580  -0.231
 1565.0     0.586  -0.233
 1566.0     0.592  -0.235
 1567.0     0.598  -0.236
 1568.0     0.604  -0.238
 1569.0     0.610  -0.240
 1570.0     0.616  -0.241
 1571.0     0.622  -0.243
 1572.0     0.629  -0.244
 1573.0     0.635  -0.246
 1574.0     0.641  -0.247
 1575.0     0.647  -0.249
 1576.0     0.654  -0.250
 1577.0     0.660  -0.251
 1578.0     0.666  -0.253
 1579.0     0.672  -0.254
 1580.0     0.679  -0.255
 1581.0     0.685  -0.256
