   W          M2+(p)
 (MeV)      Re      Im
 1487.0    0.000   0.000
 1488.0   -0.001   0.000
 1489.0   -0.001   0.000
 1490.0   -0.001   0.000
 1491.0   -0.001   0.000
 1492.0   -0.002  -0.001
 1493.0   -0.002  -0.001
 1494.0   -0.002  -0.001
 1495.0   -0.003  -0.001
 1496.0   -0.003  -0.001
 1497.0   -0.003  -0.001
 1498.0   -0.004  -0.001
 1499.0   -0.004  -0.001
 1500.0   -0.004  -0.002
 1501.0   -0.005  -0.002
 1502.0   -0.005  -0.002
 1503.0   -0.006  -0.002
 1504.0   -0.006  -0.002
 1505.0   -0.006  -0.002
 1506.0   -0.007  -0.003
 1507.0   -0.007  -0.003
 1508.0   -0.008  -0.003
 1509.0   -0.008  -0.003
 1510.0   -0.008  -0.003
 1511.0   -0.009  -0.004
 1512.0   -0.009  -0.004
 1513.0   -0.010  -0.004
 1514.0   -0.010  -0.004
 1515.0   -0.011  -0.004
 1516.0   -0.011  -0.005
 1517.0   -0.012  -0.005
 1518.0   -0.012  -0.005
 1519.0   -0.012  -0.005
 1520.0   -0.013  -0.006
 1521.0   -0.013  -0.006
 1522.0   -0.014  -0.006
 1523.0   -0.015  -0.007
 1524.0   -0.015  -0.007
 1525.0   -0.016  -0.007
 1526.0   -0.016  -0.008
 1527.0   -0.017  -0.008
 1528.0   -0.017  -0.008
 1529.0   -0.018  -0.009
 1530.0   -0.018  -0.009
 1531.0   -0.019  -0.009
 1532.0   -0.019  -0.010
 1533.0   -0.020  -0.010
 1534.0   -0.021  -0.010
 1535.0   -0.021  -0.011
 1536.0   -0.022  -0.011
 1537.0   -0.023  -0.012
 1538.0   -0.023  -0.012
 1539.0   -0.024  -0.013
 1540.0   -0.024  -0.013
 1541.0   -0.025  -0.014
 1542.0   -0.026  -0.014
 1543.0   -0.026  -0.015
 1544.0   -0.027  -0.015
 1545.0   -0.028  -0.016
 1546.0   -0.029  -0.016
 1547.0   -0.029  -0.017
 1548.0   -0.030  -0.018
 1549.0   -0.031  -0.018
 1550.0   -0.031  -0.019
 1551.0   -0.032  -0.020
 1552.0   -0.033  -0.020
 1553.0   -0.034  -0.021
 1554.0   -0.034  -0.022
 1555.0   -0.035  -0.023
 1556.0   -0.036  -0.023
 1557.0   -0.037  -0.024
 1558.0   -0.037  -0.025
 1559.0   -0.038  -0.026
 1560.0   -0.039  -0.027
 1561.0   -0.040  -0.028
 1562.0   -0.041  -0.028
 1563.0   -0.042  -0.029
 1564.0   -0.042  -0.030
 1565.0   -0.043  -0.031
 1566.0   -0.044  -0.032
 1567.0   -0.045  -0.033
 1568.0   -0.046  -0.035
 1569.0   -0.047  -0.036
 1570.0   -0.047  -0.037
 1571.0   -0.048  -0.038
 1572.0   -0.049  -0.039
 1573.0   -0.050  -0.040
 1574.0   -0.051  -0.042
 1575.0   -0.052  -0.043
 1576.0   -0.052  -0.044
 1577.0   -0.053  -0.046
 1578.0   -0.054  -0.047
 1579.0   -0.055  -0.049
 1580.0   -0.056  -0.050
 1581.0   -0.057  -0.052
 1582.0   -0.057  -0.053
 1583.0   -0.058  -0.055
 1584.0   -0.059  -0.057
 1585.0   -0.060  -0.058
 1586.0   -0.061  -0.060
 1587.0   -0.062  -0.062
 1588.0   -0.062  -0.064
 1589.0   -0.063  -0.066
 1590.0   -0.064  -0.067
 1591.0   -0.065  -0.069
 1592.0   -0.065  -0.071
 1593.0   -0.066  -0.073
 1594.0   -0.067  -0.076
 1595.0   -0.067  -0.078
 1596.0   -0.068  -0.080
 1597.0   -0.068  -0.082
 1598.0   -0.069  -0.085
 1599.0   -0.070  -0.087
 1600.0   -0.070  -0.089
 1601.0   -0.071  -0.092
 1602.0   -0.071  -0.094
 1603.0   -0.071  -0.097
 1604.0   -0.072  -0.100
 1605.0   -0.072  -0.102
 1606.0   -0.072  -0.105
 1607.0   -0.073  -0.108
 1608.0   -0.073  -0.111
 1609.0   -0.073  -0.114
 1610.0   -0.073  -0.117
 1611.0   -0.073  -0.119
 1612.0   -0.073  -0.123
 1613.0   -0.073  -0.126
 1614.0   -0.072  -0.129
 1615.0   -0.072  -0.132
 1616.0   -0.072  -0.135
 1617.0   -0.071  -0.138
 1618.0   -0.071  -0.142
 1619.0   -0.070  -0.145
 1620.0   -0.070  -0.149
 1621.0   -0.069  -0.152
 1622.0   -0.068  -0.155
 1623.0   -0.067  -0.159
 1624.0   -0.066  -0.162
 1625.0   -0.065  -0.166
 1626.0   -0.064  -0.169
 1627.0   -0.062  -0.173
 1628.0   -0.061  -0.177
 1629.0   -0.059  -0.180
 1630.0   -0.058  -0.184
 1631.0   -0.056  -0.187
 1632.0   -0.054  -0.191
 1633.0   -0.052  -0.195
 1634.0   -0.050  -0.198
 1635.0   -0.048  -0.202
 1636.0   -0.045  -0.205
 1637.0   -0.043  -0.209
 1638.0   -0.040  -0.212
 1639.0   -0.038  -0.216
 1640.0   -0.035  -0.219
 1641.0   -0.032  -0.222
 1642.0   -0.029  -0.226
 1643.0   -0.026  -0.229
 1644.0   -0.022  -0.232
 1645.0   -0.019  -0.235
 1646.0   -0.015  -0.238
 1647.0   -0.012  -0.241
 1648.0   -0.008  -0.244
 1649.0   -0.004  -0.247
 1650.0    0.000  -0.249
 1651.0    0.004  -0.252
 1652.0    0.008  -0.254
 1653.0    0.012  -0.257
 1654.0    0.016  -0.259
 1655.0    0.021  -0.261
 1656.0    0.025  -0.263
 1657.0    0.029  -0.265
 1658.0    0.034  -0.267
 1659.0    0.039  -0.268
 1660.0    0.043  -0.270
 1661.0    0.048  -0.271
 1662.0    0.053  -0.273
