   W         E0+(pi0_p)
 (MeV)      Re         Im
 1074.0   -0.459030  -0.831449
 1075.0   -0.445035  -0.783245
 1076.0   -0.431040  -0.735042
 1077.0   -0.417045  -0.686839
 1078.0   -0.403049  -0.638636
 1079.0   -0.389054  -0.590432
 1080.0   -0.375059  -0.542229
 1081.0   -0.361064  -0.494026
 1082.0   -0.347069  -0.445823
 1083.0   -0.333074  -0.397619
 1084.0   -0.319079  -0.349416
 1085.0   -0.305084  -0.301213
 1086.0   -0.320651  -0.267674
 1087.0   -0.336218  -0.234135
 1088.0   -0.351785  -0.200596
 1089.0   -0.367352  -0.167057
 1090.0   -0.382919  -0.133518
 1091.0   -0.415881  -0.106276
 1092.0   -0.448843  -0.079033
 1093.0   -0.481806  -0.051791
 1094.0   -0.514768  -0.024548
 1095.0   -0.547730   0.002694
 1096.0   -0.587970   0.027638
 1097.0   -0.628210   0.052583
 1098.0   -0.668450   0.077527
 1099.0   -0.708690   0.102471
 1100.0   -0.748930   0.127416
 1101.0   -0.789849   0.151815
 1102.0   -0.830769   0.176214
 1103.0   -0.871688   0.200613
 1104.0   -0.912607   0.225012
 1105.0   -0.953527   0.249411
 1106.0   -0.991566   0.273888
 1107.0   -1.029606   0.298365
 1108.0   -1.067645   0.322842
 1109.0   -1.105685   0.347319
 1110.0   -1.143724   0.371795
 1111.0   -1.177304   0.396472
 1112.0   -1.210884   0.421148
 1113.0   -1.244465   0.445824
 1114.0   -1.278045   0.470500
 1115.0   -1.311625   0.495176
 1116.0   -1.340302   0.519969
 1117.0   -1.368980   0.544762
 1118.0   -1.397657   0.569555
 1119.0   -1.426335   0.594349
 1120.0   -1.455012   0.619142
 1121.0   -1.478917   0.643917
 1122.0   -1.502822   0.668692
 1123.0   -1.526726   0.693466
 1124.0   -1.550631   0.718241
 1125.0   -1.574535   0.743016
 1126.0   -1.594062   0.767631
 1127.0   -1.613589   0.792245
 1128.0   -1.633116   0.816860
 1129.0   -1.652643   0.841474
 1130.0   -1.672169   0.866089
 1131.0   -1.687787   0.890423
 1132.0   -1.703405   0.914758
 1133.0   -1.719022   0.939092
 1134.0   -1.734640   0.963427
 1135.0   -1.750258   0.987762
 1136.0   -1.762442   1.011720
 1137.0   -1.774626   1.035678
 1138.0   -1.786810   1.059636
 1139.0   -1.798995   1.083594
 1140.0   -1.811179   1.107552
 1141.0   -1.820368   1.131057
 1142.0   -1.829557   1.154562
 1143.0   -1.838746   1.178067
 1144.0   -1.847935   1.201572
 1145.0   -1.857124   1.225077
 1146.0   -1.863707   1.248074
 1147.0   -1.870289   1.271072
 1148.0   -1.876872   1.294069
 1149.0   -1.883455   1.317066
 1150.0   -1.890037   1.340063
 1151.0   -1.894350   1.362512
 1152.0   -1.898663   1.384960
 1153.0   -1.902976   1.407408
 1154.0   -1.907288   1.429856
 1155.0   -1.911601   1.452304
 1156.0   -1.913936   1.474175
 1157.0   -1.916270   1.496045
 1158.0   -1.918604   1.517915
 1159.0   -1.920938   1.539785
 1160.0   -1.923273   1.561655
 1161.0   -1.923875   1.582928
 1162.0   -1.924478   1.604200
 1163.0   -1.925081   1.625473
 1164.0   -1.925684   1.646745
 1165.0   -1.926287   1.668018
 1166.0   -1.925372   1.688682
 1167.0   -1.924456   1.709345
 1168.0   -1.923540   1.730009
 1169.0   -1.922625   1.750672
 1170.0   -1.921709   1.771336
 1171.0   -1.919456   1.791383
 1172.0   -1.917203   1.811431
 1173.0   -1.914951   1.831478
 1174.0   -1.912698   1.851525
 1175.0   -1.910445   1.871572
 1176.0   -1.907012   1.891003
 1177.0   -1.903578   1.910434
 1178.0   -1.900144   1.929864
 1179.0   -1.896711   1.949295
 1180.0   -1.893277   1.968726
 1181.0   -1.888797   1.987542
 1182.0   -1.884316   2.006358
 1183.0   -1.879836   2.025174
 1184.0   -1.875356   2.043990
 1185.0   -1.870876   2.062806
 1186.0   -1.865465   2.081012
 1187.0   -1.860055   2.099218
 1188.0   -1.854644   2.117425
 1189.0   -1.849234   2.135631
 1190.0   -1.843823   2.153837
 1191.0   -1.837584   2.171442
 1192.0   -1.831344   2.189046
 1193.0   -1.825105   2.206650
