   W          E0+(pi0_p)
 (MeV)       Re        Im
 1074.00   -1.09617   0.02025
 1075.00   -0.99766   0.02025
 1076.00   -0.88812   0.02025
 1077.00   -0.76093   0.02025
 1078.00   -0.59896   0.02025
 1079.00   -0.22059   0.02469
 1080.00   -0.23862   0.41583
 1081.00   -0.25480   0.57840
 1082.00   -0.27073   0.70161
 1083.00   -0.28698   0.80410
 1084.00   -0.30351   0.89315
 1085.00   -0.32009   0.97253
 1086.00   -0.33654   1.04449
 1087.00   -0.35282   1.11051
 1088.00   -0.36891   1.17163
 1089.00   -0.38486   1.22861
 1090.00   -0.40070   1.28202
 1091.00   -0.41589   1.34775
 1092.00   -0.42881   1.40414
 1093.00   -0.44005   1.45246
 1094.00   -0.45007   1.49391
 1095.00   -0.45926   1.52970
 1096.00   -0.46796   1.56100
 1097.00   -0.47642   1.58895
 1098.00   -0.48485   1.61469
 1099.00   -0.49341   1.63932
 1100.00   -0.50225   1.66391
 1101.00   -0.51146   1.68933
 1102.00   -0.52103   1.71555
 1103.00   -0.53091   1.74233
 1104.00   -0.54104   1.76946
 1105.00   -0.55137   1.79672
 1106.00   -0.56184   1.82389
 1107.00   -0.57236   1.85077
 1108.00   -0.58287   1.87715
 1109.00   -0.59331   1.90283
 1110.00   -0.60361   1.92762
 1111.00   -0.61371   1.95137
 1112.00   -0.62361   1.97414
 1113.00   -0.63333   1.99601
 1114.00   -0.64287   2.01709
 1115.00   -0.65223   2.03746
 1116.00   -0.66142   2.05721
 1117.00   -0.67045   2.07644
 1118.00   -0.67934   2.09524
 1119.00   -0.68807   2.11367
 1120.00   -0.69666   2.13184
 1121.00   -0.70511   2.14980
 1122.00   -0.71343   2.16754
 1123.00   -0.72163   2.18505
 1124.00   -0.72972   2.20231
 1125.00   -0.73769   2.21928
 1126.00   -0.74557   2.23596
 1127.00   -0.75335   2.25233
 1128.00   -0.76104   2.26835
 1129.00   -0.76865   2.28401
 1130.00   -0.77619   2.29930
 1131.00   -0.78365   2.31419
 1132.00   -0.79104   2.32872
 1133.00   -0.79834   2.34290
 1134.00   -0.80555   2.35675
 1135.00   -0.81266   2.37031
 1136.00   -0.81967   2.38359
 1137.00   -0.82658   2.39662
 1138.00   -0.83337   2.40942
 1139.00   -0.84004   2.42201
 1140.00   -0.84660   2.43442
 1141.00   -0.85303   2.44665
 1142.00   -0.85933   2.45872
 1143.00   -0.86552   2.47063
 1144.00   -0.87158   2.48237
 1145.00   -0.87752   2.49396
 1146.00   -0.88334   2.50538
 1147.00   -0.88904   2.51665
 1148.00   -0.89462   2.52776
 1149.00   -0.90008   2.53871
 1150.00   -0.90542   2.54951
 1151.00   -0.91064   2.56015
 1152.00   -0.91574   2.57064
 1153.00   -0.92073   2.58097
 1154.00   -0.92562   2.59114
 1155.00   -0.93039   2.60114
 1156.00   -0.93507   2.61097
 1157.00   -0.93965   2.62063
 1158.00   -0.94413   2.63012
 1159.00   -0.94853   2.63944
 1160.00   -0.95283   2.64858
 1161.00   -0.95704   2.65754
 1162.00   -0.96117   2.66633
 1163.00   -0.96519   2.67497
 1164.00   -0.96911   2.68347
 1165.00   -0.97292   2.69184
 1166.00   -0.97662   2.70010
 1167.00   -0.98020   2.70824
 1168.00   -0.98366   2.71630
 1169.00   -0.98699   2.72427
 1170.00   -0.99012   2.73215
 1171.00   -0.99275   2.73996
 1172.00   -0.99535   2.74772
 1173.00   -0.99793   2.75541
 1174.00   -1.00048   2.76304
 1175.00   -1.00300   2.77060
 1176.00   -1.00549   2.77808
 1177.00   -1.00796   2.78549
 1178.00   -1.01040   2.79281
 1179.00   -1.01282   2.80004
 1180.00   -1.01521   2.80719
 1181.00   -1.01672   2.81421
 1182.00   -1.01820   2.82114
 1183.00   -1.01967   2.82797
 1184.00   -1.02112   2.83471
 1185.00   -1.02255   2.84135
 1186.00   -1.02397   2.84790
 1187.00   -1.02538   2.85435
 1188.00   -1.02678   2.86071
 1189.00   -1.02818   2.86698
 1190.00   -1.02957   2.87316
 1191.00   -1.03021   2.87922
 1192.00   -1.03083   2.88520
 1193.00   -1.03145   2.89110
 1194.00   -1.03206   2.89693
 1195.00   -1.03265   2.90270
 1196.00   -1.03321   2.90841
 1197.00   -1.03376   2.91407
 1198.00   -1.03427   2.91968
 1199.00   -1.03475   2.92526
 1200.00   -1.03520   2.93081
 1201.00   -1.03469   2.93622
 1202.00   -1.03414   2.94160
 1203.00   -1.03356   2.94695
 1204.00   -1.03296   2.95226
 1205.00   -1.03234   2.95752
 1206.00   -1.03171   2.96274
 1207.00   -1.03108   2.96789
 1208.00   -1.03044   2.97299
 1209.00   -1.02981   2.97802
 1210.00   -1.02919   2.98299
 1211.00   -1.02786   2.98780
 1212.00   -1.02655   2.99255
 1213.00   -1.02523   2.99723
 1214.00   -1.02389   3.00186
 1215.00   -1.02254   3.00644
 1216.00   -1.02115   3.01098
 1217.00   -1.01973   3.01549
 1218.00   -1.01824   3.01997
 1219.00   -1.01670   3.02442
 1220.00   -1.01508   3.02885
 1221.00   -1.01258   3.03300
 1222.00   -1.01001   3.03713
 1223.00   -1.00738   3.04124
 1224.00   -1.00471   3.04532
 1225.00   -1.00202   3.04938
 1226.00   -0.99931   3.05340
 1227.00   -0.99660   3.05739
 1228.00   -0.99390   3.06134
 1229.00   -0.99123   3.06524
 1230.00   -0.98860   3.06911
 1231.00   -0.98525   3.07288
 1232.00   -0.98194   3.07661
 1233.00   -0.97866   3.08030
 1234.00   -0.97540   3.08395
 1235.00   -0.97213   3.08756
 1236.00   -0.96885   3.09113
 1237.00   -0.96555   3.09467
 1238.00   -0.96221   3.09817
 1239.00   -0.95882   3.10165
 1240.00   -0.95536   3.10509
 1241.00   -0.95117   3.10820
 1242.00   -0.94690   3.11129
 1243.00   -0.94259   3.11435
 1244.00   -0.93824   3.11740
 1245.00   -0.93386   3.12044
 1246.00   -0.92946   3.12348
 1247.00   -0.92506   3.12650
 1248.00   -0.92067   3.12954
 1249.00   -0.91629   3.13257
 1250.00   -0.91194   3.13562
 1251.00   -0.90686   3.13853
 1252.00   -0.90180   3.14144
 1253.00   -0.89676   3.14435
 1254.00   -0.89172   3.14725
 1255.00   -0.88667   3.15013
 1256.00   -0.88160   3.15298
 1257.00   -0.87649   3.15580
 1258.00   -0.87133   3.15858
 1259.00   -0.86612   3.16130
 1260.00   -0.86084   3.16396
 1261.00   -0.85483   3.16625
 1262.00   -0.84875   3.16848
 1263.00   -0.84263   3.17066
 1264.00   -0.83648   3.17279
 1265.00   -0.83030   3.17489
 1266.00   -0.82414   3.17696
 1267.00   -0.81798   3.17902
 1268.00   -0.81186   3.18107
 1269.00   -0.80579   3.18312
 1270.00   -0.79978   3.18518
 1271.00   -0.79321   3.18694
 1272.00   -0.78671   3.18872
 1273.00   -0.78025   3.19053
 1274.00   -0.77382   3.19235
 1275.00   -0.76739   3.19420
 1276.00   -0.76095   3.19607
 1277.00   -0.75448   3.19797
 1278.00   -0.74796   3.19989
 1279.00   -0.74138   3.20183
 1280.00   -0.73472   3.20380
 1281.00   -0.72725   3.20550
 1282.00   -0.71969   3.20721
 1283.00   -0.71206   3.20894
 1284.00   -0.70437   3.21068
 1285.00   -0.69662   3.21241
 1286.00   -0.68884   3.21414
 1287.00   -0.68103   3.21586
 1288.00   -0.67321   3.21757
 1289.00   -0.66539   3.21925
 1290.00   -0.65757   3.22091
 1291.00   -0.64927   3.22224
 1292.00   -0.64097   3.22355
 1293.00   -0.63269   3.22483
 1294.00   -0.62440   3.22611
 1295.00   -0.61610   3.22738
 1296.00   -0.60779   3.22865
 1297.00   -0.59945   3.22993
 1298.00   -0.59108   3.23121
 1299.00   -0.58267   3.23252
 1300.00   -0.58270   3.27208
 1301.00   -0.57370   3.27348
 1302.00   -0.56466   3.27493
 1303.00   -0.55557   3.27640
 1304.00   -0.54644   3.27790
 1305.00   -0.53728   3.27942
 1306.00   -0.52810   3.28097
 1307.00   -0.51889   3.28254
 1308.00   -0.50968   3.28412
 1309.00   -0.50045   3.28572
 1310.00   -0.49121   3.28733
 1311.00   -0.48146   3.28842
 1312.00   -0.47171   3.28952
 1313.00   -0.46195   3.29064
 1314.00   -0.45218   3.29178
 1315.00   -0.44240   3.29294
 1316.00   -0.43260   3.29413
 1317.00   -0.42278   3.29536
 1318.00   -0.41295   3.29661
 1319.00   -0.40309   3.29791
 1320.00   -0.39320   3.29925
 1321.00   -0.38289   3.30015
 1322.00   -0.37256   3.30109
 1323.00   -0.36219   3.30209
 1324.00   -0.35178   3.30312
 1325.00   -0.34134   3.30420
 1326.00   -0.33086   3.30531
 1327.00   -0.32034   3.30647
 1328.00   -0.30978   3.30767
 1329.00   -0.29917   3.30891
 1330.00   -0.28852   3.31018
 1331.00   -0.27739   3.31102
 1332.00   -0.26621   3.31190
 1333.00   -0.25500   3.31282
 1334.00   -0.24374   3.31377
 1335.00   -0.23245   3.31476
 1336.00   -0.22112   3.31578
 1337.00   -0.20976   3.31684
 1338.00   -0.19838   3.31794
 1339.00   -0.18696   3.31907
 1340.00   -0.17553   3.32023
 1341.00   -0.16378   3.32097
 1342.00   -0.15200   3.32174
 1343.00   -0.14019   3.32257
 1344.00   -0.12834   3.32344
 1345.00   -0.11644   3.32438
 1346.00   -0.10450   3.32538
 1347.00   -0.09250   3.32645
 1348.00   -0.08043   3.32760
 1349.00   -0.06829   3.32884
 1350.00   -0.05608   3.33016
 1351.00   -0.04349   3.33094
 1352.00   -0.03082   3.33180
 1353.00   -0.01808   3.33277
 1354.00   -0.00528   3.33382
 1355.00    0.00758   3.33496
 1356.00    0.02050   3.33619
 1357.00    0.03346   3.33750
 1358.00    0.04646   3.33890
 1359.00    0.05950   3.34039
 1360.00    0.07257   3.34196
 1361.00    0.08593   3.34315
 1362.00    0.09932   3.34443
 1363.00    0.11274   3.34580
 1364.00    0.12621   3.34726
 1365.00    0.13972   3.34880
 1366.00    0.15328   3.35043
 1367.00    0.16689   3.35216
 1368.00    0.18057   3.35398
 1369.00    0.19432   3.35589
 1370.00    0.20814   3.35789
 1371.00    0.22199   3.35916
 1372.00    0.23593   3.36053
 1373.00    0.24994   3.36199
 1374.00    0.26402   3.36355
 1375.00    0.27818   3.36520
 1376.00    0.29242   3.36694
 1377.00    0.30674   3.36878
 1378.00    0.32113   3.37072
 1379.00    0.33559   3.37275
 1380.00    0.35014   3.37487
 1381.00    0.36487   3.37637
 1382.00    0.37968   3.37797
 1383.00    0.39457   3.37970
 1384.00    0.40954   3.38158
 1385.00    0.42459   3.38360
 1386.00    0.43973   3.38579
 1387.00    0.45495   3.38817
 1388.00    0.47025   3.39074
 1389.00    0.48564   3.39352
 1390.00    0.50113   3.39653
 1391.00    0.51658   3.39897
 1392.00    0.53212   3.40164
 1393.00    0.54777   3.40452
 1394.00    0.56352   3.40761
 1395.00    0.57938   3.41090
 1396.00    0.59534   3.41438
 1397.00    0.61143   3.41802
 1398.00    0.62763   3.42184
 1399.00    0.64396   3.42581
 1400.00    0.66041   3.42993
 1401.00    0.67655   3.43346
 1402.00    0.69282   3.43715
 1403.00    0.70922   3.44102
 1404.00    0.72574   3.44508
 1405.00    0.74238   3.44936
 1406.00    0.75914   3.45387
 1407.00    0.77602   3.45864
 1408.00    0.79302   3.46369
 1409.00    0.81014   3.46902
 1410.00    0.82737   3.47468
 1411.00    0.84436   3.47961
 1412.00    0.86147   3.48486
 1413.00    0.87871   3.49045
 1414.00    0.89608   3.49636
 1415.00    0.91360   3.50259
 1416.00    0.93127   3.50913
 1417.00    0.94910   3.51599
 1418.00    0.96710   3.52316
 1419.00    0.98527   3.53064
 1420.00    1.00363   3.53843
 1421.00    1.02140   3.54537
 1422.00    1.03936   3.55263
 1423.00    1.05750   3.56024
 1424.00    1.07582   3.56821
 1425.00    1.09431   3.57656
 1426.00    1.11297   3.58531
 1427.00    1.13179   3.59448
 1428.00    1.15077   3.60410
 1429.00    1.16990   3.61417
 1430.00    1.18918   3.62473
 1431.00    1.20738   3.63434
 1432.00    1.22574   3.64446
 1433.00    1.24427   3.65511
 1434.00    1.26297   3.66631
 1435.00    1.28186   3.67806
 1436.00    1.30094   3.69038
 1437.00    1.32023   3.70329
 1438.00    1.33973   3.71680
 1439.00    1.35946   3.73093
 1440.00    1.37942   3.74570
 1441.00    1.39815   3.75913
 1442.00    1.41712   3.77324
 1443.00    1.43633   3.78806
 1444.00    1.45579   3.80362
 1445.00    1.47547   3.81993
 1446.00    1.49539   3.83704
 1447.00    1.51554   3.85497
 1448.00    1.53591   3.87375
 1449.00    1.55651   3.89341
 1450.00    1.57732   3.91399
 1451.00    1.59630   3.93271
 1452.00    1.61548   3.95241
 1453.00    1.63481   3.97314
 1454.00    1.65429   3.99494
 1455.00    1.67388   4.01784
 1456.00    1.69356   4.04189
 1457.00    1.71330   4.06712
 1458.00    1.73309   4.09359
 1459.00    1.75288   4.12133
 1460.00    1.77265   4.15038
 1461.00    1.78908   4.17604
 1462.00    1.80552   4.20311
 1463.00    1.82204   4.23167
 1464.00    1.83871   4.26177
 1465.00    1.85558   4.29348
 1466.00    1.87270   4.32688
 1467.00    1.89013   4.36205
 1468.00    1.90791   4.39907
 1469.00    1.92610   4.43803
 1470.00    1.94472   4.47904
 1471.00    1.95872   4.51173
 1472.00    1.97276   4.54668
 1473.00    1.98639   4.58397
 1474.00    1.99916   4.62370
 1475.00    2.01064   4.66594
 1476.00    2.02036   4.71074
 1477.00    2.02789   4.75815
 1478.00    2.03278   4.80817
 1479.00    2.03459   4.86078
 1480.00    2.03289   4.91591
 1481.00    2.04265   4.93707
 1482.00    2.04907   4.96022
 1483.00    2.05276   4.98497
 1484.00    2.05435   5.01101
 1485.00    2.05446   5.03808
 1486.00    2.05371   5.06602
 1487.00    2.05268   5.09474
 1488.00    1.68084   5.23459
 1489.00    1.46702   5.29683
 1490.00    1.30102   5.33525
 1491.00    1.19645   5.38742
 1492.00    1.10423   5.43062
 1493.00    1.01992   5.46696
 1494.00    0.94088   5.49775
 1495.00    0.86538   5.52392
 1496.00    0.79218   5.54613
 1497.00    0.72032   5.56490
 1498.00    0.64910   5.58064
 1499.00    0.57792   5.59369
 1500.00    0.50631   5.60434
 1501.00    0.43536   5.63111
 1502.00    0.36356   5.65556
 1503.00    0.29092   5.67753
 1504.00    0.21747   5.69687
 1505.00    0.14324   5.71341
 1506.00    0.06831   5.72699
 1507.00   -0.00725   5.73746
 1508.00   -0.08334   5.74467
 1509.00   -0.15987   5.74847
 1510.00   -0.23674   5.74873
