   W          E2-(pi0_p)
 (MeV)       Re        Im
 1074.00   -0.01027   0.00000
 1075.00   -0.02360   0.00000
 1076.00   -0.03678   0.00000
 1077.00   -0.04983   0.00000
 1078.00   -0.06274   0.00000
 1079.00   -0.07552   0.00000
 1080.00   -0.08817   0.00000
 1081.00   -0.10069   0.00000
 1082.00   -0.11308   0.00000
 1083.00   -0.12535   0.00000
 1084.00   -0.13749   0.00000
 1085.00   -0.14952   0.00000
 1086.00   -0.16143   0.00000
 1087.00   -0.17323   0.00000
 1088.00   -0.18491   0.00000
 1089.00   -0.19648   0.00000
 1090.00   -0.20794   0.00000
 1091.00   -0.21929   0.00000
 1092.00   -0.23054   0.00000
 1093.00   -0.24168   0.00000
 1094.00   -0.25273   0.00000
 1095.00   -0.26367   0.00000
 1096.00   -0.27451   0.00000
 1097.00   -0.28525   0.00000
 1098.00   -0.29590   0.00000
 1099.00   -0.30645   0.00000
 1100.00   -0.31692   0.00000
 1101.00   -0.32728   0.00000
 1102.00   -0.33756   0.00000
 1103.00   -0.34776   0.00000
 1104.00   -0.35786   0.00000
 1105.00   -0.36788   0.00000
 1106.00   -0.37781   0.00000
 1107.00   -0.38766   0.00000
 1108.00   -0.39743   0.00000
 1109.00   -0.40711   0.00000
 1110.00   -0.41672   0.00000
 1111.00   -0.42625   0.00000
 1112.00   -0.43570   0.00000
 1113.00   -0.44507   0.00000
 1114.00   -0.45437   0.00000
 1115.00   -0.46359   0.00000
 1116.00   -0.47274   0.00000
 1117.00   -0.48182   0.00000
 1118.00   -0.49083   0.00000
 1119.00   -0.49976   0.00000
 1120.00   -0.50863   0.00000
 1121.00   -0.51743   0.00000
 1122.00   -0.52616   0.00000
 1123.00   -0.53482   0.00000
 1124.00   -0.54342   0.00000
 1125.00   -0.55195   0.00000
 1126.00   -0.56042   0.00000
 1127.00   -0.56882   0.00000
 1128.00   -0.57717   0.00000
 1129.00   -0.58545   0.00000
 1130.00   -0.59367   0.00000
 1131.00   -0.60182   0.00000
 1132.00   -0.60992   0.00000
 1133.00   -0.61796   0.00000
 1134.00   -0.62595   0.00000
 1135.00   -0.63387   0.00000
 1136.00   -0.64174   0.00000
 1137.00   -0.64955   0.00000
 1138.00   -0.65731   0.00000
 1139.00   -0.66501   0.00000
 1140.00   -0.67266   0.00000
 1141.00   -0.68025   0.00000
 1142.00   -0.68779   0.00000
 1143.00   -0.69528   0.00000
 1144.00   -0.70271   0.00000
 1145.00   -0.71010   0.00000
 1146.00   -0.71743   0.00000
 1147.00   -0.72472   0.00000
 1148.00   -0.73195   0.00000
 1149.00   -0.73914   0.00000
 1150.00   -0.74628   0.00000
 1151.00   -0.75337   0.00000
 1152.00   -0.76041   0.00000
 1153.00   -0.76741   0.00000
 1154.00   -0.77435   0.00000
 1155.00   -0.78126   0.00000
 1156.00   -0.78811   0.00000
 1157.00   -0.79493   0.00000
 1158.00   -0.80169   0.00000
