   W          E2-(pi0_p)
 (MeV)       Re        Im
 1074.00   -0.00970   0.00000
 1075.00   -0.02226   0.00000
 1076.00   -0.03467   0.00000
 1077.00   -0.04693   0.00000
 1078.00   -0.05905   0.00000
 1079.00   -0.07102   0.00000
 1080.00   -0.08285   0.00000
 1081.00   -0.09454   0.00000
 1082.00   -0.10609   0.00000
 1083.00   -0.11751   0.00000
 1084.00   -0.12880   0.00000
 1085.00   -0.13995   0.00000
 1086.00   -0.15098   0.00000
 1087.00   -0.16189   0.00000
 1088.00   -0.17267   0.00000
 1089.00   -0.18333   0.00000
 1090.00   -0.19387   0.00000
 1091.00   -0.20429   0.00000
 1092.00   -0.21460   0.00000
 1093.00   -0.22479   0.00000
 1094.00   -0.23487   0.00000
 1095.00   -0.24484   0.00000
 1096.00   -0.25470   0.00000
 1097.00   -0.26446   0.00000
 1098.00   -0.27410   0.00000
 1099.00   -0.28365   0.00000
 1100.00   -0.29309   0.00000
 1101.00   -0.30243   0.00000
 1102.00   -0.31168   0.00000
 1103.00   -0.32082   0.00000
 1104.00   -0.32987   0.00000
 1105.00   -0.33882   0.00000
 1106.00   -0.34768   0.00000
 1107.00   -0.35644   0.00000
 1108.00   -0.36512   0.00000
 1109.00   -0.37370   0.00000
 1110.00   -0.38220   0.00000
 1111.00   -0.39061   0.00000
 1112.00   -0.39893   0.00000
 1113.00   -0.40717   0.00000
 1114.00   -0.41532   0.00000
 1115.00   -0.42339   0.00000
 1116.00   -0.43138   0.00000
 1117.00   -0.43929   0.00000
 1118.00   -0.44711   0.00000
 1119.00   -0.45486   0.00000
 1120.00   -0.46254   0.00000
 1121.00   -0.47013   0.00000
 1122.00   -0.47765   0.00000
 1123.00   -0.48509   0.00000
 1124.00   -0.49247   0.00000
 1125.00   -0.49976   0.00000
 1126.00   -0.50699   0.00000
 1127.00   -0.51414   0.00000
 1128.00   -0.52123   0.00000
 1129.00   -0.52824   0.00000
 1130.00   -0.53519   0.00000
 1131.00   -0.54207   0.00000
 1132.00   -0.54888   0.00000
 1133.00   -0.55563   0.00000
 1134.00   -0.56231   0.00000
 1135.00   -0.56892   0.00000
 1136.00   -0.57547   0.00000
 1137.00   -0.58196   0.00000
 1138.00   -0.58839   0.00000
 1139.00   -0.59475   0.00000
 1140.00   -0.60106   0.00000
 1141.00   -0.60730   0.00000
 1142.00   -0.61349   0.00000
 1143.00   -0.61961   0.00000
 1144.00   -0.62568   0.00000
 1145.00   -0.63169   0.00000
 1146.00   -0.63764   0.00000
 1147.00   -0.64353   0.00000
 1148.00   -0.64938   0.00000
 1149.00   -0.65516   0.00000
 1150.00   -0.66089   0.00000
 1151.00   -0.66657   0.00000
 1152.00   -0.67219   0.00000
 1153.00   -0.67776   0.00000
 1154.00   -0.68328   0.00000
 1155.00   -0.68875   0.00000
 1156.00   -0.69416   0.00000
 1157.00   -0.69953   0.00000
 1158.00   -0.70484   0.00000
 1159.00   -0.71011   0.00000
 1160.00   -0.71532   0.00000
 1161.00   -0.72049   0.00000
 1162.00   -0.72561   0.00000
 1163.00   -0.73068   0.00000
 1164.00   -0.73571   0.00000
 1165.00   -0.74069   0.00000
 1166.00   -0.74562   0.00000
 1167.00   -0.75050   0.00000
 1168.00   -0.75535   0.00000
 1169.00   -0.76014   0.00000
 1170.00   -0.76490   0.00000
 1171.00   -0.76960   0.00000
 1172.00   -0.77427   0.00000
 1173.00   -0.77889   0.00000
 1174.00   -0.78347   0.00000
 1175.00   -0.78801   0.00000
 1176.00   -0.79251   0.00000
 1177.00   -0.79696   0.00000
 1178.00   -0.80137   0.00000
 1179.00   -0.80575   0.00000
 1180.00   -0.81008   0.00000
 1181.00   -0.81437   0.00000
 1182.00   -0.81863   0.00000
 1183.00   -0.82284   0.00000
 1184.00   -0.82702   0.00000
 1185.00   -0.83116   0.00000
 1186.00   -0.83526   0.00000
 1187.00   -0.83932   0.00000
 1188.00   -0.84335   0.00000
 1189.00   -0.84733   0.00000
 1190.00   -0.85129   0.00000
 1191.00   -0.85520   0.00000
 1192.00   -0.85908   0.00000
 1193.00   -0.86293   0.00000
 1194.00   -0.86674   0.00000
 1195.00   -0.87051   0.00000
 1196.00   -0.87425   0.00000
 1197.00   -0.87796   0.00000
 1198.00   -0.88163   0.00000
 1199.00   -0.88527   0.00000
 1200.00   -0.88887   0.00000
 1201.00   -0.89245   0.00000
 1202.00   -0.89598   0.00000
 1203.00   -0.89949   0.00000
 1204.00   -0.90297   0.00000
 1205.00   -0.90641   0.00000
 1206.00   -0.90982   0.00000
 1207.00   -0.91320   0.00000
 1208.00   -0.91655   0.00000
 1209.00   -0.91987   0.00000
 1210.00   -0.92316   0.00000
 1211.00   -0.92642   0.00000
 1212.00   -0.92964   0.00000
 1213.00   -0.93284   0.00000
 1214.00   -0.93601   0.00000
 1215.00   -0.93915   0.00000
 1216.00   -0.94226   0.00000
 1217.00   -0.94535   0.00000
 1218.00   -0.94840   0.00000
 1219.00   -0.95143   0.00000
 1220.00   -0.95443   0.00000
 1221.00   -0.95740   0.00000
