   W          E3-(pi0_p)
 (MeV)       Re        Im
 1074.00    0.00003   0.00000
 1075.00    0.00011   0.00000
 1076.00    0.00022   0.00000
 1077.00    0.00034   0.00000
 1078.00    0.00048   0.00000
 1079.00    0.00064   0.00000
 1080.00    0.00081   0.00000
 1081.00    0.00100   0.00000
 1082.00    0.00119   0.00000
 1083.00    0.00140   0.00000
 1084.00    0.00162   0.00000
 1085.00    0.00184   0.00000
 1086.00    0.00208   0.00000
 1087.00    0.00232   0.00000
 1088.00    0.00257   0.00001
 1089.00    0.00283   0.00001
 1090.00    0.00309   0.00001
 1091.00    0.00337   0.00001
 1092.00    0.00365   0.00001
 1093.00    0.00393   0.00001
 1094.00    0.00422   0.00001
 1095.00    0.00452   0.00001
 1096.00    0.00483   0.00001
 1097.00    0.00514   0.00001
 1098.00    0.00545   0.00002
 1099.00    0.00577   0.00002
 1100.00    0.00610   0.00002
 1101.00    0.00643   0.00002
 1102.00    0.00676   0.00002
 1103.00    0.00710   0.00002
 1104.00    0.00745   0.00002
 1105.00    0.00780   0.00003
 1106.00    0.00816   0.00003
 1107.00    0.00851   0.00003
 1108.00    0.00888   0.00003
 1109.00    0.00925   0.00003
 1110.00    0.00962   0.00004
 1111.00    0.00999   0.00004
 1112.00    0.01038   0.00004
 1113.00    0.01076   0.00004
 1114.00    0.01115   0.00005
 1115.00    0.01154   0.00005
 1116.00    0.01194   0.00005
 1117.00    0.01234   0.00005
 1118.00    0.01274   0.00006
 1119.00    0.01315   0.00006
 1120.00    0.01356   0.00006
 1121.00    0.01397   0.00007
 1122.00    0.01439   0.00007
 1123.00    0.01481   0.00007
 1124.00    0.01524   0.00008
 1125.00    0.01567   0.00008
 1126.00    0.01610   0.00008
 1127.00    0.01654   0.00009
 1128.00    0.01697   0.00009
 1129.00    0.01742   0.00010
 1130.00    0.01786   0.00010
 1131.00    0.01831   0.00011
 1132.00    0.01876   0.00011
 1133.00    0.01922   0.00012
 1134.00    0.01968   0.00012
 1135.00    0.02014   0.00013
 1136.00    0.02060   0.00013
 1137.00    0.02107   0.00014
 1138.00    0.02154   0.00014
 1139.00    0.02202   0.00015
 1140.00    0.02250   0.00015
 1141.00    0.02298   0.00016
 1142.00    0.02346   0.00017
 1143.00    0.02395   0.00017
 1144.00    0.02444   0.00018
 1145.00    0.02493   0.00019
 1146.00    0.02542   0.00020
 1147.00    0.02592   0.00020
 1148.00    0.02643   0.00021
 1149.00    0.02693   0.00022
 1150.00    0.02744   0.00023
 1151.00    0.02795   0.00023
 1152.00    0.02846   0.00024
 1153.00    0.02898   0.00025
 1154.00    0.02950   0.00026
 1155.00    0.03002   0.00027
 1156.00    0.03055   0.00028
 1157.00    0.03108   0.00029
 1158.00    0.03161   0.00030
 1159.00    0.03214   0.00031
 1160.00    0.03268   0.00032
 1161.00    0.03322   0.00033
 1162.00    0.03377   0.00034
 1163.00    0.03431   0.00035
 1164.00    0.03486   0.00036
 1165.00    0.03542   0.00038
 1166.00    0.03597   0.00039
 1167.00    0.03653   0.00040
 1168.00    0.03709   0.00041
 1169.00    0.03766   0.00043
 1170.00    0.03822   0.00044
 1171.00    0.03879   0.00045
 1172.00    0.03937   0.00047
 1173.00    0.03994   0.00048
 1174.00    0.04052   0.00049
 1175.00    0.04111   0.00051
 1176.00    0.04169   0.00052
 1177.00    0.04228   0.00054
 1178.00    0.04287   0.00056
 1179.00    0.04346   0.00057
 1180.00    0.04406   0.00059
 1181.00    0.04466   0.00060
 1182.00    0.04527   0.00062
 1183.00    0.04587   0.00064
 1184.00    0.04648   0.00066
 1185.00    0.04710   0.00067
 1186.00    0.04771   0.00069
 1187.00    0.04833   0.00071
 1188.00    0.04895   0.00073
 1189.00    0.04958   0.00075
 1190.00    0.05020   0.00077
 1191.00    0.05084   0.00079
 1192.00    0.05147   0.00081
 1193.00    0.05211   0.00084
 1194.00    0.05275   0.00086
 1195.00    0.05339   0.00088
 1196.00    0.05404   0.00090
 1197.00    0.05469   0.00093
 1198.00    0.05534   0.00095
 1199.00    0.05600   0.00097
 1200.00    0.05666   0.00100
