   W          M1-(pi0_p)
 (MeV)       Re        Im
 1074.00   -0.32710  -0.00003
 1075.00   -0.49513  -0.00005
 1076.00   -0.61731  -0.00006
 1077.00   -0.71747  -0.00007
 1078.00   -0.80388  -0.00008
 1079.00   -0.88061  -0.00009
 1080.00   -0.95598   0.00007
 1081.00   -1.01052   0.00020
 1082.00   -1.06071   0.00033
 1083.00   -1.11340   0.00048
 1084.00   -1.16729   0.00067
 1085.00   -1.21875   0.00090
 1086.00   -1.26612   0.00115
 1087.00   -1.30980   0.00143
 1088.00   -1.35086   0.00173
 1089.00   -1.39017   0.00207
 1090.00   -1.42809   0.00244
 1091.00   -1.46462   0.00285
 1092.00   -1.49968   0.00331
 1093.00   -1.53358   0.00381
 1094.00   -1.56500   0.00436
 1095.00   -1.59514   0.00495
 1096.00   -1.62365   0.00557
 1097.00   -1.65069   0.00622
 1098.00   -1.67645   0.00692
 1099.00   -1.70116   0.00764
 1100.00   -1.72504   0.00840
 1101.00   -1.74828   0.00918
 1102.00   -1.77097   0.01000
 1103.00   -1.79313   0.01086
 1104.00   -1.81479   0.01175
 1105.00   -1.83593   0.01267
 1106.00   -1.85651   0.01362
 1107.00   -1.87650   0.01461
 1108.00   -1.89584   0.01563
 1109.00   -1.91451   0.01668
 1110.00   -1.93246   0.01776
 1111.00   -1.94967   0.01886
 1112.00   -1.96617   0.02000
 1113.00   -1.98197   0.02117
 1114.00   -1.99710   0.02236
 1115.00   -2.01162   0.02359
 1116.00   -2.02556   0.02484
 1117.00   -2.03895   0.02611
 1118.00   -2.05185   0.02742
 1119.00   -2.06430   0.02875
 1120.00   -2.07635   0.03010
 1121.00   -2.08802   0.03149
 1122.00   -2.09935   0.03290
 1123.00   -2.11033   0.03434
 1124.00   -2.12098   0.03581
 1125.00   -2.13131   0.03732
 1126.00   -2.14132   0.03885
 1127.00   -2.15101   0.04043
 1128.00   -2.16038   0.04204
 1129.00   -2.16944   0.04369
 1130.00   -2.17818   0.04537
 1131.00   -2.18659   0.04710
 1132.00   -2.19468   0.04887
 1133.00   -2.20244   0.05067
 1134.00   -2.20986   0.05251
 1135.00   -2.21694   0.05439
 1136.00   -2.22368   0.05629
 1137.00   -2.23007   0.05823
 1138.00   -2.23610   0.06020
 1139.00   -2.24178   0.06220
 1140.00   -2.24710   0.06422
 1141.00   -2.25206   0.06627
 1142.00   -2.25668   0.06834
 1143.00   -2.26097   0.07044
 1144.00   -2.26495   0.07256
 1145.00   -2.26864   0.07470
 1146.00   -2.27206   0.07687
