   W          M2-(pi0_p)
 (MeV)       Re        Im
 1074.00    0.00020   0.00000
 1075.00    0.00047   0.00000
 1076.00    0.00074   0.00000
 1077.00    0.00101   0.00000
 1078.00    0.00128   0.00000
 1079.00    0.00155   0.00000
 1080.00    0.00183   0.00000
 1081.00    0.00210   0.00000
 1082.00    0.00238   0.00000
 1083.00    0.00265   0.00000
 1084.00    0.00293   0.00000
 1085.00    0.00321   0.00000
 1086.00    0.00349   0.00000
 1087.00    0.00377   0.00000
 1088.00    0.00405   0.00000
 1089.00    0.00433   0.00000
 1090.00    0.00461   0.00000
 1091.00    0.00489   0.00000
 1092.00    0.00518   0.00000
 1093.00    0.00546   0.00000
 1094.00    0.00575   0.00000
 1095.00    0.00604   0.00000
 1096.00    0.00633   0.00000
 1097.00    0.00661   0.00000
 1098.00    0.00690   0.00000
 1099.00    0.00719   0.00000
 1100.00    0.00749   0.00000
 1101.00    0.00778   0.00000
 1102.00    0.00807   0.00000
 1103.00    0.00837   0.00000
 1104.00    0.00866   0.00000
 1105.00    0.00896   0.00000
 1106.00    0.00925   0.00000
 1107.00    0.00955   0.00000
 1108.00    0.00985   0.00000
 1109.00    0.01015   0.00000
 1110.00    0.01045   0.00000
 1111.00    0.01075   0.00000
 1112.00    0.01105   0.00000
 1113.00    0.01135   0.00000
 1114.00    0.01166   0.00000
 1115.00    0.01196   0.00000
 1116.00    0.01226   0.00000
 1117.00    0.01257   0.00000
 1118.00    0.01288   0.00000
 1119.00    0.01318   0.00000
 1120.00    0.01349   0.00000
 1121.00    0.01380   0.00000
 1122.00    0.01411   0.00000
 1123.00    0.01442   0.00000
 1124.00    0.01473   0.00000
 1125.00    0.01504   0.00000
 1126.00    0.01535   0.00000
 1127.00    0.01567   0.00000
 1128.00    0.01598   0.00000
 1129.00    0.01629   0.00000
 1130.00    0.01661   0.00000
 1131.00    0.01692   0.00000
 1132.00    0.01724   0.00000
 1133.00    0.01756   0.00000
 1134.00    0.01787   0.00000
 1135.00    0.01819   0.00000
 1136.00    0.01851   0.00000
 1137.00    0.01883   0.00000
 1138.00    0.01915   0.00000
 1139.00    0.01947   0.00000
 1140.00    0.01980   0.00000
 1141.00    0.02012   0.00000
 1142.00    0.02044   0.00000
 1143.00    0.02076   0.00000
 1144.00    0.02109   0.00000
 1145.00    0.02141   0.00000
 1146.00    0.02174   0.00000
 1147.00    0.02207   0.00000
 1148.00    0.02239   0.00000
 1149.00    0.02272   0.00000
 1150.00    0.02305   0.00000
 1151.00    0.02338   0.00000
 1152.00    0.02371   0.00000
 1153.00    0.02404   0.00000
 1154.00    0.02437   0.00000
 1155.00    0.02470   0.00000
 1156.00    0.02503   0.00000
 1157.00    0.02536   0.00000
 1158.00    0.02569   0.00000
