   W          M2-(pi0_p)
 (MeV)       Re        Im
 1074.00    0.00046   0.00000
 1075.00    0.00107   0.00000
 1076.00    0.00170   0.00000
 1077.00    0.00234   0.00000
 1078.00    0.00299   0.00000
 1079.00    0.00365   0.00000
 1080.00    0.00432   0.00000
 1081.00    0.00500   0.00000
 1082.00    0.00570   0.00000
 1083.00    0.00641   0.00000
 1084.00    0.00713   0.00000
 1085.00    0.00786   0.00000
 1086.00    0.00861   0.00000
 1087.00    0.00937   0.00000
 1088.00    0.01014   0.00000
 1089.00    0.01093   0.00000
 1090.00    0.01172   0.00000
 1091.00    0.01253   0.00000
 1092.00    0.01336   0.00000
 1093.00    0.01419   0.00000
 1094.00    0.01504   0.00000
 1095.00    0.01591   0.00000
 1096.00    0.01678   0.00000
 1097.00    0.01767   0.00000
 1098.00    0.01858   0.00000
 1099.00    0.01949   0.00000
 1100.00    0.02042   0.00000
 1101.00    0.02137   0.00000
 1102.00    0.02233   0.00000
 1103.00    0.02330   0.00000
 1104.00    0.02429   0.00000
 1105.00    0.02529   0.00000
 1106.00    0.02630   0.00000
 1107.00    0.02733   0.00000
 1108.00    0.02837   0.00000
 1109.00    0.02943   0.00000
 1110.00    0.03050   0.00000
 1111.00    0.03159   0.00000
 1112.00    0.03269   0.00000
 1113.00    0.03381   0.00000
 1114.00    0.03494   0.00000
 1115.00    0.03609   0.00000
 1116.00    0.03725   0.00000
 1117.00    0.03842   0.00000
 1118.00    0.03961   0.00000
 1119.00    0.04082   0.00000
 1120.00    0.04204   0.00000
 1121.00    0.04328   0.00000
 1122.00    0.04453   0.00000
 1123.00    0.04579   0.00000
 1124.00    0.04708   0.00000
 1125.00    0.04837   0.00000
 1126.00    0.04969   0.00000
 1127.00    0.05102   0.00000
 1128.00    0.05236   0.00000
 1129.00    0.05372   0.00000
 1130.00    0.05510   0.00000
 1131.00    0.05649   0.00000
 1132.00    0.05789   0.00000
 1133.00    0.05932   0.00000
 1134.00    0.06076   0.00000
 1135.00    0.06221   0.00000
 1136.00    0.06368   0.00000
 1137.00    0.06517   0.00000
 1138.00    0.06667   0.00000
 1139.00    0.06819   0.00000
 1140.00    0.06972   0.00000
 1141.00    0.07128   0.00000
 1142.00    0.07284   0.00000
 1143.00    0.07443   0.00000
 1144.00    0.07603   0.00000
 1145.00    0.07764   0.00000
 1146.00    0.07928   0.00000
 1147.00    0.08092   0.00000
 1148.00    0.08259   0.00000
 1149.00    0.08427   0.00000
 1150.00    0.08597   0.00000
 1151.00    0.08769   0.00000
 1152.00    0.08942   0.00000
 1153.00    0.09116   0.00000
 1154.00    0.09293   0.00000
 1155.00    0.09471   0.00000
 1156.00    0.09651   0.00000
 1157.00    0.09832   0.00000
 1158.00    0.10015   0.00000
 1159.00    0.10200   0.00000
 1160.00    0.10387   0.00000
 1161.00    0.10575   0.00000
 1162.00    0.10765   0.00000
 1163.00    0.10956   0.00000
 1164.00    0.11149   0.00000
 1165.00    0.11344   0.00000
 1166.00    0.11541   0.00000
 1167.00    0.11739   0.00000
 1168.00    0.11939   0.00000
 1169.00    0.12140   0.00000
 1170.00    0.12344   0.00000
 1171.00    0.12548   0.00000
 1172.00    0.12755   0.00000
 1173.00    0.12963   0.00000
 1174.00    0.13174   0.00000
 1175.00    0.13385   0.00000
 1176.00    0.13599   0.00000
 1177.00    0.13814   0.00000
 1178.00    0.14031   0.00000
 1179.00    0.14249   0.00000
 1180.00    0.14469   0.00000
 1181.00    0.14691   0.00000
 1182.00    0.14915   0.00000
 1183.00    0.15140   0.00000
 1184.00    0.15367   0.00000
 1185.00    0.15595   0.00000
 1186.00    0.15826   0.00000
 1187.00    0.16058   0.00000
 1188.00    0.16292   0.00000
 1189.00    0.16527   0.00000
 1190.00    0.16764   0.00000
 1191.00    0.17003   0.00000
 1192.00    0.17243   0.00000
 1193.00    0.17485   0.00000
 1194.00    0.17729   0.00000
 1195.00    0.17975   0.00000
 1196.00    0.18222   0.00000
 1197.00    0.18471   0.00000
 1198.00    0.18722   0.00000
 1199.00    0.18974   0.00000
 1200.00    0.19228   0.00000
 1201.00    0.19483   0.00000
 1202.00    0.19741   0.00000
 1203.00    0.20000   0.00000
 1204.00    0.20260   0.00000
 1205.00    0.20523   0.00000
 1206.00    0.20787   0.00000
 1207.00    0.21052   0.00000
 1208.00    0.21319   0.00000
 1209.00    0.21588   0.00000
 1210.00    0.21859   0.00000
 1211.00    0.22131   0.00000
 1212.00    0.22405   0.00000
 1213.00    0.22681   0.00000
 1214.00    0.22958   0.00000
 1215.00    0.23237   0.00000
 1216.00    0.23518   0.00000
 1217.00    0.23800   0.00000
 1218.00    0.24084   0.00000
 1219.00    0.24369   0.00000
 1220.00    0.24656   0.00000
 1221.00    0.24945   0.00000
 1222.00    0.25235   0.00000
 1223.00    0.25527   0.00000
 1224.00    0.25821   0.00000
 1225.00    0.26116   0.00000
 1226.00    0.26413   0.00000
 1227.00    0.26711   0.00000
 1228.00    0.27011   0.00000
 1229.00    0.27313   0.00000
 1230.00    0.27616   0.00000
 1231.00    0.27921   0.00000
 1232.00    0.28228   0.00000
 1233.00    0.28536   0.00000
 1234.00    0.28845   0.00000
 1235.00    0.29157   0.00000
 1236.00    0.29469   0.00000
 1237.00    0.29784   0.00000
 1238.00    0.30100   0.00000
 1239.00    0.30417   0.00000
 1240.00    0.30736   0.00000
 1241.00    0.31057   0.00000
 1242.00    0.31379   0.00000
 1243.00    0.31703   0.00000
 1244.00    0.32028   0.00000
 1245.00    0.32355   0.00000
 1246.00    0.32684   0.00000
 1247.00    0.33013   0.00000
 1248.00    0.33345   0.00000
 1249.00    0.33678   0.00000
 1250.00    0.34013   0.00000
 1251.00    0.34349   0.00000
 1252.00    0.34686   0.00000
 1253.00    0.35025   0.00000
 1254.00    0.35366   0.00000
 1255.00    0.35708   0.00000
 1256.00    0.36051   0.00000
 1257.00    0.36397   0.00000
 1258.00    0.36743   0.00000
 1259.00    0.37091   0.00000
 1260.00    0.37441   0.00000
 1261.00    0.37792   0.00000
 1262.00    0.38144   0.00000
 1263.00    0.38498   0.00000
 1264.00    0.38853   0.00000
 1265.00    0.39210   0.00000
 1266.00    0.39569   0.00000
 1267.00    0.39928   0.00000
 1268.00    0.40289   0.00000
 1269.00    0.40652   0.00000
 1270.00    0.41016   0.00000
 1271.00    0.41382   0.00000
 1272.00    0.41748   0.00000
 1273.00    0.42117   0.00000
 1274.00    0.42486   0.00000
 1275.00    0.42857   0.00000
 1276.00    0.43230   0.00000
 1277.00    0.43604   0.00000
 1278.00    0.43979   0.00000
 1279.00    0.44356   0.00000
 1280.00    0.44734   0.00000
 1281.00    0.45113   0.00000
 1282.00    0.45494   0.00000
 1283.00    0.45876   0.00000
 1284.00    0.46259   0.00000
 1285.00    0.46644   0.00000
 1286.00    0.47030   0.00000
 1287.00    0.47418   0.00000
 1288.00    0.47807   0.00000
 1289.00    0.48197   0.00000
 1290.00    0.48588   0.00000
 1291.00    0.48981   0.00000
 1292.00    0.49375   0.00000
 1293.00    0.49770   0.00000
 1294.00    0.50167   0.00000
 1295.00    0.50565   0.00000
 1296.00    0.50964   0.00000
 1297.00    0.51365   0.00000
 1298.00    0.51767   0.00000
 1299.00    0.52170   0.00000
 1300.00    0.52574   0.00000
 1301.00    0.52980   0.00000
 1302.00    0.53387   0.00000
 1303.00    0.53795   0.00000
 1304.00    0.54204   0.00000
 1305.00    0.54614   0.00000
 1306.00    0.55026   0.00000
 1307.00    0.55439   0.00000
 1308.00    0.55853   0.00000
 1309.00    0.56269   0.00000
 1310.00    0.56686   0.00000
 1311.00    0.57103   0.00000
 1312.00    0.57522   0.00000
 1313.00    0.57943   0.00000
 1314.00    0.58364   0.00000
 1315.00    0.58786   0.00000
 1316.00    0.59210   0.00000
 1317.00    0.59635   0.00000
 1318.00    0.60061   0.00000
 1319.00    0.60488   0.00000
 1320.00    0.60916   0.00000
 1321.00    0.61346   0.00000
 1322.00    0.61776   0.00000
 1323.00    0.62208   0.00000
 1324.00    0.62641   0.00000
 1325.00    0.63075   0.00000
 1326.00    0.63510   0.00000
 1327.00    0.63946   0.00000
 1328.00    0.64383   0.00000
 1329.00    0.64822   0.00000
 1330.00    0.65261   0.00000
 1331.00    0.65701   0.00000
 1332.00    0.66143   0.00000
 1333.00    0.66586   0.00000
 1334.00    0.67029   0.00000
 1335.00    0.67474   0.00000
 1336.00    0.67920   0.00000
 1337.00    0.68366   0.00000
 1338.00    0.68814   0.00000
 1339.00    0.69263   0.00000
 1340.00    0.69713   0.00000
 1341.00    0.70164   0.00000
 1342.00    0.70615   0.00000
 1343.00    0.71068   0.00000
 1344.00    0.71522   0.00000
 1345.00    0.71977   0.00000
 1346.00    0.72433   0.00000
 1347.00    0.72890   0.00000
 1348.00    0.73347   0.00000
 1349.00    0.73806   0.00000
 1350.00    0.74266   0.00000
 1351.00    0.74726   0.00000
 1352.00    0.75188   0.00000
 1353.00    0.75650   0.00000
 1354.00    0.76114   0.00000
 1355.00    0.76578   0.00000
 1356.00    0.77044   0.00000
 1357.00    0.77510   0.00000
 1358.00    0.77977   0.00000
 1359.00    0.78445   0.00000
 1360.00    0.78914   0.00000
 1361.00    0.79383   0.00000
 1362.00    0.79854   0.00000
 1363.00    0.80326   0.00000
 1364.00    0.80798   0.00000
 1365.00    0.81271   0.00000
 1366.00    0.81745   0.00000
 1367.00    0.82220   0.00000
 1368.00    0.82696   0.00000
 1369.00    0.83173   0.00000
 1370.00    0.83650   0.00000
 1371.00    0.84129   0.00000
 1372.00    0.84608   0.00000
 1373.00    0.85088   0.00000
 1374.00    0.85569   0.00000
 1375.00    0.86050   0.00000
 1376.00    0.86532   0.00000
 1377.00    0.87016   0.00000
 1378.00    0.87500   0.00000
 1379.00    0.87984   0.00000
 1380.00    0.88470   0.00000
 1381.00    0.88956   0.00000
 1382.00    0.89443   0.00000
 1383.00    0.89931   0.00000
 1384.00    0.90419   0.00000
 1385.00    0.90908   0.00000
 1386.00    0.91398   0.00000
 1387.00    0.91889   0.00000
 1388.00    0.92380   0.00000
 1389.00    0.92873   0.00000
 1390.00    0.93365   0.00000
 1391.00    0.93859   0.00000
 1392.00    0.94353   0.00000
 1393.00    0.94848   0.00000
 1394.00    0.95344   0.00000
 1395.00    0.95840   0.00000
 1396.00    0.96337   0.00000
 1397.00    0.96835   0.00000
 1398.00    0.97333   0.00000
 1399.00    0.97832   0.00000
 1400.00    0.98332   0.00000
 1401.00    0.98832   0.00000
 1402.00    0.99333   0.00000
 1403.00    0.99835   0.00000
 1404.00    1.00337   0.00000
 1405.00    1.00840   0.00000
 1406.00    1.01343   0.00000
 1407.00    1.01847   0.00000
 1408.00    1.02352   0.00000
 1409.00    1.02857   0.00000
 1410.00    1.03363   0.00000
 1411.00    1.03869   0.00000
 1412.00    1.04376   0.00000
 1413.00    1.04884   0.00000
 1414.00    1.05392   0.00000
 1415.00    1.05901   0.00000
 1416.00    1.06410   0.00000
 1417.00    1.06920   0.00000
 1418.00    1.07430   0.00000
 1419.00    1.07941   0.00000
 1420.00    1.08453   0.00000
 1421.00    1.08965   0.00000
 1422.00    1.09477   0.00000
 1423.00    1.09990   0.00000
 1424.00    1.10504   0.00000
 1425.00    1.11018   0.00000
 1426.00    1.11532   0.00000
 1427.00    1.12048   0.00000
 1428.00    1.12563   0.00000
 1429.00    1.13079   0.00000
 1430.00    1.13596   0.00000
 1431.00    1.14113   0.00000
 1432.00    1.14630   0.00000
 1433.00    1.15148   0.00000
 1434.00    1.15667   0.00000
 1435.00    1.16185   0.00000
 1436.00    1.16705   0.00000
 1437.00    1.17225   0.00000
 1438.00    1.17745   0.00000
 1439.00    1.18265   0.00000
 1440.00    1.18786   0.00000
 1441.00    1.19308   0.00000
 1442.00    1.19830   0.00000
 1443.00    1.20352   0.00000
 1444.00    1.20875   0.00000
 1445.00    1.21398   0.00000
 1446.00    1.21922   0.00000
 1447.00    1.22445   0.00000
 1448.00    1.22970   0.00000
 1449.00    1.23494   0.00000
 1450.00    1.24020   0.00000
 1451.00    1.24545   0.00000
 1452.00    1.25071   0.00000
 1453.00    1.25597   0.00000
 1454.00    1.26123   0.00000
 1455.00    1.26650   0.00000
 1456.00    1.27178   0.00000
 1457.00    1.27705   0.00000
 1458.00    1.28233   0.00000
 1459.00    1.28761   0.00000
 1460.00    1.29290   0.00000
 1461.00    1.29819   0.00000
 1462.00    1.30348   0.00000
 1463.00    1.30877   0.00000
 1464.00    1.31407   0.00000
 1465.00    1.31937   0.00000
 1466.00    1.32468   0.00000
 1467.00    1.32998   0.00000
 1468.00    1.33529   0.00000
 1469.00    1.34061   0.00000
 1470.00    1.34592   0.00000
 1471.00    1.35124   0.00000
 1472.00    1.35656   0.00000
 1473.00    1.36188   0.00000
 1474.00    1.36721   0.00000
 1475.00    1.37254   0.00000
 1476.00    1.37787   0.00000
