   W          M2+(pi0_p)
 (MeV)       Re        Im
 1074.00   -0.00085   0.00000
 1075.00   -0.00197   0.00000
 1076.00   -0.00309   0.00000
 1077.00   -0.00422   0.00000
 1078.00   -0.00535   0.00000
 1079.00   -0.00649   0.00000
 1080.00   -0.00763   0.00000
 1081.00   -0.00877   0.00000
 1082.00   -0.00992   0.00000
 1083.00   -0.01108   0.00000
 1084.00   -0.01224   0.00000
 1085.00   -0.01340   0.00000
 1086.00   -0.01457   0.00000
 1087.00   -0.01574   0.00000
 1088.00   -0.01692   0.00000
 1089.00   -0.01810   0.00000
 1090.00   -0.01928   0.00000
 1091.00   -0.02047   0.00000
 1092.00   -0.02167   0.00000
 1093.00   -0.02287   0.00000
 1094.00   -0.02407   0.00000
 1095.00   -0.02528   0.00000
 1096.00   -0.02649   0.00000
 1097.00   -0.02770   0.00000
 1098.00   -0.02892   0.00000
 1099.00   -0.03015   0.00000
 1100.00   -0.03137   0.00000
 1101.00   -0.03261   0.00000
 1102.00   -0.03384   0.00000
 1103.00   -0.03508   0.00000
 1104.00   -0.03633   0.00000
 1105.00   -0.03757   0.00000
 1106.00   -0.03882   0.00000
 1107.00   -0.04008   0.00000
 1108.00   -0.04134   0.00000
 1109.00   -0.04260   0.00000
 1110.00   -0.04387   0.00000
 1111.00   -0.04514   0.00000
 1112.00   -0.04642   0.00000
 1113.00   -0.04770   0.00000
 1114.00   -0.04898   0.00000
 1115.00   -0.05027   0.00000
 1116.00   -0.05156   0.00000
 1117.00   -0.05285   0.00000
 1118.00   -0.05415   0.00000
 1119.00   -0.05545   0.00000
 1120.00   -0.05675   0.00000
 1121.00   -0.05806   0.00000
 1122.00   -0.05937   0.00000
 1123.00   -0.06069   0.00000
 1124.00   -0.06201   0.00000
 1125.00   -0.06333   0.00000
 1126.00   -0.06465   0.00000
 1127.00   -0.06598   0.00000
 1128.00   -0.06732   0.00000
 1129.00   -0.06865   0.00000
 1130.00   -0.06999   0.00000
 1131.00   -0.07133   0.00000
 1132.00   -0.07268   0.00000
 1133.00   -0.07403   0.00000
 1134.00   -0.07538   0.00000
 1135.00   -0.07674   0.00000
 1136.00   -0.07810   0.00000
 1137.00   -0.07946   0.00000
 1138.00   -0.08083   0.00000
 1139.00   -0.08220   0.00000
 1140.00   -0.08357   0.00000
 1141.00   -0.08495   0.00000
 1142.00   -0.08632   0.00000
 1143.00   -0.08771   0.00000
 1144.00   -0.08909   0.00000
 1145.00   -0.09048   0.00000
 1146.00   -0.09187   0.00000
 1147.00   -0.09326   0.00000
 1148.00   -0.09466   0.00000
 1149.00   -0.09606   0.00000
 1150.00   -0.09746   0.00000
 1151.00   -0.09887   0.00000
 1152.00   -0.10028   0.00000
 1153.00   -0.10169   0.00000
 1154.00   -0.10311   0.00000
 1155.00   -0.10452   0.00000
 1156.00   -0.10595   0.00000
 1157.00   -0.10737   0.00000
 1158.00   -0.10879   0.00000
 1159.00   -0.11022   0.00000
 1160.00   -0.11166   0.00000
 1161.00   -0.11309   0.00000
 1162.00   -0.11453   0.00000
 1163.00   -0.11597   0.00000
 1164.00   -0.11741   0.00000
 1165.00   -0.11886   0.00000
 1166.00   -0.12030   0.00000
 1167.00   -0.12176   0.00000
 1168.00   -0.12321   0.00000
 1169.00   -0.12467   0.00000
 1170.00   -0.12612   0.00000
 1171.00   -0.12759   0.00000
 1172.00   -0.12905   0.00000
 1173.00   -0.13052   0.00000
 1174.00   -0.13198   0.00000
 1175.00   -0.13346   0.00000
 1176.00   -0.13493   0.00000
 1177.00   -0.13641   0.00000
 1178.00   -0.13788   0.00000
 1179.00   -0.13937   0.00000
 1180.00   -0.14085   0.00000
 1181.00   -0.14234   0.00000
 1182.00   -0.14382   0.00000
 1183.00   -0.14532   0.00000
 1184.00   -0.14681   0.00000
 1185.00   -0.14830   0.00000
 1186.00   -0.14980   0.00000
 1187.00   -0.15130   0.00000
 1188.00   -0.15280   0.00000
 1189.00   -0.15431   0.00000
 1190.00   -0.15582   0.00000
 1191.00   -0.15733   0.00000
 1192.00   -0.15884   0.00000
 1193.00   -0.16035   0.00000
 1194.00   -0.16187   0.00000
 1195.00   -0.16338   0.00000
 1196.00   -0.16491   0.00000
 1197.00   -0.16643   0.00000
 1198.00   -0.16795   0.00000
 1199.00   -0.16948   0.00000
 1200.00   -0.17101   0.00000
 1201.00   -0.17254   0.00000
 1202.00   -0.17407   0.00000
 1203.00   -0.17561   0.00000
 1204.00   -0.17714   0.00000
 1205.00   -0.17868   0.00000
 1206.00   -0.18022   0.00000
 1207.00   -0.18176   0.00000
 1208.00   -0.18331   0.00000
 1209.00   -0.18486   0.00000
 1210.00   -0.18640   0.00000
 1211.00   -0.18796   0.00000
 1212.00   -0.18951   0.00000
 1213.00   -0.19106   0.00000
 1214.00   -0.19262   0.00000
 1215.00   -0.19418   0.00000
 1216.00   -0.19574   0.00000
 1217.00   -0.19730   0.00000
 1218.00   -0.19886   0.00000
 1219.00   -0.20043   0.00000
 1220.00   -0.20199   0.00000
 1221.00   -0.20356   0.00000
 1222.00   -0.20513   0.00000
 1223.00   -0.20671   0.00000
 1224.00   -0.20828   0.00000
 1225.00   -0.20986   0.00000
 1226.00   -0.21143   0.00000
 1227.00   -0.21301   0.00000
 1228.00   -0.21459   0.00000
 1229.00   -0.21618   0.00000
 1230.00   -0.21776   0.00000
 1231.00   -0.21935   0.00000
 1232.00   -0.22093   0.00000
 1233.00   -0.22252   0.00000
 1234.00   -0.22411   0.00000
 1235.00   -0.22570   0.00000
 1236.00   -0.22730   0.00000
 1237.00   -0.22889   0.00000
 1238.00   -0.23049   0.00000
 1239.00   -0.23209   0.00000
