   W          M2+(pi0_p)
 (MeV)       Re        Im
 1074.00   -0.00064   0.00000
 1075.00   -0.00147   0.00000
 1076.00   -0.00230   0.00000
 1077.00   -0.00312   0.00000
 1078.00   -0.00394   0.00000
 1079.00   -0.00476   0.00000
 1080.00   -0.00557   0.00000
 1081.00   -0.00638   0.00000
 1082.00   -0.00718   0.00000
 1083.00   -0.00798   0.00000
 1084.00   -0.00878   0.00000
 1085.00   -0.00957   0.00000
 1086.00   -0.01035   0.00000
 1087.00   -0.01113   0.00000
 1088.00   -0.01191   0.00000
 1089.00   -0.01268   0.00000
 1090.00   -0.01345   0.00000
 1091.00   -0.01421   0.00000
 1092.00   -0.01497   0.00000
 1093.00   -0.01572   0.00000
 1094.00   -0.01647   0.00000
 1095.00   -0.01721   0.00000
 1096.00   -0.01794   0.00000
 1097.00   -0.01867   0.00000
 1098.00   -0.01940   0.00000
 1099.00   -0.02012   0.00000
 1100.00   -0.02083   0.00000
 1101.00   -0.02154   0.00000
 1102.00   -0.02224   0.00000
 1103.00   -0.02293   0.00000
 1104.00   -0.02362   0.00000
 1105.00   -0.02431   0.00000
 1106.00   -0.02498   0.00000
 1107.00   -0.02565   0.00000
 1108.00   -0.02632   0.00000
 1109.00   -0.02698   0.00000
 1110.00   -0.02763   0.00000
 1111.00   -0.02827   0.00000
 1112.00   -0.02891   0.00000
 1113.00   -0.02954   0.00000
 1114.00   -0.03016   0.00000
 1115.00   -0.03078   0.00000
 1116.00   -0.03139   0.00000
 1117.00   -0.03199   0.00000
 1118.00   -0.03259   0.00000
 1119.00   -0.03318   0.00000
 1120.00   -0.03376   0.00000
 1121.00   -0.03433   0.00000
 1122.00   -0.03490   0.00000
 1123.00   -0.03546   0.00000
 1124.00   -0.03601   0.00000
 1125.00   -0.03656   0.00000
 1126.00   -0.03710   0.00000
 1127.00   -0.03762   0.00000
 1128.00   -0.03815   0.00000
 1129.00   -0.03866   0.00000
 1130.00   -0.03917   0.00000
 1131.00   -0.03966   0.00000
 1132.00   -0.04016   0.00000
 1133.00   -0.04064   0.00000
 1134.00   -0.04111   0.00000
 1135.00   -0.04158   0.00000
 1136.00   -0.04204   0.00000
 1137.00   -0.04249   0.00000
 1138.00   -0.04293   0.00000
 1139.00   -0.04336   0.00000
 1140.00   -0.04379   0.00000
 1141.00   -0.04420   0.00000
 1142.00   -0.04461   0.00000
 1143.00   -0.04501   0.00000
 1144.00   -0.04540   0.00000
 1145.00   -0.04579   0.00000
 1146.00   -0.04616   0.00000
 1147.00   -0.04653   0.00000
 1148.00   -0.04688   0.00000
 1149.00   -0.04723   0.00000
 1150.00   -0.04757   0.00000
 1151.00   -0.04790   0.00000
 1152.00   -0.04823   0.00000
 1153.00   -0.04854   0.00000
 1154.00   -0.04884   0.00000
 1155.00   -0.04914   0.00000
 1156.00   -0.04943   0.00000
 1157.00   -0.04970   0.00000
 1158.00   -0.04997   0.00000
 1159.00   -0.05023   0.00000
 1160.00   -0.05048   0.00000
 1161.00   -0.05072   0.00000
 1162.00   -0.05095   0.00000
 1163.00   -0.05118   0.00000
 1164.00   -0.05139   0.00000
 1165.00   -0.05160   0.00000
 1166.00   -0.05179   0.00000
 1167.00   -0.05198   0.00000
