   W         M4-(pi0_p)
 (MeV)      Re      Im
 1074.00    0.00000   0.00000
 1075.00    0.00000   0.00000
 1076.00    0.00000   0.00000
 1077.00    0.00000   0.00000
 1078.00    0.00000   0.00000
 1079.00    0.00000   0.00000
 1080.00    0.00000   0.00000
 1081.00    0.00000   0.00000
 1082.00    0.00000   0.00000
 1083.00    0.00000   0.00000
 1084.00    0.00000   0.00000
 1085.00    0.00000   0.00000
 1086.00    0.00000   0.00000
 1087.00    0.00000   0.00000
 1088.00    0.00000   0.00000
 1089.00    0.00000   0.00000
 1090.00    0.00000   0.00000
 1091.00    0.00000   0.00000
 1092.00    0.00000   0.00000
 1093.00    0.00000   0.00000
 1094.00    0.00000   0.00000
 1095.00    0.00000   0.00000
 1096.00    0.00000   0.00000
 1097.00    0.00000   0.00000
 1098.00    0.00000   0.00000
 1099.00    0.00000   0.00000
 1100.00    0.00000   0.00000
 1101.00    0.00001   0.00000
 1102.00    0.00001   0.00000
 1103.00    0.00001   0.00000
 1104.00    0.00001   0.00000
 1105.00    0.00001   0.00000
 1106.00    0.00001   0.00000
 1107.00    0.00001   0.00000
 1108.00    0.00001   0.00000
 1109.00    0.00001   0.00000
 1110.00    0.00001   0.00000
 1111.00    0.00001   0.00000
 1112.00    0.00001   0.00000
 1113.00    0.00001   0.00000
 1114.00    0.00001   0.00000
 1115.00    0.00001   0.00000
 1116.00    0.00002   0.00000
 1117.00    0.00002   0.00000
 1118.00    0.00002   0.00000
 1119.00    0.00002   0.00000
 1120.00    0.00002   0.00000
 1121.00    0.00002   0.00000
 1122.00    0.00002   0.00000
 1123.00    0.00002   0.00000
 1124.00    0.00002   0.00000
 1125.00    0.00003   0.00000
 1126.00    0.00003   0.00000
 1127.00    0.00003   0.00000
 1128.00    0.00003   0.00000
 1129.00    0.00003   0.00000
 1130.00    0.00003   0.00000
 1131.00    0.00003   0.00000
 1132.00    0.00004   0.00000
 1133.00    0.00004   0.00000
 1134.00    0.00004   0.00000
 1135.00    0.00004   0.00000
 1136.00    0.00004   0.00000
 1137.00    0.00005   0.00000
 1138.00    0.00005   0.00000
 1139.00    0.00005   0.00000
 1140.00    0.00005   0.00000
 1141.00    0.00005   0.00000
 1142.00    0.00006   0.00000
 1143.00    0.00006   0.00000
 1144.00    0.00006   0.00000
 1145.00    0.00006   0.00000
 1146.00    0.00007   0.00000
 1147.00    0.00007   0.00000
 1148.00    0.00007   0.00000
 1149.00    0.00007   0.00000
 1150.00    0.00008   0.00000
 1151.00    0.00008   0.00000
 1152.00    0.00008   0.00000
 1153.00    0.00009   0.00000
 1154.00    0.00009   0.00000
 1155.00    0.00009   0.00000
 1156.00    0.00010   0.00000
 1157.00    0.00010   0.00000
 1158.00    0.00010   0.00000
 1159.00    0.00011   0.00000
 1160.00    0.00011   0.00000
 1161.00    0.00012   0.00000
 1162.00    0.00012   0.00000
 1163.00    0.00013   0.00000
 1164.00    0.00013   0.00000
 1165.00    0.00013   0.00000
 1166.00    0.00014   0.00000
 1167.00    0.00014   0.00000
 1168.00    0.00015   0.00000
 1169.00    0.00015   0.00000
 1170.00    0.00016   0.00000
 1171.00    0.00016   0.00000
