   W         E1+(pi0_p)
 (MeV)      Re      Im
 1074.0   -0.025   0.000
 1075.0   -0.038   0.000
 1076.0   -0.047   0.000
 1077.0   -0.055   0.000
 1078.0   -0.063   0.000
 1079.0   -0.069   0.000
 1080.0   -0.075  -0.001
 1081.0   -0.081  -0.002
 1082.0   -0.086  -0.003
 1083.0   -0.092  -0.004
 1084.0   -0.097  -0.005
 1085.0   -0.101  -0.006
 1086.0   -0.106  -0.008
 1087.0   -0.111  -0.009
 1088.0   -0.115  -0.011
 1089.0   -0.119  -0.013
 1090.0   -0.124  -0.015
 1091.0   -0.128  -0.017
 1092.0   -0.132  -0.020
 1093.0   -0.136  -0.023
 1094.0   -0.140  -0.025
 1095.0   -0.144  -0.028
 1096.0   -0.148  -0.032
 1097.0   -0.152  -0.035
 1098.0   -0.155  -0.039
 1099.0   -0.159  -0.042
 1100.0   -0.163  -0.046
 1101.0   -0.167  -0.050
 1102.0   -0.170  -0.054
 1103.0   -0.174  -0.059
 1104.0   -0.177  -0.063
 1105.0   -0.181  -0.068
 1106.0   -0.184  -0.073
 1107.0   -0.188  -0.078
 1108.0   -0.191  -0.083
 1109.0   -0.195  -0.088
 1110.0   -0.198  -0.094
 1111.0   -0.201  -0.099
 1112.0   -0.204  -0.105
 1113.0   -0.208  -0.111
 1114.0   -0.211  -0.117
 1115.0   -0.214  -0.124
 1116.0   -0.217  -0.130
 1117.0   -0.220  -0.137
 1118.0   -0.223  -0.144
 1119.0   -0.226  -0.151
 1120.0   -0.229  -0.159
 1121.0   -0.232  -0.166
 1122.0   -0.235  -0.174
 1123.0   -0.237  -0.182
 1124.0   -0.240  -0.190
 1125.0   -0.242  -0.198
 1126.0   -0.245  -0.206
 1127.0   -0.247  -0.215
 1128.0   -0.250  -0.224
 1129.0   -0.252  -0.233
 1130.0   -0.254  -0.242
 1131.0   -0.256  -0.252
 1132.0   -0.258  -0.261
 1133.0   -0.260  -0.271
 1134.0   -0.262  -0.281
 1135.0   -0.263  -0.292
 1136.0   -0.265  -0.302
 1137.0   -0.266  -0.313
 1138.0   -0.267  -0.324
 1139.0   -0.268  -0.335
 1140.0   -0.269  -0.347
 1141.0   -0.270  -0.359
 1142.0   -0.270  -0.370
 1143.0   -0.271  -0.383
 1144.0   -0.271  -0.395
 1145.0   -0.271  -0.408
 1146.0   -0.270  -0.420
 1147.0   -0.270  -0.434
 1148.0   -0.269  -0.447
 1149.0   -0.268  -0.460
