   W         E2-(pi0_p)
 (MeV)      Re      Im
 1074.0   -0.010   0.000
 1075.0   -0.023   0.000
 1076.0   -0.035   0.000
 1077.0   -0.048   0.000
 1078.0   -0.060   0.000
 1079.0   -0.072   0.000
 1080.0   -0.084   0.000
 1081.0   -0.096   0.000
 1082.0   -0.108   0.000
 1083.0   -0.120   0.000
 1084.0   -0.131   0.000
 1085.0   -0.143   0.000
 1086.0   -0.154   0.000
 1087.0   -0.165   0.000
 1088.0   -0.176   0.000
 1089.0   -0.187   0.000
 1090.0   -0.198   0.000
 1091.0   -0.209   0.000
 1092.0   -0.219   0.000
 1093.0   -0.230   0.000
 1094.0   -0.240   0.000
 1095.0   -0.250   0.001
 1096.0   -0.260   0.001
 1097.0   -0.270   0.001
 1098.0   -0.280   0.001
 1099.0   -0.290   0.001
 1100.0   -0.300   0.001
 1101.0   -0.309   0.001
 1102.0   -0.319   0.001
 1103.0   -0.328   0.001
 1104.0   -0.338   0.001
 1105.0   -0.347   0.001
 1106.0   -0.356   0.001
 1107.0   -0.365   0.001
 1108.0   -0.374   0.001
 1109.0   -0.383   0.001
 1110.0   -0.391   0.001
 1111.0   -0.400   0.001
 1112.0   -0.409   0.001
 1113.0   -0.417   0.002
 1114.0   -0.426   0.002
 1115.0   -0.434   0.002
 1116.0   -0.442   0.002
 1117.0   -0.450   0.002
 1118.0   -0.458   0.002
 1119.0   -0.466   0.002
 1120.0   -0.474   0.002
 1121.0   -0.482   0.002
 1122.0   -0.490   0.003
 1123.0   -0.497   0.003
 1124.0   -0.505   0.003
 1125.0   -0.513   0.003
 1126.0   -0.520   0.003
 1127.0   -0.527   0.003
 1128.0   -0.535   0.003
 1129.0   -0.542   0.003
 1130.0   -0.549   0.004
 1131.0   -0.556   0.004
 1132.0   -0.563   0.004
 1133.0   -0.570   0.004
 1134.0   -0.577   0.004
 1135.0   -0.584   0.004
 1136.0   -0.591   0.004
 1137.0   -0.597   0.005
 1138.0   -0.604   0.005
 1139.0   -0.610   0.005
 1140.0   -0.617   0.005
 1141.0   -0.623   0.005
 1142.0   -0.630   0.005
 1143.0   -0.636   0.006
 1144.0   -0.642   0.006
 1145.0   -0.648   0.006
 1146.0   -0.654   0.006
 1147.0   -0.661   0.006
 1148.0   -0.667   0.006
 1149.0   -0.672   0.007
 1150.0   -0.678   0.007
 1151.0   -0.684   0.007
 1152.0   -0.690   0.007
 1153.0   -0.696   0.008
 1154.0   -0.701   0.008
 1155.0   -0.707   0.008
 1156.0   -0.712   0.009
 1157.0   -0.718   0.009
 1158.0   -0.723   0.009
 1159.0   -0.728   0.010
 1160.0   -0.734   0.010
 1161.0   -0.739   0.010
 1162.0   -0.744   0.011
 1163.0   -0.749   0.011
 1164.0   -0.754   0.011
 1165.0   -0.759   0.012
 1166.0   -0.764   0.012
 1167.0   -0.769   0.012
 1168.0   -0.774   0.013
 1169.0   -0.779   0.013
 1170.0   -0.784   0.014
 1171.0   -0.788   0.014
 1172.0   -0.793   0.014
 1173.0   -0.798   0.015
 1174.0   -0.802   0.015
 1175.0   -0.807   0.016
 1176.0   -0.811   0.016
 1177.0   -0.816   0.016
 1178.0   -0.820   0.017
 1179.0   -0.824   0.017
 1180.0   -0.829   0.018
 1181.0   -0.833   0.018
 1182.0   -0.837   0.019
 1183.0   -0.841   0.019
 1184.0   -0.845   0.020
 1185.0   -0.849   0.020
 1186.0   -0.853   0.021
 1187.0   -0.857   0.022
 1188.0   -0.861   0.022
 1189.0   -0.865   0.023
 1190.0   -0.869   0.023
 1191.0   -0.872   0.024
 1192.0   -0.876   0.025
 1193.0   -0.880   0.025
 1194.0   -0.883   0.026
 1195.0   -0.887   0.027
 1196.0   -0.890   0.027
 1197.0   -0.894   0.028
 1198.0   -0.897   0.029
 1199.0   -0.901   0.030
 1200.0   -0.904   0.031
 1201.0   -0.907   0.031
 1202.0   -0.910   0.032
 1203.0   -0.914   0.033
 1204.0   -0.917   0.034
 1205.0   -0.920   0.035
 1206.0   -0.923   0.036
 1207.0   -0.926   0.037
 1208.0   -0.929   0.038
 1209.0   -0.932   0.039
 1210.0   -0.935   0.039
 1211.0   -0.938   0.040
 1212.0   -0.940   0.041
 1213.0   -0.943   0.042
 1214.0   -0.946   0.043
 1215.0   -0.949   0.044
 1216.0   -0.951   0.045
 1217.0   -0.954   0.046
 1218.0   -0.956   0.047
 1219.0   -0.959   0.048
 1220.0   -0.961   0.049
 1221.0   -0.964   0.050
 1222.0   -0.966   0.052
 1223.0   -0.969   0.053
 1224.0   -0.971   0.054
 1225.0   -0.973   0.055
 1226.0   -0.976   0.056
 1227.0   -0.978   0.058
 1228.0   -0.980   0.059
 1229.0   -0.982   0.060
 1230.0   -0.984   0.061
 1231.0   -0.986   0.063
 1232.0   -0.988   0.064
 1233.0   -0.990   0.065
 1234.0   -0.992   0.067
 1235.0   -0.994   0.068
 1236.0   -0.996   0.069
 1237.0   -0.998   0.071
 1238.0   -1.000   0.072
 1239.0   -1.001   0.074
 1240.0   -1.003   0.075
 1241.0   -1.005   0.077
 1242.0   -1.006   0.078
 1243.0   -1.008   0.080
 1244.0   -1.009   0.081
 1245.0   -1.011   0.083
 1246.0   -1.012   0.085
 1247.0   -1.014   0.086
 1248.0   -1.015   0.088
 1249.0   -1.017   0.090
 1250.0   -1.018   0.091
 1251.0   -1.019   0.093
 1252.0   -1.020   0.095
 1253.0   -1.021   0.096
 1254.0   -1.023   0.098
 1255.0   -1.024   0.100
 1256.0   -1.025   0.102
 1257.0   -1.026   0.103
 1258.0   -1.027   0.105
 1259.0   -1.028   0.107
 1260.0   -1.029   0.109
 1261.0   -1.029   0.111
 1262.0   -1.030   0.113
 1263.0   -1.031   0.115
 1264.0   -1.032   0.117
 1265.0   -1.033   0.119
 1266.0   -1.033   0.121
