   W         E2-(pi0_p)
 (MeV)      Re      Im
 1074.0   -0.010   0.000
 1075.0   -0.024   0.000
 1076.0   -0.037   0.000
 1077.0   -0.050   0.000
 1078.0   -0.063   0.000
 1079.0   -0.076   0.000
 1080.0   -0.088   0.000
 1081.0   -0.101   0.000
 1082.0   -0.113   0.000
 1083.0   -0.125   0.000
 1084.0   -0.137   0.000
 1085.0   -0.150   0.000
 1086.0   -0.161   0.000
 1087.0   -0.173   0.000
 1088.0   -0.185   0.000
 1089.0   -0.196   0.000
 1090.0   -0.208   0.000
 1091.0   -0.219   0.000
 1092.0   -0.231   0.000
 1093.0   -0.242   0.000
 1094.0   -0.253   0.000
 1095.0   -0.264   0.000
 1096.0   -0.275   0.000
 1097.0   -0.285   0.000
 1098.0   -0.296   0.000
 1099.0   -0.306   0.000
 1100.0   -0.317   0.000
 1101.0   -0.327   0.000
 1102.0   -0.338   0.000
 1103.0   -0.348   0.000
 1104.0   -0.358   0.000
 1105.0   -0.368   0.000
 1106.0   -0.378   0.000
 1107.0   -0.388   0.000
 1108.0   -0.397   0.000
 1109.0   -0.407   0.000
 1110.0   -0.417   0.000
 1111.0   -0.426   0.000
 1112.0   -0.436   0.000
 1113.0   -0.445   0.000
 1114.0   -0.454   0.000
 1115.0   -0.464   0.000
 1116.0   -0.473   0.000
 1117.0   -0.482   0.000
 1118.0   -0.491   0.000
 1119.0   -0.500   0.000
 1120.0   -0.509   0.000
 1121.0   -0.517   0.000
 1122.0   -0.526   0.000
 1123.0   -0.535   0.000
 1124.0   -0.543   0.000
 1125.0   -0.552   0.000
 1126.0   -0.560   0.000
 1127.0   -0.569   0.000
 1128.0   -0.577   0.000
 1129.0   -0.585   0.000
 1130.0   -0.594   0.000
 1131.0   -0.602   0.000
 1132.0   -0.610   0.000
 1133.0   -0.618   0.000
 1134.0   -0.626   0.000
 1135.0   -0.634   0.000
 1136.0   -0.642   0.000
 1137.0   -0.650   0.000
 1138.0   -0.657   0.000
 1139.0   -0.665   0.000
 1140.0   -0.673   0.000
 1141.0   -0.680   0.000
 1142.0   -0.688   0.000
 1143.0   -0.695   0.000
 1144.0   -0.703   0.000
 1145.0   -0.710   0.000
 1146.0   -0.717   0.000
 1147.0   -0.725   0.000
 1148.0   -0.732   0.000
 1149.0   -0.739   0.000
 1150.0   -0.746   0.000
 1151.0   -0.753   0.000
 1152.0   -0.760   0.000
 1153.0   -0.767   0.000
 1154.0   -0.774   0.000
 1155.0   -0.781   0.000
 1156.0   -0.788   0.000
 1157.0   -0.795   0.000
 1158.0   -0.802   0.000
 1159.0   -0.808   0.000
 1160.0   -0.815   0.000
 1161.0   -0.822   0.000
 1162.0   -0.828   0.000
 1163.0   -0.835   0.000
 1164.0   -0.841   0.000
 1165.0   -0.848   0.000
 1166.0   -0.854   0.000
 1167.0   -0.861   0.000
 1168.0   -0.867   0.000
 1169.0   -0.873   0.000
 1170.0   -0.880   0.000
 1171.0   -0.886   0.000
 1172.0   -0.892   0.000
 1173.0   -0.898   0.000
 1174.0   -0.904   0.000
 1175.0   -0.910   0.000
 1176.0   -0.916   0.000
 1177.0   -0.922   0.000
 1178.0   -0.928   0.000
 1179.0   -0.934   0.000
 1180.0   -0.940   0.000
 1181.0   -0.946   0.000
 1182.0   -0.952   0.000
 1183.0   -0.958   0.000
 1184.0   -0.963   0.000
 1185.0   -0.969   0.000
 1186.0   -0.975   0.000
 1187.0   -0.980   0.000
 1188.0   -0.986   0.000
 1189.0   -0.992   0.000
 1190.0   -0.997   0.000
 1191.0   -1.003   0.000
 1192.0   -1.008   0.000
 1193.0   -1.014   0.000
 1194.0   -1.019   0.000
 1195.0   -1.024   0.000
 1196.0   -1.030   0.000
 1197.0   -1.035   0.000
 1198.0   -1.040   0.000
 1199.0   -1.046   0.000
 1200.0   -1.051   0.000
 1201.0   -1.056   0.000
 1202.0   -1.061   0.000
 1203.0   -1.066   0.000
 1204.0   -1.071   0.000
 1205.0   -1.076   0.000
 1206.0   -1.082   0.000
 1207.0   -1.087   0.000
 1208.0   -1.092   0.000
 1209.0   -1.096   0.000
 1210.0   -1.101   0.000
 1211.0   -1.106   0.000
 1212.0   -1.111   0.000
 1213.0   -1.116   0.000
 1214.0   -1.121   0.000
 1215.0   -1.126   0.000
 1216.0   -1.130   0.000
 1217.0   -1.135   0.000
 1218.0   -1.140   0.000
 1219.0   -1.145   0.000
 1220.0   -1.149   0.000
 1221.0   -1.154   0.000
 1222.0   -1.159   0.000
 1223.0   -1.163   0.000
 1224.0   -1.168   0.000
 1225.0   -1.172   0.000
 1226.0   -1.177   0.000
 1227.0   -1.181   0.000
 1228.0   -1.186   0.000
 1229.0   -1.190   0.000
 1230.0   -1.194   0.000
 1231.0   -1.199   0.000
 1232.0   -1.203   0.000
 1233.0   -1.208   0.000
 1234.0   -1.212   0.000
 1235.0   -1.216   0.000
 1236.0   -1.220   0.000
 1237.0   -1.225   0.000
 1238.0   -1.229   0.000
 1239.0   -1.233   0.000
 1240.0   -1.237   0.000
 1241.0   -1.241   0.000
 1242.0   -1.246   0.000
 1243.0   -1.250   0.000
 1244.0   -1.254   0.000
 1245.0   -1.258   0.000
 1246.0   -1.262   0.000
 1247.0   -1.266   0.000
 1248.0   -1.270   0.000
 1249.0   -1.274   0.000
 1250.0   -1.278   0.000
 1251.0   -1.282   0.000
 1252.0   -1.286   0.000
 1253.0   -1.290   0.000
 1254.0   -1.293   0.000
 1255.0   -1.297   0.000
 1256.0   -1.301   0.000
 1257.0   -1.305   0.000
 1258.0   -1.309   0.000
 1259.0   -1.312   0.000
 1260.0   -1.316   0.000
 1261.0   -1.320   0.000
 1262.0   -1.324   0.000
 1263.0   -1.327   0.000
 1264.0   -1.331   0.000
 1265.0   -1.335   0.000
 1266.0   -1.338   0.000
