   W         E2-(pi0_p)
 (MeV)      Re      Im
 1074.0   -0.010   0.000
 1075.0   -0.023   0.000
 1076.0   -0.035   0.000
 1077.0   -0.048   0.000
 1078.0   -0.060   0.000
 1079.0   -0.073   0.000
 1080.0   -0.085   0.000
 1081.0   -0.097   0.000
 1082.0   -0.108   0.000
 1083.0   -0.120   0.000
 1084.0   -0.132   0.000
 1085.0   -0.143   0.000
 1086.0   -0.155   0.000
 1087.0   -0.166   0.000
 1088.0   -0.177   0.000
 1089.0   -0.188   0.000
 1090.0   -0.199   0.000
 1091.0   -0.209   0.000
 1092.0   -0.220   0.000
 1093.0   -0.231   0.000
 1094.0   -0.241   0.000
 1095.0   -0.251   0.000
 1096.0   -0.261   0.000
 1097.0   -0.271   0.000
 1098.0   -0.281   0.000
 1099.0   -0.291   0.000
 1100.0   -0.301   0.000
 1101.0   -0.311   0.000
 1102.0   -0.320   0.000
 1103.0   -0.330   0.000
 1104.0   -0.339   0.000
 1105.0   -0.349   0.000
 1106.0   -0.358   0.000
 1107.0   -0.367   0.000
 1108.0   -0.376   0.000
 1109.0   -0.385   0.000
 1110.0   -0.394   0.000
 1111.0   -0.403   0.000
 1112.0   -0.411   0.000
 1113.0   -0.420   0.000
 1114.0   -0.428   0.000
 1115.0   -0.437   0.000
 1116.0   -0.445   0.000
 1117.0   -0.453   0.000
 1118.0   -0.462   0.000
 1119.0   -0.470   0.000
 1120.0   -0.478   0.000
 1121.0   -0.486   0.000
 1122.0   -0.494   0.000
 1123.0   -0.502   0.001
 1124.0   -0.509   0.001
 1125.0   -0.517   0.001
 1126.0   -0.525   0.001
 1127.0   -0.532   0.001
 1128.0   -0.540   0.001
 1129.0   -0.547   0.001
 1130.0   -0.554   0.001
 1131.0   -0.562   0.001
 1132.0   -0.569   0.001
 1133.0   -0.576   0.001
 1134.0   -0.583   0.001
 1135.0   -0.590   0.001
 1136.0   -0.597   0.001
 1137.0   -0.604   0.001
 1138.0   -0.611   0.001
 1139.0   -0.618   0.001
 1140.0   -0.624   0.001
 1141.0   -0.631   0.001
 1142.0   -0.638   0.001
 1143.0   -0.644   0.001
 1144.0   -0.651   0.001
 1145.0   -0.657   0.001
 1146.0   -0.664   0.001
 1147.0   -0.670   0.001
 1148.0   -0.676   0.001
 1149.0   -0.682   0.002
 1150.0   -0.689   0.002
 1151.0   -0.695   0.002
 1152.0   -0.701   0.002
 1153.0   -0.707   0.002
 1154.0   -0.713   0.002
 1155.0   -0.719   0.002
 1156.0   -0.724   0.002
 1157.0   -0.730   0.002
 1158.0   -0.736   0.003
 1159.0   -0.742   0.003
 1160.0   -0.747   0.003
 1161.0   -0.753   0.003
 1162.0   -0.758   0.003
 1163.0   -0.764   0.003
 1164.0   -0.769   0.004
 1165.0   -0.775   0.004
 1166.0   -0.780   0.004
 1167.0   -0.786   0.004
 1168.0   -0.791   0.004
 1169.0   -0.796   0.004
 1170.0   -0.801   0.005
 1171.0   -0.806   0.005
 1172.0   -0.812   0.005
 1173.0   -0.817   0.005
 1174.0   -0.822   0.005
 1175.0   -0.827   0.006
 1176.0   -0.832   0.006
 1177.0   -0.836   0.006
 1178.0   -0.841   0.006
 1179.0   -0.846   0.006
 1180.0   -0.851   0.007
 1181.0   -0.856   0.007
 1182.0   -0.860   0.007
 1183.0   -0.865   0.007
 1184.0   -0.870   0.008
 1185.0   -0.874   0.008
 1186.0   -0.879   0.008
 1187.0   -0.883   0.008
 1188.0   -0.888   0.009
 1189.0   -0.892   0.009
 1190.0   -0.897   0.009
 1191.0   -0.901   0.010
 1192.0   -0.905   0.010
 1193.0   -0.910   0.010
 1194.0   -0.914   0.011
 1195.0   -0.918   0.011
 1196.0   -0.922   0.011
 1197.0   -0.926   0.012
 1198.0   -0.931   0.012
 1199.0   -0.935   0.013
 1200.0   -0.939   0.013
 1201.0   -0.943   0.014
 1202.0   -0.947   0.014
 1203.0   -0.951   0.015
 1204.0   -0.955   0.015
 1205.0   -0.959   0.016
 1206.0   -0.962   0.016
 1207.0   -0.966   0.017
 1208.0   -0.970   0.017
 1209.0   -0.974   0.018
 1210.0   -0.978   0.018
 1211.0   -0.981   0.019
 1212.0   -0.985   0.019
 1213.0   -0.989   0.020
 1214.0   -0.992   0.020
 1215.0   -0.996   0.021
 1216.0   -0.999   0.022
 1217.0   -1.003   0.022
 1218.0   -1.006   0.023
 1219.0   -1.010   0.023
 1220.0   -1.013   0.024
 1221.0   -1.017   0.024
 1222.0   -1.020   0.025
 1223.0   -1.024   0.026
 1224.0   -1.027   0.026
 1225.0   -1.030   0.027
 1226.0   -1.034   0.028
 1227.0   -1.037   0.029
 1228.0   -1.040   0.029
 1229.0   -1.044   0.030
 1230.0   -1.047   0.031
 1231.0   -1.050   0.032
 1232.0   -1.053   0.032
 1233.0   -1.056   0.033
 1234.0   -1.060   0.034
 1235.0   -1.063   0.035
 1236.0   -1.066   0.035
 1237.0   -1.069   0.036
 1238.0   -1.072   0.037
 1239.0   -1.075   0.038
 1240.0   -1.078   0.039
 1241.0   -1.081   0.040
 1242.0   -1.084   0.040
 1243.0   -1.087   0.041
 1244.0   -1.090   0.042
 1245.0   -1.092   0.043
 1246.0   -1.095   0.044
 1247.0   -1.098   0.045
 1248.0   -1.101   0.046
 1249.0   -1.104   0.047
 1250.0   -1.106   0.048
 1251.0   -1.109   0.049
 1252.0   -1.112   0.050
 1253.0   -1.115   0.051
 1254.0   -1.117   0.052
 1255.0   -1.120   0.053
 1256.0   -1.123   0.054
 1257.0   -1.125   0.055
 1258.0   -1.128   0.056
 1259.0   -1.130   0.057
 1260.0   -1.133   0.058
 1261.0   -1.136   0.059
 1262.0   -1.138   0.060
 1263.0   -1.141   0.061
 1264.0   -1.143   0.063
 1265.0   -1.146   0.064
 1266.0   -1.148   0.065
