   W         E2+(pi0_p)
 (MeV)      Re      Im
 1074.0    0.000   0.000
 1075.0    0.000   0.000
 1076.0    0.000   0.000
 1077.0    0.000   0.000
 1078.0    0.000   0.000
 1079.0    0.000   0.000
 1080.0    0.000   0.000
 1081.0    0.000   0.000
 1082.0    0.000   0.000
 1083.0    0.000   0.000
 1084.0    0.000   0.000
 1085.0    0.000   0.000
 1086.0    0.000   0.000
 1087.0    0.000   0.000
 1088.0    0.000   0.000
 1089.0    0.000   0.000
 1090.0    0.000   0.000
 1091.0    0.000   0.000
 1092.0    0.000   0.000
 1093.0    0.000   0.000
 1094.0    0.000   0.000
 1095.0    0.000   0.000
 1096.0    0.000   0.000
 1097.0   -0.001   0.000
 1098.0   -0.001   0.000
 1099.0   -0.001   0.000
 1100.0   -0.001   0.000
 1101.0   -0.001   0.000
 1102.0   -0.001   0.000
 1103.0   -0.001   0.000
 1104.0   -0.001   0.000
 1105.0   -0.001   0.000
 1106.0   -0.001   0.000
 1107.0   -0.001   0.000
 1108.0   -0.001   0.000
 1109.0   -0.001   0.000
 1110.0   -0.001   0.000
 1111.0   -0.001   0.000
 1112.0   -0.001   0.000
 1113.0   -0.001   0.000
 1114.0   -0.001   0.000
 1115.0   -0.001   0.000
 1116.0   -0.001   0.000
 1117.0   -0.001   0.000
 1118.0   -0.001   0.000
 1119.0   -0.001   0.000
 1120.0   -0.001   0.000
 1121.0   -0.001   0.000
 1122.0   -0.001   0.000
 1123.0   -0.001   0.000
 1124.0   -0.001   0.000
 1125.0   -0.001   0.000
 1126.0   -0.001   0.000
 1127.0   -0.001   0.000
 1128.0   -0.001   0.000
 1129.0   -0.001   0.000
 1130.0   -0.001   0.001
 1131.0   -0.001   0.001
 1132.0   -0.001   0.001
 1133.0   -0.001   0.001
 1134.0   -0.001   0.001
 1135.0   -0.001   0.001
 1136.0   -0.001   0.001
 1137.0   -0.001   0.001
 1138.0   -0.002   0.001
 1139.0   -0.002   0.001
 1140.0   -0.002   0.001
 1141.0   -0.002   0.001
 1142.0   -0.002   0.001
 1143.0   -0.002   0.001
 1144.0   -0.002   0.001
 1145.0   -0.002   0.001
 1146.0   -0.002   0.001
 1147.0   -0.002   0.001
 1148.0   -0.002   0.001
 1149.0   -0.002   0.001
 1150.0   -0.002   0.001
 1151.0   -0.002   0.001
 1152.0   -0.002   0.001
 1153.0   -0.002   0.001
 1154.0   -0.002   0.001
 1155.0   -0.002   0.001
 1156.0   -0.002   0.001
 1157.0   -0.002   0.001
 1158.0   -0.002   0.002
 1159.0   -0.002   0.002
 1160.0   -0.002   0.002
 1161.0   -0.002   0.002
 1162.0   -0.002   0.002
 1163.0   -0.002   0.002
 1164.0   -0.002   0.002
 1165.0   -0.002   0.002
 1166.0   -0.002   0.002
 1167.0   -0.002   0.002
 1168.0   -0.002   0.002
 1169.0   -0.002   0.002
 1170.0   -0.003   0.002
 1171.0   -0.003   0.002
 1172.0   -0.003   0.002
 1173.0   -0.003   0.002
 1174.0   -0.003   0.002
 1175.0   -0.003   0.002
 1176.0   -0.003   0.003
 1177.0   -0.003   0.003
 1178.0   -0.003   0.003
 1179.0   -0.003   0.003
 1180.0   -0.003   0.003
 1181.0   -0.003   0.003
 1182.0   -0.003   0.003
 1183.0   -0.003   0.003
 1184.0   -0.003   0.003
 1185.0   -0.003   0.003
 1186.0   -0.003   0.003
 1187.0   -0.003   0.003
 1188.0   -0.003   0.003
 1189.0   -0.003   0.003
 1190.0   -0.003   0.003
 1191.0   -0.003   0.004
 1192.0   -0.003   0.004
 1193.0   -0.003   0.004
 1194.0   -0.003   0.004
 1195.0   -0.003   0.004
 1196.0   -0.003   0.004
 1197.0   -0.004   0.004
 1198.0   -0.004   0.004
 1199.0   -0.004   0.004
 1200.0   -0.004   0.004
 1201.0   -0.004   0.004
 1202.0   -0.004   0.004
 1203.0   -0.004   0.004
 1204.0   -0.004   0.004
 1205.0   -0.004   0.005
 1206.0   -0.004   0.005
 1207.0   -0.004   0.005
 1208.0   -0.004   0.005
 1209.0   -0.004   0.005
 1210.0   -0.004   0.005
 1211.0   -0.004   0.005
 1212.0   -0.004   0.005
 1213.0   -0.004   0.005
 1214.0   -0.004   0.005
 1215.0   -0.004   0.005
 1216.0   -0.004   0.005
 1217.0   -0.004   0.006
 1218.0   -0.004   0.006
 1219.0   -0.004   0.006
 1220.0   -0.004   0.006
 1221.0   -0.005   0.006
 1222.0   -0.005   0.006
 1223.0   -0.005   0.006
 1224.0   -0.005   0.006
 1225.0   -0.005   0.006
 1226.0   -0.005   0.006
 1227.0   -0.005   0.006
 1228.0   -0.005   0.007
 1229.0   -0.005   0.007
 1230.0   -0.005   0.007
 1231.0   -0.005   0.007
 1232.0   -0.005   0.007
 1233.0   -0.005   0.007
 1234.0   -0.005   0.007
 1235.0   -0.005   0.007
 1236.0   -0.005   0.007
 1237.0   -0.005   0.007
 1238.0   -0.005   0.007
 1239.0   -0.005   0.007
 1240.0   -0.005   0.008
 1241.0   -0.005   0.008
 1242.0   -0.006   0.008
 1243.0   -0.006   0.008
 1244.0   -0.006   0.008
 1245.0   -0.006   0.008
 1246.0   -0.006   0.008
 1247.0   -0.006   0.008
 1248.0   -0.006   0.008
 1249.0   -0.006   0.008
 1250.0   -0.006   0.009
 1251.0   -0.006   0.009
 1252.0   -0.006   0.009
 1253.0   -0.006   0.009
 1254.0   -0.006   0.009
 1255.0   -0.006   0.009
 1256.0   -0.006   0.009
 1257.0   -0.006   0.009
 1258.0   -0.006   0.009
 1259.0   -0.006   0.009
 1260.0   -0.006   0.009
 1261.0   -0.006   0.010
 1262.0   -0.007   0.010
 1263.0   -0.007   0.010
 1264.0   -0.007   0.010
 1265.0   -0.007   0.010
 1266.0   -0.007   0.010
 1267.0   -0.007   0.010
 1268.0   -0.007   0.010
 1269.0   -0.007   0.010
 1270.0   -0.007   0.011
 1271.0   -0.007   0.011
 1272.0   -0.007   0.011
 1273.0   -0.007   0.011
 1274.0   -0.007   0.011
 1275.0   -0.007   0.011
 1276.0   -0.007   0.011
 1277.0   -0.007   0.011
 1278.0   -0.007   0.011
 1279.0   -0.007   0.011
 1280.0   -0.008   0.012
 1281.0   -0.008   0.012
 1282.0   -0.008   0.012
 1283.0   -0.008   0.012
 1284.0   -0.008   0.012
 1285.0   -0.008   0.012
 1286.0   -0.008   0.012
 1287.0   -0.008   0.012
 1288.0   -0.008   0.012
 1289.0   -0.008   0.013
 1290.0   -0.008   0.013
 1291.0   -0.008   0.013
 1292.0   -0.008   0.013
 1293.0   -0.008   0.013
 1294.0   -0.008   0.013
 1295.0   -0.008   0.013
 1296.0   -0.008   0.013
 1297.0   -0.008   0.013
 1298.0   -0.009   0.014
 1299.0   -0.009   0.014
 1300.0   -0.009   0.014
