   W         M2-(pi0_p)
 (MeV)      Re      Im
 1074.0    0.000   0.000
 1075.0    0.001   0.000
 1076.0    0.001   0.000
 1077.0    0.002   0.000
 1078.0    0.002   0.000
 1079.0    0.003   0.000
 1080.0    0.003   0.000
 1081.0    0.004   0.000
 1082.0    0.004   0.000
 1083.0    0.005   0.000
 1084.0    0.005   0.000
 1085.0    0.006   0.000
 1086.0    0.006   0.000
 1087.0    0.007   0.000
 1088.0    0.007   0.000
 1089.0    0.008   0.000
 1090.0    0.008   0.000
 1091.0    0.009   0.000
 1092.0    0.010   0.000
 1093.0    0.010   0.000
 1094.0    0.011   0.000
 1095.0    0.011   0.000
 1096.0    0.012   0.000
 1097.0    0.013   0.000
 1098.0    0.013   0.000
 1099.0    0.014   0.000
 1100.0    0.015   0.000
 1101.0    0.015   0.000
 1102.0    0.016   0.000
 1103.0    0.017   0.000
 1104.0    0.017   0.000
 1105.0    0.018   0.000
 1106.0    0.019   0.000
 1107.0    0.019   0.000
 1108.0    0.020   0.000
 1109.0    0.021   0.000
 1110.0    0.021   0.000
 1111.0    0.022   0.000
 1112.0    0.023   0.000
 1113.0    0.024   0.000
 1114.0    0.025   0.000
 1115.0    0.025   0.000
 1116.0    0.026   0.000
 1117.0    0.027   0.000
 1118.0    0.028   0.000
 1119.0    0.028   0.000
 1120.0    0.029   0.000
 1121.0    0.030   0.001
 1122.0    0.031   0.001
 1123.0    0.032   0.001
 1124.0    0.033   0.001
 1125.0    0.034   0.001
 1126.0    0.034   0.001
 1127.0    0.035   0.001
 1128.0    0.036   0.001
 1129.0    0.037   0.001
 1130.0    0.038   0.001
 1131.0    0.039   0.001
 1132.0    0.040   0.001
 1133.0    0.041   0.001
 1134.0    0.042   0.001
 1135.0    0.043   0.001
 1136.0    0.044   0.001
 1137.0    0.045   0.001
 1138.0    0.046   0.001
 1139.0    0.047   0.001
 1140.0    0.048   0.001
 1141.0    0.049   0.001
 1142.0    0.050   0.001
 1143.0    0.051   0.001
 1144.0    0.052   0.001
 1145.0    0.053   0.002
 1146.0    0.054   0.002
 1147.0    0.055   0.002
 1148.0    0.056   0.002
 1149.0    0.058   0.002
 1150.0    0.059   0.002
 1151.0    0.060   0.002
 1152.0    0.061   0.002
 1153.0    0.062   0.002
 1154.0    0.063   0.002
 1155.0    0.065   0.002
 1156.0    0.066   0.002
 1157.0    0.067   0.002
 1158.0    0.068   0.003
 1159.0    0.069   0.003
 1160.0    0.071   0.003
 1161.0    0.072   0.003
 1162.0    0.073   0.003
 1163.0    0.075   0.003
 1164.0    0.076   0.003
 1165.0    0.077   0.003
 1166.0    0.078   0.003
 1167.0    0.080   0.004
 1168.0    0.081   0.004
 1169.0    0.082   0.004
 1170.0    0.084   0.004
 1171.0    0.085   0.004
 1172.0    0.087   0.004
 1173.0    0.088   0.004
 1174.0    0.089   0.004
 1175.0    0.091   0.005
 1176.0    0.092   0.005
 1177.0    0.094   0.005
 1178.0    0.095   0.005
 1179.0    0.097   0.005
 1180.0    0.098   0.005
 1181.0    0.100   0.006
 1182.0    0.101   0.006
 1183.0    0.103   0.006
 1184.0    0.104   0.006
 1185.0    0.106   0.006
 1186.0    0.107   0.006
 1187.0    0.109   0.007
 1188.0    0.111   0.007
 1189.0    0.112   0.007
 1190.0    0.114   0.007
 1191.0    0.116   0.007
 1192.0    0.117   0.008
 1193.0    0.119   0.008
 1194.0    0.121   0.008
 1195.0    0.122   0.008
 1196.0    0.124   0.009
 1197.0    0.126   0.009
 1198.0    0.127   0.009
 1199.0    0.129   0.009
 1200.0    0.131   0.010
 1201.0    0.133   0.010
 1202.0    0.134   0.010
 1203.0    0.136   0.011
 1204.0    0.138   0.011
 1205.0    0.140   0.011
 1206.0    0.142   0.012
 1207.0    0.144   0.012
 1208.0    0.145   0.012
 1209.0    0.147   0.012
 1210.0    0.149   0.013
 1211.0    0.151   0.013
 1212.0    0.153   0.014
 1213.0    0.155   0.014
 1214.0    0.157   0.014
 1215.0    0.159   0.015
 1216.0    0.161   0.015
 1217.0    0.163   0.015
 1218.0    0.165   0.016
 1219.0    0.167   0.016
 1220.0    0.169   0.017
 1221.0    0.171   0.017
 1222.0    0.173   0.017
 1223.0    0.175   0.018
 1224.0    0.177   0.018
 1225.0    0.180   0.019
 1226.0    0.182   0.019
 1227.0    0.184   0.020
 1228.0    0.186   0.020
 1229.0    0.188   0.021
 1230.0    0.190   0.021
 1231.0    0.193   0.022
 1232.0    0.195   0.022
 1233.0    0.197   0.023
 1234.0    0.199   0.023
 1235.0    0.202   0.024
 1236.0    0.204   0.024
 1237.0    0.206   0.025
 1238.0    0.209   0.025
 1239.0    0.211   0.026
 1240.0    0.213   0.026
 1241.0    0.216   0.027
 1242.0    0.218   0.028
 1243.0    0.220   0.028
 1244.0    0.223   0.029
 1245.0    0.225   0.030
 1246.0    0.228   0.030
 1247.0    0.230   0.031
 1248.0    0.233   0.032
 1249.0    0.235   0.032
 1250.0    0.238   0.033
 1251.0    0.240   0.034
 1252.0    0.243   0.034
 1253.0    0.246   0.035
 1254.0    0.248   0.036
 1255.0    0.251   0.037
 1256.0    0.253   0.037
 1257.0    0.256   0.038
 1258.0    0.259   0.039
 1259.0    0.261   0.040
 1260.0    0.264   0.040
 1261.0    0.267   0.041
 1262.0    0.270   0.042
 1263.0    0.272   0.043
 1264.0    0.275   0.044
 1265.0    0.278   0.045
 1266.0    0.281   0.046
 1267.0    0.284   0.047
 1268.0    0.286   0.047
 1269.0    0.289   0.048
 1270.0    0.292   0.049
 1271.0    0.295   0.050
 1272.0    0.298   0.051
 1273.0    0.301   0.052
 1274.0    0.304   0.053
 1275.0    0.307   0.054
 1276.0    0.310   0.055
 1277.0    0.313   0.057
 1278.0    0.316   0.058
 1279.0    0.319   0.059
 1280.0    0.322   0.060
 1281.0    0.325   0.061
 1282.0    0.329   0.062
 1283.0    0.332   0.063
 1284.0    0.335   0.065
 1285.0    0.338   0.066
 1286.0    0.341   0.067
 1287.0    0.345   0.068
 1288.0    0.348   0.069
 1289.0    0.351   0.071
 1290.0    0.354   0.072
 1291.0    0.358   0.073
 1292.0    0.361   0.075
 1293.0    0.364   0.076
 1294.0    0.368   0.078
 1295.0    0.371   0.079
 1296.0    0.375   0.080
 1297.0    0.378   0.082
 1298.0    0.382   0.083
 1299.0    0.385   0.085
 1300.0    0.389   0.086
 1301.0    0.392   0.088
 1302.0    0.396   0.090
 1303.0    0.399   0.091
 1304.0    0.403   0.093
 1305.0    0.407   0.094
 1306.0    0.410   0.096
 1307.0    0.414   0.098
 1308.0    0.418   0.099
 1309.0    0.422   0.101
 1310.0    0.425   0.103
 1311.0    0.429   0.105
 1312.0    0.433   0.107
 1313.0    0.437   0.108
 1314.0    0.441   0.110
 1315.0    0.445   0.112
