   W         M2-(pi0_p)
 (MeV)      Re      Im
 1074.0    0.000   0.000
 1075.0    0.001   0.000
 1076.0    0.001   0.000
 1077.0    0.002   0.000
 1078.0    0.002   0.000
 1079.0    0.003   0.000
 1080.0    0.003   0.000
 1081.0    0.004   0.000
 1082.0    0.004   0.000
 1083.0    0.005   0.000
 1084.0    0.005   0.000
 1085.0    0.006   0.000
 1086.0    0.006   0.000
 1087.0    0.007   0.000
 1088.0    0.007   0.000
 1089.0    0.008   0.000
 1090.0    0.008   0.000
 1091.0    0.009   0.000
 1092.0    0.010   0.000
 1093.0    0.010   0.000
 1094.0    0.011   0.000
 1095.0    0.011   0.000
 1096.0    0.012   0.000
 1097.0    0.013   0.000
 1098.0    0.013   0.000
 1099.0    0.014   0.000
 1100.0    0.014   0.000
 1101.0    0.015   0.000
 1102.0    0.016   0.000
 1103.0    0.016   0.000
 1104.0    0.017   0.000
 1105.0    0.018   0.000
 1106.0    0.018   0.000
 1107.0    0.019   0.000
 1108.0    0.020   0.000
 1109.0    0.020   0.000
 1110.0    0.021   0.000
 1111.0    0.022   0.000
 1112.0    0.023   0.000
 1113.0    0.023   0.000
 1114.0    0.024   0.000
 1115.0    0.025   0.000
 1116.0    0.026   0.000
 1117.0    0.026   0.000
 1118.0    0.027   0.000
 1119.0    0.028   0.000
 1120.0    0.029   0.000
 1121.0    0.030   0.000
 1122.0    0.030   0.000
 1123.0    0.031   0.000
 1124.0    0.032   0.000
 1125.0    0.033   0.000
 1126.0    0.034   0.000
 1127.0    0.035   0.000
 1128.0    0.035   0.000
 1129.0    0.036   0.000
 1130.0    0.037   0.000
 1131.0    0.038   0.000
 1132.0    0.039   0.000
 1133.0    0.040   0.000
 1134.0    0.041   0.000
 1135.0    0.042   0.000
 1136.0    0.043   0.000
 1137.0    0.044   0.000
 1138.0    0.045   0.000
 1139.0    0.046   0.000
 1140.0    0.047   0.000
 1141.0    0.048   0.000
 1142.0    0.049   0.000
 1143.0    0.050   0.000
 1144.0    0.051   0.001
 1145.0    0.052   0.001
 1146.0    0.053   0.001
 1147.0    0.054   0.001
 1148.0    0.055   0.001
 1149.0    0.056   0.001
 1150.0    0.057   0.001
 1151.0    0.058   0.001
 1152.0    0.059   0.001
 1153.0    0.060   0.001
 1154.0    0.061   0.001
 1155.0    0.062   0.001
 1156.0    0.064   0.001
 1157.0    0.065   0.001
 1158.0    0.066   0.001
 1159.0    0.067   0.001
 1160.0    0.068   0.001
 1161.0    0.069   0.001
 1162.0    0.071   0.001
 1163.0    0.072   0.001
 1164.0    0.073   0.001
 1165.0    0.074   0.001
 1166.0    0.075   0.001
 1167.0    0.077   0.001
 1168.0    0.078   0.002
 1169.0    0.079   0.002
 1170.0    0.080   0.002
 1171.0    0.082   0.002
 1172.0    0.083   0.002
 1173.0    0.084   0.002
 1174.0    0.085   0.002
 1175.0    0.087   0.002
 1176.0    0.088   0.002
 1177.0    0.089   0.002
 1178.0    0.091   0.002
 1179.0    0.092   0.002
 1180.0    0.094   0.002
 1181.0    0.095   0.002
 1182.0    0.096   0.002
 1183.0    0.098   0.003
 1184.0    0.099   0.003
 1185.0    0.100   0.003
 1186.0    0.102   0.003
 1187.0    0.103   0.003
 1188.0    0.105   0.003
 1189.0    0.106   0.003
 1190.0    0.108   0.003
 1191.0    0.109   0.003
 1192.0    0.111   0.003
 1193.0    0.112   0.004
 1194.0    0.114   0.004
 1195.0    0.115   0.004
 1196.0    0.117   0.004
 1197.0    0.118   0.004
 1198.0    0.120   0.004
 1199.0    0.121   0.004
 1200.0    0.123   0.004
 1201.0    0.124   0.005
 1202.0    0.126   0.005
 1203.0    0.128   0.005
 1204.0    0.129   0.005
 1205.0    0.131   0.005
 1206.0    0.132   0.005
 1207.0    0.134   0.006
 1208.0    0.136   0.006
 1209.0    0.137   0.006
 1210.0    0.139   0.006
 1211.0    0.141   0.006
 1212.0    0.142   0.006
 1213.0    0.144   0.007
 1214.0    0.146   0.007
 1215.0    0.147   0.007
 1216.0    0.149   0.007
 1217.0    0.151   0.007
 1218.0    0.153   0.007
 1219.0    0.154   0.008
 1220.0    0.156   0.008
 1221.0    0.158   0.008
 1222.0    0.160   0.008
 1223.0    0.161   0.008
 1224.0    0.163   0.009
 1225.0    0.165   0.009
 1226.0    0.167   0.009
 1227.0    0.168   0.009
 1228.0    0.170   0.010
 1229.0    0.172   0.010
 1230.0    0.174   0.010
 1231.0    0.176   0.010
 1232.0    0.178   0.011
 1233.0    0.179   0.011
 1234.0    0.181   0.011
 1235.0    0.183   0.011
 1236.0    0.185   0.012
 1237.0    0.187   0.012
 1238.0    0.189   0.012
 1239.0    0.191   0.012
 1240.0    0.193   0.013
 1241.0    0.195   0.013
 1242.0    0.197   0.013
 1243.0    0.199   0.014
 1244.0    0.201   0.014
 1245.0    0.202   0.014
 1246.0    0.204   0.014
 1247.0    0.206   0.015
 1248.0    0.208   0.015
 1249.0    0.210   0.015
 1250.0    0.212   0.016
 1251.0    0.215   0.016
 1252.0    0.217   0.016
 1253.0    0.219   0.017
 1254.0    0.221   0.017
 1255.0    0.223   0.017
 1256.0    0.225   0.018
 1257.0    0.227   0.018
 1258.0    0.229   0.019
 1259.0    0.231   0.019
 1260.0    0.233   0.019
 1261.0    0.235   0.020
 1262.0    0.237   0.020
 1263.0    0.239   0.020
 1264.0    0.242   0.021
 1265.0    0.244   0.021
 1266.0    0.246   0.022
 1267.0    0.248   0.022
 1268.0    0.250   0.023
 1269.0    0.252   0.023
 1270.0    0.254   0.023
 1271.0    0.257   0.024
 1272.0    0.259   0.024
 1273.0    0.261   0.025
 1274.0    0.263   0.025
 1275.0    0.265   0.026
 1276.0    0.268   0.026
 1277.0    0.270   0.027
 1278.0    0.272   0.027
 1279.0    0.274   0.028
 1280.0    0.277   0.028
 1281.0    0.279   0.029
 1282.0    0.281   0.029
 1283.0    0.284   0.030
 1284.0    0.286   0.030
 1285.0    0.288   0.031
 1286.0    0.290   0.031
 1287.0    0.293   0.032
 1288.0    0.295   0.032
 1289.0    0.297   0.033
 1290.0    0.300   0.033
 1291.0    0.302   0.034
 1292.0    0.304   0.035
 1293.0    0.307   0.035
 1294.0    0.309   0.036
 1295.0    0.311   0.036
 1296.0    0.314   0.037
 1297.0    0.316   0.038
 1298.0    0.318   0.038
 1299.0    0.321   0.039
 1300.0    0.323   0.040
 1301.0    0.326   0.040
 1302.0    0.328   0.041
 1303.0    0.330   0.041
 1304.0    0.333   0.042
 1305.0    0.335   0.043
 1306.0    0.338   0.043
 1307.0    0.345   0.000
 1308.0    0.348   0.000
 1309.0    0.350   0.000
 1310.0    0.353   0.000
 1311.0    0.355   0.000
 1312.0    0.358   0.000
 1313.0    0.361   0.000
 1314.0    0.363   0.000
 1315.0    0.366   0.000
