   W         M1-(pi0_p)
 (MeV)      Re      Im
 1074.0   -0.386   0.001
 1075.0   -0.585   0.002
 1076.0   -0.730   0.002
 1077.0   -0.850   0.002
 1078.0   -0.953   0.003
 1079.0   -1.046   0.003
 1080.0   -1.130   0.003
 1081.0   -1.207   0.004
 1082.0   -1.279   0.004
 1083.0   -1.346   0.005
 1084.0   -1.409   0.005
 1085.0   -1.469   0.006
 1086.0   -1.526   0.006
 1087.0   -1.580   0.007
 1088.0   -1.632   0.008
 1089.0   -1.682   0.008
 1090.0   -1.729   0.009
 1091.0   -1.775   0.010
 1092.0   -1.819   0.011
 1093.0   -1.861   0.011
 1094.0   -1.902   0.012
 1095.0   -1.941   0.013
 1096.0   -1.980   0.014
 1097.0   -2.016   0.015
 1098.0   -2.052   0.016
 1099.0   -2.087   0.018
 1100.0   -2.121   0.019
 1101.0   -2.153   0.020
 1102.0   -2.185   0.021
 1103.0   -2.216   0.022
 1104.0   -2.245   0.024
 1105.0   -2.274   0.025
 1106.0   -2.303   0.027
 1107.0   -2.330   0.028
 1108.0   -2.357   0.029
 1109.0   -2.383   0.031
 1110.0   -2.408   0.033
 1111.0   -2.433   0.034
 1112.0   -2.457   0.036
 1113.0   -2.480   0.037
 1114.0   -2.503   0.039
 1115.0   -2.525   0.041
 1116.0   -2.546   0.043
 1117.0   -2.567   0.045
 1118.0   -2.588   0.046
 1119.0   -2.608   0.048
 1120.0   -2.627   0.050
 1121.0   -2.646   0.052
 1122.0   -2.664   0.054
 1123.0   -2.682   0.056
 1124.0   -2.699   0.058
 1125.0   -2.716   0.060
 1126.0   -2.733   0.062
 1127.0   -2.749   0.065
 1128.0   -2.764   0.067
 1129.0   -2.779   0.069
 1130.0   -2.794   0.071
 1131.0   -2.808   0.074
 1132.0   -2.822   0.076
 1133.0   -2.836   0.079
 1134.0   -2.849   0.081
 1135.0   -2.862   0.084
 1136.0   -2.874   0.086
 1137.0   -2.886   0.089
 1138.0   -2.898   0.091
 1139.0   -2.909   0.094
 1140.0   -2.920   0.097
 1141.0   -2.930   0.100
 1142.0   -2.940   0.102
 1143.0   -2.950   0.105
 1144.0   -2.960   0.108
 1145.0   -2.969   0.111
 1146.0   -2.978   0.114
 1147.0   -2.986   0.117
 1148.0   -2.995   0.120
 1149.0   -3.003   0.123
 1150.0   -3.010   0.126
 1151.0   -3.017   0.129
 1152.0   -3.024   0.132
 1153.0   -3.031   0.135
 1154.0   -3.038   0.138
 1155.0   -3.044   0.141
 1156.0   -3.049   0.145
 1157.0   -3.055   0.148
 1158.0   -3.060   0.151
 1159.0   -3.065   0.154
 1160.0   -3.070   0.158
 1161.0   -3.074   0.161
 1162.0   -3.079   0.164
 1163.0   -3.082   0.168
 1164.0   -3.086   0.171
 1165.0   -3.089   0.175
 1166.0   -3.093   0.178
 1167.0   -3.095   0.182
 1168.0   -3.098   0.186
 1169.0   -3.100   0.189
 1170.0   -3.102   0.193
 1171.0   -3.104   0.197
 1172.0   -3.106   0.200
 1173.0   -3.107   0.204
 1174.0   -3.108   0.208
 1175.0   -3.109   0.211
 1176.0   -3.110   0.215
 1177.0   -3.110   0.219
 1178.0   -3.111   0.223
 1179.0   -3.111   0.227
 1180.0   -3.110   0.231
 1181.0   -3.110   0.235
 1182.0   -3.109   0.239
 1183.0   -3.108   0.243
 1184.0   -3.107   0.247
 1185.0   -3.105   0.251
 1186.0   -3.104   0.255
 1187.0   -3.102   0.260
 1188.0   -3.100   0.264
 1189.0   -3.098   0.268
 1190.0   -3.095   0.273
 1191.0   -3.092   0.277
 1192.0   -3.090   0.282
 1193.0   -3.086   0.287
 1194.0   -3.083   0.293
 1195.0   -3.080   0.303
 1196.0   -3.076   0.287
 1197.0   -3.072   0.300
 1198.0   -3.068   0.306
 1199.0   -3.064   0.312
 1200.0   -3.059   0.317
 1201.0   -3.054   0.322
 1202.0   -3.049   0.328
 1203.0   -3.044   0.333
 1204.0   -3.039   0.338
 1205.0   -3.033   0.343
 1206.0   -3.028   0.348
 1207.0   -3.022   0.352
 1208.0   -3.016   0.357
 1209.0   -3.009   0.361
 1210.0   -3.003   0.366
 1211.0   -2.996   0.370
 1212.0   -2.989   0.374
 1213.0   -2.982   0.379
 1214.0   -2.975   0.383
 1215.0   -2.968   0.388
 1216.0   -2.960   0.393
 1217.0   -2.953   0.399
 1218.0   -2.945   0.405
 1219.0   -2.937   0.411
 1220.0   -2.928   0.418
 1221.0   -2.920   0.425
 1222.0   -2.911   0.432
 1223.0   -2.903   0.440
 1224.0   -2.894   0.448
 1225.0   -2.885   0.456
 1226.0   -2.876   0.464
 1227.0   -2.866   0.471
 1228.0   -2.857   0.479
 1229.0   -2.847   0.487
 1230.0   -2.837   0.495
 1231.0   -2.827   0.502
 1232.0   -2.817   0.509
 1233.0   -2.806   0.516
 1234.0   -2.795   0.524
 1235.0   -2.785   0.531
 1236.0   -2.774   0.538
 1237.0   -2.762   0.545
 1238.0   -2.751   0.552
 1239.0   -2.740   0.560
 1240.0   -2.728   0.567
 1241.0   -2.716   0.574
 1242.0   -2.704   0.582
 1243.0   -2.692   0.589
 1244.0   -2.680   0.597
 1245.0   -2.668   0.605
 1246.0   -2.655   0.613
 1247.0   -2.643   0.621
 1248.0   -2.630   0.629
 1249.0   -2.617   0.638
 1250.0   -2.604   0.646
 1251.0   -2.591   0.655
 1252.0   -2.578   0.664
 1253.0   -2.565   0.673
 1254.0   -2.552   0.682
 1255.0   -2.538   0.691
 1256.0   -2.524   0.701
 1257.0   -2.511   0.710
 1258.0   -2.497   0.720
 1259.0   -2.483   0.730
 1260.0   -2.469   0.739
 1261.0   -2.454   0.749
 1262.0   -2.440   0.759
 1263.0   -2.425   0.769
 1264.0   -2.411   0.779
 1265.0   -2.396   0.789
 1266.0   -2.381   0.800
 1267.0   -2.366   0.810
 1268.0   -2.351   0.821
 1269.0   -2.336   0.832
 1270.0   -2.320   0.843
 1271.0   -2.305   0.854
 1272.0   -2.290   0.865
 1273.0   -2.274   0.876
 1274.0   -2.259   0.888
 1275.0   -2.244   0.900
 1276.0   -2.228   0.912
 1277.0   -2.212   0.924
 1278.0   -2.197   0.936
 1279.0   -2.181   0.948
 1280.0   -2.166   0.961
 1281.0   -2.150   0.973
 1282.0   -2.134   0.986
 1283.0   -2.118   0.999
 1284.0   -2.102   1.012
 1285.0   -2.087   1.026
 1286.0   -2.071   1.039
 1287.0   -2.055   1.053
 1288.0   -2.039   1.067
 1289.0   -2.023   1.081
 1290.0   -2.007   1.096
 1291.0   -1.991   1.111
 1292.0   -1.976   1.125
 1293.0   -1.960   1.141
 1294.0   -1.944   1.156
 1295.0   -1.928   1.172
 1296.0   -1.913   1.188
 1297.0   -1.897   1.203
 1298.0   -1.881   1.220
 1299.0   -1.866   1.236
 1300.0   -1.850   1.252
 1301.0   -1.835   1.269
 1302.0   -1.819   1.286
 1303.0   -1.804   1.303
 1304.0   -1.789   1.320
 1305.0   -1.774   1.337
 1306.0   -1.759   1.354
 1307.0   -1.744   1.372
 1308.0   -1.729   1.390
 1309.0   -1.715   1.408
 1310.0   -1.701   1.427
 1311.0   -1.686   1.445
 1312.0   -1.672   1.464
 1313.0   -1.659   1.483
 1314.0   -1.645   1.503
 1315.0   -1.632   1.522
 1316.0   -1.619   1.542
 1317.0   -1.606   1.562
 1318.0   -1.593   1.582
 1319.0   -1.581   1.602
 1320.0   -1.569   1.623
 1321.0   -1.557   1.643
 1322.0   -1.545   1.664
 1323.0   -1.534   1.685
 1324.0   -1.523   1.706
 1325.0   -1.512   1.727
 1326.0   -1.501   1.748
 1327.0   -1.491   1.770
 1328.0   -1.482   1.792
 1329.0   -1.472   1.814
 1330.0   -1.463   1.836
 1331.0   -1.454   1.858
 1332.0   -1.446   1.881
 1333.0   -1.438   1.903
 1334.0   -1.430   1.926
 1335.0   -1.423   1.949
 1336.0   -1.416   1.972
 1337.0   -1.410   1.995
 1338.0   -1.404   2.018
 1339.0   -1.399   2.041
 1340.0   -1.393   2.064
 1341.0   -1.389   2.087
 1342.0   -1.384   2.110
 1343.0   -1.380   2.133
 1344.0   -1.377   2.155
 1345.0   -1.374   2.178
 1346.0   -1.371   2.201
 1347.0   -1.369   2.224
 1348.0   -1.368   2.246
 1349.0   -1.366   2.269
 1350.0   -1.365   2.291
 1351.0   -1.365   2.313
 1352.0   -1.365   2.336
 1353.0   -1.366   2.358
 1354.0   -1.367   2.380
 1355.0   -1.368   2.402
 1356.0   -1.370   2.423
 1357.0   -1.372   2.445
 1358.0   -1.375   2.466
 1359.0   -1.378   2.487
 1360.0   -1.382   2.508
 1361.0   -1.386   2.529
 1362.0   -1.390   2.549
 1363.0   -1.395   2.569
 1364.0   -1.400   2.589
