   W         M3+(pi0_p)
 (MeV)      Re      Im
 1074.0    0.000   0.000
 1075.0    0.000   0.000
 1076.0    0.000   0.000
 1077.0    0.000   0.000
 1078.0    0.000   0.000
 1079.0    0.000   0.000
 1080.0    0.000   0.000
 1081.0    0.000   0.000
 1082.0    0.000   0.000
 1083.0    0.000   0.000
 1084.0    0.000   0.000
 1085.0    0.000   0.000
 1086.0    0.000   0.000
 1087.0    0.000   0.000
 1088.0    0.000   0.000
 1089.0    0.000   0.000
 1090.0    0.000   0.000
 1091.0    0.000   0.000
 1092.0    0.000   0.000
 1093.0    0.001   0.000
 1094.0    0.001   0.000
 1095.0    0.001   0.000
 1096.0    0.001   0.000
 1097.0    0.001   0.000
 1098.0    0.001   0.000
 1099.0    0.001   0.000
 1100.0    0.001   0.000
 1101.0    0.001   0.000
 1102.0    0.001   0.000
 1103.0    0.001   0.000
 1104.0    0.001   0.000
 1105.0    0.001   0.000
 1106.0    0.001   0.000
 1107.0    0.001   0.000
 1108.0    0.001   0.000
 1109.0    0.001   0.000
 1110.0    0.001   0.000
 1111.0    0.001   0.000
 1112.0    0.002   0.000
 1113.0    0.002   0.000
 1114.0    0.002   0.000
 1115.0    0.002   0.000
 1116.0    0.002   0.000
 1117.0    0.002   0.000
 1118.0    0.002   0.000
 1119.0    0.002   0.000
 1120.0    0.002   0.000
 1121.0    0.002   0.000
 1122.0    0.002   0.000
 1123.0    0.002   0.000
 1124.0    0.002   0.000
 1125.0    0.003   0.000
 1126.0    0.003   0.000
 1127.0    0.003   0.000
 1128.0    0.003   0.000
 1129.0    0.003   0.000
 1130.0    0.003   0.000
 1131.0    0.003   0.000
 1132.0    0.003   0.000
 1133.0    0.003   0.000
 1134.0    0.003   0.000
 1135.0    0.003   0.000
 1136.0    0.004   0.000
 1137.0    0.004   0.000
 1138.0    0.004   0.000
 1139.0    0.004   0.000
 1140.0    0.004   0.000
 1141.0    0.004   0.000
 1142.0    0.004   0.000
 1143.0    0.004   0.000
 1144.0    0.004   0.000
 1145.0    0.004   0.000
 1146.0    0.005   0.000
 1147.0    0.005   0.000
 1148.0    0.005   0.000
 1149.0    0.005   0.000
 1150.0    0.005   0.000
 1151.0    0.005   0.000
 1152.0    0.005   0.000
 1153.0    0.005   0.000
 1154.0    0.006   0.000
 1155.0    0.006   0.000
 1156.0    0.006   0.000
 1157.0    0.006   0.000
 1158.0    0.006   0.000
 1159.0    0.006   0.000
 1160.0    0.006   0.000
 1161.0    0.006   0.000
 1162.0    0.007   0.000
 1163.0    0.007   0.000
 1164.0    0.007   0.000
 1165.0    0.007   0.000
 1166.0    0.007   0.000
 1167.0    0.007   0.000
 1168.0    0.007   0.000
 1169.0    0.008   0.000
 1170.0    0.008   0.000
 1171.0    0.008   0.000
 1172.0    0.008   0.000
 1173.0    0.008   0.000
 1174.0    0.008   0.000
 1175.0    0.008   0.000
 1176.0    0.009   0.000
 1177.0    0.009   0.000
 1178.0    0.009   0.000
 1179.0    0.009   0.000
 1180.0    0.009   0.000
 1181.0    0.009   0.000
 1182.0    0.010   0.000
 1183.0    0.010   0.000
 1184.0    0.010   0.000
 1185.0    0.010   0.000
 1186.0    0.010   0.000
 1187.0    0.010   0.000
 1188.0    0.011   0.000
 1189.0    0.011   0.000
 1190.0    0.011   0.000
 1191.0    0.011   0.000
 1192.0    0.011   0.000
 1193.0    0.012   0.000
 1194.0    0.012   0.000
 1195.0    0.012   0.000
 1196.0    0.012   0.000
 1197.0    0.012   0.000
 1198.0    0.013   0.000
 1199.0    0.013   0.000
 1200.0    0.013   0.000
 1201.0    0.013   0.000
 1202.0    0.013   0.000
 1203.0    0.013   0.000
 1204.0    0.014   0.000
 1205.0    0.014   0.000
 1206.0    0.014   0.000
 1207.0    0.014   0.000
 1208.0    0.015   0.000
 1209.0    0.015   0.000
 1210.0    0.015   0.000
 1211.0    0.015   0.000
 1212.0    0.015   0.000
 1213.0    0.016   0.000
 1214.0    0.016   0.000
 1215.0    0.016   0.000
 1216.0    0.016   0.000
 1217.0    0.017   0.000
 1218.0    0.017   0.000
 1219.0    0.017   0.000
 1220.0    0.017   0.000
 1221.0    0.017   0.000
 1222.0    0.018   0.000
 1223.0    0.018   0.000
 1224.0    0.018   0.000
 1225.0    0.018   0.000
 1226.0    0.019   0.000
 1227.0    0.019   0.000
 1228.0    0.019   0.000
 1229.0    0.019   0.000
 1230.0    0.020   0.000
 1231.0    0.020   0.000
 1232.0    0.020   0.000
 1233.0    0.020   0.000
 1234.0    0.021   0.000
 1235.0    0.021   0.000
 1236.0    0.021   0.000
 1237.0    0.021   0.000
 1238.0    0.022   0.000
 1239.0    0.022   0.000
 1240.0    0.022   0.000
 1241.0    0.023   0.000
 1242.0    0.023   0.000
 1243.0    0.023   0.000
 1244.0    0.023   0.000
 1245.0    0.024   0.000
 1246.0    0.024   0.000
 1247.0    0.024   0.001
 1248.0    0.024   0.001
 1249.0    0.025   0.001
 1250.0    0.025   0.001
 1251.0    0.025   0.001
 1252.0    0.026   0.001
 1253.0    0.026   0.001
 1254.0    0.026   0.001
 1255.0    0.027   0.001
 1256.0    0.027   0.001
 1257.0    0.027   0.001
 1258.0    0.027   0.001
 1259.0    0.028   0.001
 1260.0    0.028   0.001
 1261.0    0.028   0.001
 1262.0    0.029   0.001
 1263.0    0.029   0.001
 1264.0    0.029   0.001
 1265.0    0.030   0.001
 1266.0    0.030   0.001
 1267.0    0.030   0.001
 1268.0    0.031   0.001
 1269.0    0.031   0.001
 1270.0    0.031   0.001
 1271.0    0.032   0.001
 1272.0    0.032   0.001
 1273.0    0.032   0.001
 1274.0    0.033   0.001
 1275.0    0.033   0.001
 1276.0    0.033   0.001
 1277.0    0.034   0.001
 1278.0    0.034   0.001
 1279.0    0.034   0.001
 1280.0    0.035   0.001
 1281.0    0.035   0.001
 1282.0    0.036   0.001
 1283.0    0.036   0.001
 1284.0    0.036   0.001
 1285.0    0.037   0.001
 1286.0    0.037   0.001
 1287.0    0.037   0.001
 1288.0    0.038   0.001
 1289.0    0.038   0.001
 1290.0    0.038   0.001
 1291.0    0.039   0.001
 1292.0    0.039   0.001
 1293.0    0.040   0.001
 1294.0    0.040   0.001
 1295.0    0.040   0.001
 1296.0    0.041   0.001
 1297.0    0.041   0.001
 1298.0    0.042   0.001
 1299.0    0.042   0.001
 1300.0    0.042   0.001
 1301.0    0.043   0.002
 1302.0    0.043   0.002
 1303.0    0.044   0.002
 1304.0    0.044   0.002
 1305.0    0.044   0.002
 1306.0    0.045   0.002
 1307.0    0.045   0.002
 1308.0    0.046   0.002
 1309.0    0.046   0.002
 1310.0    0.046   0.002
 1311.0    0.047   0.002
 1312.0    0.047   0.002
 1313.0    0.048   0.002
 1314.0    0.048   0.002
 1315.0    0.049   0.002
