   W         E0+(pi0_p)
 (MeV)      Re         Im
 1074.0   -0.25557   -0.18720
 1075.0   -0.25652   -0.05352
 1076.0   -0.25864    0.07380
 1077.0   -0.26123    0.19380
 1078.0   -0.26406    0.30744
 1079.0   -0.26689    0.41424
 1080.0   -0.27090    0.51421
 1081.0   -0.27514    0.60852
 1082.0   -0.27986    0.69599
 1083.0   -0.28481    0.77780
 1084.0   -0.28976    0.85348
 1085.0   -0.29542    0.92280
 1086.0   -0.30060    0.98669
 1087.0   -0.30650    1.04492
 1088.0   -0.31310    1.09750
 1089.0   -0.31923    1.14395
 1090.0   -0.32607    1.18544
 1091.0   -0.33314    1.23047
 1092.0   -0.33974    1.27315
 1093.0   -0.34705    1.31323
 1094.0   -0.35389    1.35142
 1095.0   -0.36096    1.38702
 1096.0   -0.36874    1.42333
 1097.0   -0.37558    1.45775
 1098.0   -0.38265    1.49076
 1099.0   -0.38925    1.52283
 1100.0   -0.39680    1.55277
 1101.0   -0.40316    1.58342
 1102.0   -0.41047    1.61265
 1103.0   -0.41731    1.64142
 1104.0   -0.42438    1.66900
 1105.0   -0.43098    1.69517
 1106.0   -0.43924    1.72087
 1107.0   -0.44725    1.74704
 1108.0   -0.45503    1.77203
 1109.0   -0.46305    1.79514
 1110.0   -0.47201    1.81895
 1111.0   -0.47908    1.84135
 1112.0   -0.48521    1.86445
 1113.0   -0.49158    1.88567
 1114.0   -0.49771    1.90760
 1115.0   -0.50384    1.92811
 1116.0   -0.50997    1.94886
 1117.0   -0.51586    1.96819
 1118.0   -0.52270    1.98823
 1119.0   -0.52906    2.00757
 1120.0   -0.53543    2.02643
 1121.0   -0.54203    2.04505
 1122.0   -0.54910    2.06344
 1123.0   -0.55712    2.08160
 1124.0   -0.56372    2.09904
 1125.0   -0.57197    2.11602
 1126.0   -0.57999    2.13299
 1127.0   -0.58848    2.14926
 1128.0   -0.59791    2.16577
 1129.0   -0.60663    2.18133
 1130.0   -0.61701    2.19712
 1131.0   -0.62596    2.21221
 1132.0   -0.63587    2.22730
 1133.0   -0.64624    2.24168
 1134.0   -0.65638    2.25559
 1135.0   -0.66652    2.26950
 1136.0   -0.67901    2.28389
 1137.0   -0.69198    2.29709
 1138.0   -0.70613    2.31029
 1139.0   -0.72098    2.32302
 1140.0   -0.73678    2.33552
 1141.0   -0.75045    2.34825
 1142.0   -0.76530    2.36028
 1143.0   -0.77992    2.37230
 1144.0   -0.79501    2.38362
 1145.0   -0.80939    2.39564
 1146.0   -0.82613    2.40649
 1147.0   -0.84405    2.41780
 1148.0   -0.86173    2.42794
 1149.0   -0.88012    2.43926
 1150.0   -0.89946    2.44940
 1151.0   -0.91667    2.45906
 1152.0   -0.93388    2.46920
 1153.0   -0.95156    2.47887
 1154.0   -0.96830    2.48900
 1155.0   -0.98551    2.49796
 1156.0   -1.00272    2.50763
 1157.0   -1.01970    2.51659
 1158.0   -1.03714    2.52626
 1159.0   -1.05459    2.53474
 1160.0   -1.07227    2.54370
 1161.0   -1.08878    2.55219
 1162.0   -1.10622    2.56115
 1163.0   -1.12320    2.56964
 1164.0   -1.13970    2.57812
 1165.0   -1.15644    2.58591
 1166.0   -1.17271    2.59439
 1167.0   -1.18945    2.60288
 1168.0   -1.20666    2.61019
 1169.0   -1.22246    2.61797
 1170.0   -1.23943    2.62599
 1171.0   -1.25452    2.63329
 1172.0   -1.27008    2.64107
 1173.0   -1.28612    2.64838
 1174.0   -1.30073    2.65640
 1175.0   -1.31606    2.66371
 1176.0   -1.32973    2.67102
 1177.0   -1.34388    2.67833
 1178.0   -1.35732    2.68564
 1179.0   -1.36934    2.69294
 1180.0   -1.38231    2.70025
 1181.0   -1.39551    2.70780
 1182.0   -1.40966    2.71511
 1183.0   -1.42380    2.72194
 1184.0   -1.43724    2.72878
 1185.0   -1.45115    2.73515
 1186.0   -1.46388    2.74198
 1187.0   -1.47638    2.74953
 1188.0   -1.48935    2.75589
 1189.0   -1.50114    2.76273
 1190.0   -1.51340    2.76910
 1191.0   -1.52471    2.77546
 1192.0   -1.53603    2.78183
 1193.0   -1.54711    2.78819
 1194.0   -1.55725    2.79456
 1195.0   -1.56739    2.80093
 1196.0   -1.57823    2.80729
 1197.0   -1.58908    2.81366
 1198.0   -1.59992    2.81955
 1199.0   -1.61077    2.82615
 1200.0   -1.62138    2.83252
 1201.0   -1.63128    2.83841
 1202.0   -1.64024    2.84501
 1203.0   -1.64920    2.85091
 1204.0   -1.65792    2.85680
 1205.0   -1.66665    2.86270
 1206.0   -1.67466    2.86859
 1207.0   -1.68338    2.87519
 1208.0   -1.69069    2.88109
 1209.0   -1.69918    2.88698
 1210.0   -1.70696    2.89358
 1211.0   -1.71451    2.89901
 1212.0   -1.72158    2.90490
 1213.0   -1.72912    2.91103
 1214.0   -1.73596    2.91598
 1215.0   -1.74327    2.92140
 1216.0   -1.75081    2.92753
 1217.0   -1.75812    2.93248
 1218.0   -1.76543    2.93744
 1219.0   -1.77321    2.94239
 1220.0   -1.78099    2.94734
 1221.0   -1.78736    2.95135
 1222.0   -1.79302    2.95606
 1223.0   -1.79868    2.96007
 1224.0   -1.80433    2.96431
 1225.0   -1.80858    2.96856
 1226.0   -1.81447    2.97327
 1227.0   -1.81989    2.97799
 1228.0   -1.82461    2.98341
 1229.0   -1.82980    2.98813
 1230.0   -1.83475    2.99284
 1231.0   -1.83993    2.99826
 1232.0   -1.84441    3.00251
 1233.0   -1.84866    3.00793
 1234.0   -1.85290    3.01217
 1235.0   -1.85667    3.01713
 1236.0   -1.86092    3.02208
 1237.0   -1.86445    3.02585
 1238.0   -1.86799    3.03151
 1239.0   -1.87153    3.03646
 1240.0   -1.87436    3.04141
 1241.0   -1.87766    3.04589
 1242.0   -1.87954    3.05155
 1243.0   -1.88214    3.05650
 1244.0   -1.88379    3.06216
 1245.0   -1.88497    3.06711
 1246.0   -1.88732    3.07277
 1247.0   -1.88921    3.07842
 1248.0   -1.89157    3.08290
 1249.0   -1.89345    3.08856
 1250.0   -1.89581    3.09422
 1251.0   -1.89746    3.09988
 1252.0   -1.89911    3.10507
 1253.0   -1.90076    3.11096
 1254.0   -1.90171    3.11615
 1255.0   -1.90312    3.12086
 1256.0   -1.90406    3.12676
 1257.0   -1.90477    3.13194
 1258.0   -1.90548    3.13784
 1259.0   -1.90571    3.14303
 1260.0   -1.90642    3.14939
 1261.0   -1.90642    3.15458
 1262.0   -1.90571    3.16047
 1263.0   -1.90430    3.16637
 1264.0   -1.90359    3.17226
 1265.0   -1.90147    3.17815
 1266.0   -1.90076    3.18476
 1267.0   -1.89935    3.19065
 1268.0   -1.89911    3.19607
 1269.0   -1.89841    3.20197
 1270.0   -1.89746    3.20810
 1271.0   -1.89534    3.21399
 1272.0   -1.89369    3.22059
 1273.0   -1.89133    3.22719
 1274.0   -1.88897    3.23332
 1275.0   -1.88591    3.23993
 1276.0   -1.88284    3.24535
 1277.0   -1.87978    3.25195
 1278.0   -1.87671    3.25808
 1279.0   -1.87365    3.26421
 1280.0   -1.87011    3.27034
 1281.0   -1.86752    3.27765
 1282.0   -1.86375    3.28331
 1283.0   -1.86068    3.28944
 1284.0   -1.85809    3.29627
 1285.0   -1.85502    3.30311
 1286.0   -1.85125    3.30995
 1287.0   -1.84724    3.31608
 1288.0   -1.84276    3.32339
 1289.0   -1.83758    3.33023
 1290.0   -1.83239    3.33706
 1291.0   -1.82767    3.34437
 1292.0   -1.82225    3.35074
 1293.0   -1.81707    3.35828
