   W         E2-(pi0_p)
 (MeV)      Re         Im
 1074.0   -0.00778    0.00000
 1075.0   -0.02004    0.00000
 1076.0   -0.03089    0.00000
 1077.0   -0.04267    0.00000
 1078.0   -0.05376    0.00000
 1079.0   -0.06460    0.00000
 1080.0   -0.07521    0.00000
 1081.0   -0.08606    0.00000
 1082.0   -0.09690    0.00000
 1083.0   -0.10727    0.00000
 1084.0   -0.11741    0.00000
 1085.0   -0.12731    0.00000
 1086.0   -0.13745    0.00000
 1087.0   -0.14736    0.00000
 1088.0   -0.15702    0.00000
 1089.0   -0.16645    0.00000
 1090.0   -0.17659    0.00000
 1091.0   -0.18531    0.00000
 1092.0   -0.19427    0.00000
 1093.0   -0.20347    0.00000
 1094.0   -0.21243    0.00000
 1095.0   -0.22162    0.00000
 1096.0   -0.22987    0.00000
 1097.0   -0.23883    0.00000
 1098.0   -0.24709    0.00000
 1099.0   -0.25534    0.00000
 1100.0   -0.26406    0.00000
 1101.0   -0.27160    0.00000
 1102.0   -0.28009    0.00000
 1103.0   -0.28811    0.00000
 1104.0   -0.29636    0.00000
 1105.0   -0.30367    0.00000
 1106.0   -0.31121    0.00000
 1107.0   -0.31829    0.00000
 1108.0   -0.32607    0.00000
 1109.0   -0.33361    0.00000
 1110.0   -0.34068    0.00000
 1111.0   -0.34729    0.00000
 1112.0   -0.35483    0.00000
 1113.0   -0.36120    0.00000
 1114.0   -0.36780    0.00000
 1115.0   -0.37511    0.00000
 1116.0   -0.38147    0.00000
 1117.0   -0.38855    0.00000
 1118.0   -0.39468    0.00000
 1119.0   -0.40081    0.00000
 1120.0   -0.40717    0.00000
 1121.0   -0.41377    0.00000
 1122.0   -0.41920    0.00000
 1123.0   -0.42603    0.00000
 1124.0   -0.43122    0.00000
 1125.0   -0.43711    0.00000
 1126.0   -0.44324    0.00000
 1127.0   -0.44867    0.00000
 1128.0   -0.45385    0.00000
 1129.0   -0.45975    0.00000
 1130.0   -0.46564    0.00000
 1131.0   -0.47059    0.00000
 1132.0   -0.47625    0.00000
 1133.0   -0.48073    0.00000
 1134.0   -0.48663    0.00000
 1135.0   -0.49134    0.00000
 1136.0   -0.49629    0.00000
 1137.0   -0.50124    0.00000
 1138.0   -0.50643    0.00000
 1139.0   -0.51115    0.00000
 1140.0   -0.51586    0.00000
 1141.0   -0.52010    0.00000
 1142.0   -0.52506    0.00000
 1143.0   -0.52883    0.00000
 1144.0   -0.53401    0.00000
 1145.0   -0.53802    0.00000
 1146.0   -0.54227    0.00000
 1147.0   -0.54651    0.00000
 1148.0   -0.55075    0.00000
 1149.0   -0.55523    0.00000
 1150.0   -0.55853    0.00000
 1151.0   -0.56254    0.00000
 1152.0   -0.56608    0.00000
 1153.0   -0.57032    0.00000
 1154.0   -0.57386    0.00000
 1155.0   -0.57763    0.00000
 1156.0   -0.58140    0.00000
 1157.0   -0.58541    0.00000
 1158.0   -0.58824    0.00000
 1159.0   -0.59225    0.00000
 1160.0   -0.59531    0.00000
 1161.0   -0.59885    0.00000
 1162.0   -0.60192    0.00000
 1163.0   -0.60522    0.00000
 1164.0   -0.60899    0.00000
 1165.0   -0.61111    0.00000
 1166.0   -0.61512    0.00000
 1167.0   -0.61795    0.00000
 1168.0   -0.62031    0.00000
 1169.0   -0.62337    0.00000
 1170.0   -0.62644    0.00000
 1171.0   -0.62879    0.00000
 1172.0   -0.63209    0.00000
 1173.0   -0.63469    0.00000
 1174.0   -0.63681    0.00000
 1175.0   -0.63964    0.00000
 1176.0   -0.64176    0.00000
 1177.0   -0.64459    0.00000
 1178.0   -0.64695    0.00000
 1179.0   -0.64954    0.00000
 1180.0   -0.65190    0.00000
 1181.0   -0.65379    0.00000
 1182.0   -0.65638    0.00000
 1183.0   -0.65850    0.00000
 1184.0   -0.66039    0.00000
 1185.0   -0.66204    0.00000
 1186.0   -0.66487    0.00000
 1187.0   -0.66652    0.00000
 1188.0   -0.66817    0.00000
 1189.0   -0.67052    0.00000
 1190.0   -0.67218    0.00000
 1191.0   -0.67406    0.00000
 1192.0   -0.67595    0.00000
 1193.0   -0.67783    0.00000
 1194.0   -0.67925    0.00000
 1195.0   -0.68066    0.00000
 1196.0   -0.68208    0.00000
 1197.0   -0.68420    0.00000
 1198.0   -0.68514    0.00000
 1199.0   -0.68679    0.00000
 1200.0   -0.68774    0.00000
 1201.0   -0.68939    0.00000
 1202.0   -0.69056    0.00000
 1203.0   -0.69174    0.00000
 1204.0   -0.69292    0.00000
 1205.0   -0.69410    0.00000
 1206.0   -0.69599    0.00000
 1207.0   -0.69669    0.00000
 1208.0   -0.69811    0.00000
 1209.0   -0.69882    0.00000
 1210.0   -0.69976    0.00000
 1211.0   -0.70047    0.00000
 1212.0   -0.70141    0.00000
 1213.0   -0.70235    0.00000
 1214.0   -0.70330    0.00000
 1215.0   -0.70377    0.00000
 1216.0   -0.70471    0.00000
 1217.0   -0.70518    0.00000
 1218.0   -0.70636    0.00000
 1219.0   -0.70683    0.00000
 1220.0   -0.70801    0.00000
 1221.0   -0.70801    0.00000
 1222.0   -0.70872    0.00000
 1223.0   -0.70872    0.00000
 1224.0   -0.70943    0.00000
 1225.0   -0.71013    0.00000
 1226.0   -0.71084    0.00000
 1227.0   -0.71037    0.00000
 1228.0   -0.71061    0.00000
 1229.0   -0.71155    0.00000
 1230.0   -0.71178    0.00000
 1231.0   -0.71202    0.00000
 1232.0   -0.71178    0.00000
 1233.0   -0.71202    0.00000
 1234.0   -0.71249    0.00000
 1235.0   -0.71226    0.00000
 1236.0   -0.71273    0.00000
 1237.0   -0.71249    0.00000
 1238.0   -0.71249    0.00000
 1239.0   -0.71226    0.00000
 1240.0   -0.71226    0.00000
 1241.0   -0.71226    0.00000
 1242.0   -0.71155    0.00000
 1243.0   -0.71155    0.00000
 1244.0   -0.71155    0.00000
 1245.0   -0.71108    0.00000
 1246.0   -0.71108    0.00000
 1247.0   -0.71061    0.00000
 1248.0   -0.71013    0.00000
 1249.0   -0.70966    0.00000
 1250.0   -0.70990    0.00000
 1251.0   -0.70943    0.00000
 1252.0   -0.70895    0.00000
 1253.0   -0.70801    0.00000
 1254.0   -0.70825    0.00000
 1255.0   -0.70730    0.00000
 1256.0   -0.70707    0.00000
 1257.0   -0.70613    0.00000
 1258.0   -0.70589    0.00000
 1259.0   -0.70495    0.00000
 1260.0   -0.70424    0.00000
 1261.0   -0.70400    0.00000
 1262.0   -0.70259    0.00000
 1263.0   -0.70235    0.00000
 1264.0   -0.70165    0.00000
 1265.0   -0.70094    0.00000
 1266.0   -0.69952    0.00000
 1267.0   -0.69882    0.00000
 1268.0   -0.69811    0.00000
 1269.0   -0.69693    0.00000
 1270.0   -0.69622    0.00000
 1271.0   -0.69504    0.00000
 1272.0   -0.69434    0.00000
 1273.0   -0.69316    0.00000
 1274.0   -0.69198    0.00000
 1275.0   -0.69151    0.00000
 1276.0   -0.69033    0.00000
 1277.0   -0.68915    0.00000
 1278.0   -0.68750    0.00000
 1279.0   -0.68632    0.00000
 1280.0   -0.68585    0.00000
 1281.0   -0.68420    0.00000
 1282.0   -0.68255    0.00000
 1283.0   -0.68208    0.00000
 1284.0   -0.68043    0.00000
 1285.0   -0.67948    0.00000
 1286.0   -0.67783    0.00000
