   W         E3-(pi0_p)
 (MeV)      Re         Im
 1074.0    0.00024    0.00000
 1075.0    0.00094    0.00000
 1076.0    0.00165    0.00000
 1077.0    0.00212    0.00000
 1078.0    0.00259    0.00000
 1079.0    0.00306    0.00000
 1080.0    0.00377    0.00000
 1081.0    0.00401    0.00000
 1082.0    0.00472    0.00000
 1083.0    0.00566    0.00000
 1084.0    0.00589    0.00000
 1085.0    0.00684    0.00000
 1086.0    0.00731    0.00000
 1087.0    0.00825    0.00000
 1088.0    0.00872    0.00000
 1089.0    0.00919    0.00000
 1090.0    0.01014    0.00000
 1091.0    0.01061    0.00000
 1092.0    0.01108    0.00000
 1093.0    0.01155    0.00000
 1094.0    0.01155    0.00000
 1095.0    0.01202    0.00000
 1096.0    0.01320    0.00000
 1097.0    0.01367    0.00000
 1098.0    0.01415    0.00000
 1099.0    0.01462    0.00000
 1100.0    0.01462    0.00000
 1101.0    0.01509    0.00000
 1102.0    0.01627    0.00000
 1103.0    0.01674    0.00000
 1104.0    0.01721    0.00000
 1105.0    0.01768    0.00000
 1106.0    0.01815    0.00000
 1107.0    0.01863    0.00000
 1108.0    0.01910    0.00000
 1109.0    0.01886    0.00000
 1110.0    0.01933    0.00000
 1111.0    0.01980    0.00000
 1112.0    0.02028    0.00000
 1113.0    0.02122    0.00000
 1114.0    0.02098    0.00000
 1115.0    0.02145    0.00000
 1116.0    0.02169    0.00000
 1117.0    0.02216    0.00000
 1118.0    0.02240    0.00000
 1119.0    0.02287    0.00000
 1120.0    0.02311    0.00000
 1121.0    0.02334    0.00000
 1122.0    0.02358    0.00000
 1123.0    0.02334    0.00000
 1124.0    0.02428    0.00000
 1125.0    0.02452    0.00000
 1126.0    0.02523    0.00000
 1127.0    0.02546    0.00000
 1128.0    0.02499    0.00000
 1129.0    0.02523    0.00000
 1130.0    0.02546    0.00000
 1131.0    0.02617    0.00000
 1132.0    0.02641    0.00000
 1133.0    0.02641    0.00000
 1134.0    0.02664    0.00000
 1135.0    0.02664    0.00000
 1136.0    0.02688    0.00000
 1137.0    0.02688    0.00000
 1138.0    0.02688    0.00000
 1139.0    0.02758    0.00000
 1140.0    0.02758    0.00000
 1141.0    0.02758    0.00000
 1142.0    0.02758    0.00000
 1143.0    0.02758    0.00000
 1144.0    0.02876    0.00000
 1145.0    0.02876    0.00000
 1146.0    0.02924    0.00000
 1147.0    0.02924    0.00000
 1148.0    0.02924    0.00000
 1149.0    0.02900    0.00000
 1150.0    0.02947    0.00000
 1151.0    0.02947    0.00000
 1152.0    0.02994    0.00000
 1153.0    0.03041    0.00000
 1154.0    0.03018    0.00000
 1155.0    0.03065    0.00000
 1156.0    0.03112    0.00000
 1157.0    0.03089    0.00000
 1158.0    0.03136    0.00000
 1159.0    0.03112    0.00000
 1160.0    0.03206    0.00000
 1161.0    0.03183    0.00000
 1162.0    0.03159    0.00000
 1163.0    0.03254    0.00000
 1164.0    0.03230    0.00000
 1165.0    0.03254    0.00000
 1166.0    0.03230    0.00000
 1167.0    0.03324    0.00000
 1168.0    0.03348    0.00000
 1169.0    0.03371    0.00000
 1170.0    0.03395    0.00000
 1171.0    0.03442    0.00000
 1172.0    0.03466    0.00000
 1173.0    0.03489    0.00000
 1174.0    0.03560    0.00000
 1175.0    0.03584    0.00000
 1176.0    0.03607    0.00000
 1177.0    0.03631    0.00000
 1178.0    0.03654    0.00000
 1179.0    0.03796    0.00000
 1180.0    0.03819    0.00000
 1181.0    0.03890    0.00000
 1182.0    0.03914    0.00000
 1183.0    0.03984    0.00000
 1184.0    0.04008    0.00000
 1185.0    0.04079    0.00000
 1186.0    0.04079    0.00000
 1187.0    0.04102    0.00000
 1188.0    0.04173    0.00071
 1189.0    0.04244    0.00071
 1190.0    0.04315    0.00071
 1191.0    0.04385    0.00071
 1192.0    0.04456    0.00071
 1193.0    0.04527    0.00071
 1194.0    0.04527    0.00071
 1195.0    0.04597    0.00071
 1196.0    0.04668    0.00071
 1197.0    0.04786    0.00071
 1198.0    0.04857    0.00071
 1199.0    0.04857    0.00071
 1200.0    0.04928    0.00071
 1201.0    0.05045    0.00071
 1202.0    0.05116    0.00071
 1203.0    0.05234    0.00071
 1204.0    0.05234    0.00071
 1205.0    0.05352    0.00071
 1206.0    0.05423    0.00071
 1207.0    0.05541    0.00071
 1208.0    0.05588    0.00071
 1209.0    0.05658    0.00071
 1210.0    0.05776    0.00071
 1211.0    0.05823    0.00071
 1212.0    0.05941    0.00071
 1213.0    0.06059    0.00071
 1214.0    0.06177    0.00071
 1215.0    0.06295    0.00071
 1216.0    0.06342    0.00071
 1217.0    0.06460    0.00141
 1218.0    0.06507    0.00141
 1219.0    0.06625    0.00141
 1220.0    0.06743    0.00141
 1221.0    0.06790    0.00212
 1222.0    0.06908    0.00212
 1223.0    0.07026    0.00212
 1224.0    0.07120    0.00283
 1225.0    0.07238    0.00283
 1226.0    0.07356    0.00354
 1227.0    0.07450    0.00354
 1228.0    0.07568    0.00424
 1229.0    0.07662    0.00424
 1230.0    0.07780    0.00495
 1231.0    0.07945    0.00495
 1232.0    0.07993    0.00613
 1233.0    0.08158    0.00613
 1234.0    0.08275    0.00684
 1235.0    0.08370    0.00684
 1236.0    0.08535    0.00754
 1237.0    0.08653    0.00754
 1238.0    0.08747    0.00754
 1239.0    0.08912    0.00825
 1240.0    0.09077    0.00825
 1241.0    0.09124    0.00896
 1242.0    0.09289    0.00896
 1243.0    0.09384    0.00967
 1244.0    0.09549    0.00967
 1245.0    0.09714    0.01037
 1246.0    0.09808    0.01037
 1247.0    0.09973    0.01108
 1248.0    0.10067    0.01108
 1249.0    0.10232    0.01179
 1250.0    0.10397    0.01179
 1251.0    0.10492    0.01250
 1252.0    0.10657    0.01250
 1253.0    0.10751    0.01250
 1254.0    0.10963    0.01320
 1255.0    0.11058    0.01367
 1256.0    0.11223    0.01438
 1257.0    0.11388    0.01438
 1258.0    0.11529    0.01509
 1259.0    0.11694    0.01509
 1260.0    0.11788    0.01580
 1261.0    0.11953    0.01580
 1262.0    0.12095    0.01650
 1263.0    0.12260    0.01650
 1264.0    0.12401    0.01650
 1265.0    0.12566    0.01721
 1266.0    0.12708    0.01721
 1267.0    0.12873    0.01792
 1268.0    0.13014    0.01792
 1269.0    0.13179    0.01863
 1270.0    0.13321    0.01863
 1271.0    0.13486    0.01933
 1272.0    0.13627    0.01980
 1273.0    0.13792    0.01980
 1274.0    0.13934    0.02051
 1275.0    0.14146    0.02051
 1276.0    0.14311    0.02122
 1277.0    0.14453    0.02122
 1278.0    0.14594    0.02193
 1279.0    0.14806    0.02193
 1280.0    0.14901    0.02263
 1281.0    0.15113    0.02263
 1282.0    0.15254    0.02263
 1283.0    0.15466    0.02334
 1284.0    0.15608    0.02334
 1285.0    0.15820    0.02452
 1286.0    0.15962    0.02452
 1287.0    0.16127    0.02523
 1288.0    0.16268    0.02523
 1289.0    0.16409    0.02523
 1290.0    0.16622    0.02593
 1291.0    0.16763    0.02593
 1292.0    0.16975    0.02664
 1293.0    0.17117    0.02664
 1294.0    0.17258    0.02735
 1295.0    0.17470    0.02735
 1296.0    0.17659    0.02782
 1297.0    0.17871    0.02853
 1298.0    0.18013    0.02853
 1299.0    0.18225    0.02924
 1300.0    0.18366    0.02924
 1301.0    0.18579    0.02994
