   W         M2-(pi0_p)
 (MeV)      Re         Im
 1074.0    0.00024    0.00000
 1075.0    0.00165    0.00000
 1076.0    0.00189    0.00000
 1077.0    0.00330    0.00000
 1078.0    0.00354    0.00000
 1079.0    0.00495    0.00000
 1080.0    0.00566    0.00000
 1081.0    0.00684    0.00000
 1082.0    0.00754    0.00000
 1083.0    0.00825    0.00000
 1084.0    0.00943    0.00000
 1085.0    0.01014    0.00000
 1086.0    0.01132    0.00000
 1087.0    0.01179    0.00000
 1088.0    0.01250    0.00000
 1089.0    0.01367    0.00000
 1090.0    0.01462    0.00000
 1091.0    0.01580    0.00000
 1092.0    0.01627    0.00000
 1093.0    0.01674    0.00000
 1094.0    0.01839    0.00000
 1095.0    0.01933    0.00000
 1096.0    0.01980    0.00000
 1097.0    0.02075    0.00000
 1098.0    0.02169    0.00000
 1099.0    0.02263    0.00000
 1100.0    0.02358    0.00000
 1101.0    0.02452    0.00000
 1102.0    0.02546    0.00000
 1103.0    0.02570    0.00000
 1104.0    0.02711    0.00000
 1105.0    0.02806    0.00000
 1106.0    0.02876    0.00000
 1107.0    0.03018    0.00000
 1108.0    0.03041    0.00000
 1109.0    0.03183    0.00000
 1110.0    0.03254    0.00000
 1111.0    0.03324    0.00000
 1112.0    0.03466    0.00000
 1113.0    0.03537    0.00000
 1114.0    0.03607    0.00000
 1115.0    0.03725    0.00000
 1116.0    0.03796    0.00000
 1117.0    0.03914    0.00000
 1118.0    0.03984    0.00000
 1119.0    0.04102    0.00000
 1120.0    0.04173    0.00000
 1121.0    0.04291    0.00000
 1122.0    0.04338    0.00000
 1123.0    0.04456    0.00000
 1124.0    0.04574    0.00000
 1125.0    0.04621    0.00000
 1126.0    0.04739    0.00000
 1127.0    0.04857    0.00000
 1128.0    0.04904    0.00000
 1129.0    0.05069    0.00000
 1130.0    0.05116    0.00000
 1131.0    0.05234    0.00000
 1132.0    0.05328    0.00000
 1133.0    0.05376    0.00000
 1134.0    0.05541    0.00071
 1135.0    0.05635    0.00071
 1136.0    0.05729    0.00071
 1137.0    0.05776    0.00071
 1138.0    0.05871    0.00071
 1139.0    0.06036    0.00071
 1140.0    0.06130    0.00071
 1141.0    0.06224    0.00071
 1142.0    0.06319    0.00071
 1143.0    0.06460    0.00071
 1144.0    0.06554    0.00071
 1145.0    0.06649    0.00071
 1146.0    0.06743    0.00071
 1147.0    0.06884    0.00071
 1148.0    0.06979    0.00071
 1149.0    0.07120    0.00071
 1150.0    0.07215    0.00071
 1151.0    0.07356    0.00024
 1152.0    0.07427    0.00024
 1153.0    0.07521    0.00024
 1154.0    0.07662    0.00024
 1155.0    0.07804    0.00024
 1156.0    0.07945    0.00094
 1157.0    0.08087    0.00094
 1158.0    0.08158    0.00094
 1159.0    0.08299    0.00094
 1160.0    0.08441    0.00094
 1161.0    0.08582    0.00094
 1162.0    0.08771    0.00094
 1163.0    0.08841    0.00094
 1164.0    0.08983    0.00094
 1165.0    0.09124    0.00094
 1166.0    0.09313    0.00094
 1167.0    0.09384    0.00094
 1168.0    0.09572    0.00165
 1169.0    0.09714    0.00165
 1170.0    0.09902    0.00165
 1171.0    0.10091    0.00165
 1172.0    0.10232    0.00165
 1173.0    0.10421    0.00165
 1174.0    0.10539    0.00165
 1175.0    0.10727    0.00165
 1176.0    0.10916    0.00165
 1177.0    0.11105    0.00165
 1178.0    0.11223    0.00236
 1179.0    0.11411    0.00236
 1180.0    0.11600    0.00236
 1181.0    0.11788    0.00236
 1182.0    0.11906    0.00236
 1183.0    0.12095    0.00236
 1184.0    0.12284    0.00236
 1185.0    0.12519    0.00306
 1186.0    0.12708    0.00306
 1187.0    0.12897    0.00306
 1188.0    0.13132    0.00306
 1189.0    0.13250    0.00306
 1190.0    0.13486    0.00306
 1191.0    0.13675    0.00377
 1192.0    0.13910    0.00377
 1193.0    0.14099    0.00377
 1194.0    0.14335    0.00377
 1195.0    0.14500    0.00377
 1196.0    0.14736    0.00377
 1197.0    0.14924    0.00401
 1198.0    0.15160    0.00401
 1199.0    0.15396    0.00401
 1200.0    0.15631    0.00401
 1201.0    0.15867    0.00401
 1202.0    0.16103    0.00472
 1203.0    0.16339    0.00472
 1204.0    0.16575    0.00472
 1205.0    0.16787    0.00472
 1206.0    0.17022    0.00542
 1207.0    0.17258    0.00542
 1208.0    0.17494    0.00542
 1209.0    0.17730    0.00542
 1210.0    0.18013    0.00613
 1211.0    0.18248    0.00613
 1212.0    0.18484    0.00613
 1213.0    0.18767    0.00613
 1214.0    0.19003    0.00684
 1215.0    0.19215    0.00684
 1216.0    0.19451    0.00684
 1217.0    0.19734    0.00754
 1218.0    0.19970    0.00754
 1219.0    0.20252    0.00825
 1220.0    0.20535    0.00825
 1221.0    0.20818    0.00896
 1222.0    0.21101    0.00967
 1223.0    0.21337    0.00967
 1224.0    0.21620    0.01037
 1225.0    0.21832    0.01108
 1226.0    0.22115    0.01179
 1227.0    0.22398    0.01179
 1228.0    0.22634    0.01250
 1229.0    0.22917    0.01367
 1230.0    0.23200    0.01367
 1231.0    0.23530    0.01438
 1232.0    0.23813    0.01509
 1233.0    0.24096    0.01580
 1234.0    0.24378    0.01580
 1235.0    0.24709    0.01650
 1236.0    0.24991    0.01721
 1237.0    0.25274    0.01792
 1238.0    0.25557    0.01792
 1239.0    0.25817    0.01863
 1240.0    0.26100    0.01933
 1241.0    0.26382    0.02004
 1242.0    0.26713    0.02051
 1243.0    0.26995    0.02122
 1244.0    0.27326    0.02193
 1245.0    0.27656    0.02263
 1246.0    0.27939    0.02334
 1247.0    0.28269    0.02334
 1248.0    0.28552    0.02405
 1249.0    0.28882    0.02476
 1250.0    0.29212    0.02546
 1251.0    0.29495    0.02664
 1252.0    0.29825    0.02735
 1253.0    0.30155    0.02735
 1254.0    0.30485    0.02806
 1255.0    0.30815    0.02876
 1256.0    0.31145    0.02947
 1257.0    0.31475    0.03065
 1258.0    0.31805    0.03136
 1259.0    0.32135    0.03206
 1260.0    0.32465    0.03277
 1261.0    0.32795    0.03277
 1262.0    0.33125    0.03348
 1263.0    0.33456    0.03466
 1264.0    0.33786    0.03537
 1265.0    0.34116    0.03607
 1266.0    0.34493    0.03678
 1267.0    0.34823    0.03749
 1268.0    0.35153    0.03867
 1269.0    0.35483    0.03937
 1270.0    0.35860    0.04008
 1271.0    0.36190    0.04079
 1272.0    0.36520    0.04150
 1273.0    0.36898    0.04267
 1274.0    0.37228    0.04338
 1275.0    0.37605    0.04409
 1276.0    0.37982    0.04480
 1277.0    0.38312    0.04597
 1278.0    0.38690    0.04739
 1279.0    0.39020    0.04810
 1280.0    0.39397    0.04928
 1281.0    0.39727    0.04998
 1282.0    0.40175    0.05069
 1283.0    0.40552    0.05140
 1284.0    0.40929    0.05258
 1285.0    0.41307    0.05399
 1286.0    0.41637    0.05470
 1287.0    0.42014    0.05588
 1288.0    0.42391    0.05658
 1289.0    0.42768    0.05800
 1290.0    0.43146    0.05918
 1291.0    0.43594    0.05989
 1292.0    0.43971    0.06059
 1293.0    0.44348    0.06248
 1294.0    0.44725    0.06319
 1295.0    0.45173    0.06389
 1296.0    0.45550    0.06578
 1297.0    0.45928    0.06649
 1298.0    0.46352    0.06837
 1299.0    0.46800    0.06908
 1300.0    0.47177    0.07097
 1301.0    0.47554    0.07167
