   W         M2-(pi0_p)
 (MeV)      Re         Im
 1074.0    0.00047    0.00000
 1075.0    0.00094    0.00000
 1076.0    0.00212    0.00000
 1077.0    0.00259    0.00000
 1078.0    0.00306    0.00000
 1079.0    0.00354    0.00000
 1080.0    0.00448    0.00000
 1081.0    0.00495    0.00000
 1082.0    0.00519    0.00000
 1083.0    0.00613    0.00000
 1084.0    0.00707    0.00000
 1085.0    0.00731    0.00000
 1086.0    0.00872    0.00000
 1087.0    0.00896    0.00000
 1088.0    0.01037    0.00000
 1089.0    0.01108    0.00000
 1090.0    0.01179    0.00000
 1091.0    0.01250    0.00000
 1092.0    0.01320    0.00000
 1093.0    0.01391    0.00000
 1094.0    0.01462    0.00000
 1095.0    0.01580    0.00000
 1096.0    0.01698    0.00000
 1097.0    0.01768    0.00000
 1098.0    0.01815    0.00000
 1099.0    0.01933    0.00000
 1100.0    0.02051    0.00000
 1101.0    0.02145    0.00000
 1102.0    0.02263    0.00000
 1103.0    0.02311    0.00000
 1104.0    0.02405    0.00000
 1105.0    0.02570    0.00000
 1106.0    0.02664    0.00000
 1107.0    0.02758    0.00000
 1108.0    0.02853    0.00000
 1109.0    0.02947    0.00000
 1110.0    0.03041    0.00000
 1111.0    0.03136    0.00000
 1112.0    0.03277    0.00000
 1113.0    0.03371    0.00000
 1114.0    0.03513    0.00000
 1115.0    0.03654    0.00000
 1116.0    0.03725    0.00000
 1117.0    0.03867    0.00000
 1118.0    0.04008    0.00000
 1119.0    0.04079    0.00000
 1120.0    0.04267    0.00000
 1121.0    0.04338    0.00000
 1122.0    0.04527    0.00000
 1123.0    0.04597    0.00000
 1124.0    0.04715    0.00000
 1125.0    0.04904    0.00000
 1126.0    0.05022    0.00000
 1127.0    0.05140    0.00000
 1128.0    0.05328    0.00000
 1129.0    0.05446    0.00000
 1130.0    0.05564    0.00000
 1131.0    0.05729    0.00000
 1132.0    0.05847    0.00000
 1133.0    0.06012    0.00000
 1134.0    0.06130    0.00000
 1135.0    0.06295    0.00000
 1136.0    0.06460    0.00000
 1137.0    0.06625    0.00000
 1138.0    0.06719    0.00000
 1139.0    0.06884    0.00000
 1140.0    0.07049    0.00000
 1141.0    0.07215    0.00000
 1142.0    0.07356    0.00000
 1143.0    0.07521    0.00000
 1144.0    0.07733    0.00000
 1145.0    0.07828    0.00000
 1146.0    0.08040    0.00000
 1147.0    0.08252    0.00000
 1148.0    0.08393    0.00000
 1149.0    0.08606    0.00000
 1150.0    0.08747    0.00000
 1151.0    0.08888    0.00000
 1152.0    0.09101    0.00000
 1153.0    0.09242    0.00000
 1154.0    0.09501    0.00000
 1155.0    0.09643    0.00000
 1156.0    0.09832    0.00000
 1157.0    0.09973    0.00000
 1158.0    0.10232    0.00000
 1159.0    0.10421    0.00000
 1160.0    0.10610    0.00000
 1161.0    0.10751    0.00000
 1162.0    0.10940    0.00000
 1163.0    0.11128    0.00000
 1164.0    0.11435    0.00000
 1165.0    0.11623    0.00000
 1166.0    0.11812    0.00000
 1167.0    0.12001    0.00000
 1168.0    0.12236    0.00000
 1169.0    0.12425    0.00000
 1170.0    0.12661    0.00000
 1171.0    0.12849    0.00000
 1172.0    0.13085    0.00000
 1173.0    0.13250    0.00000
 1174.0    0.13486    0.00000
 1175.0    0.13722    0.00000
 1176.0    0.13957    0.00000
 1177.0    0.14193    0.00000
 1178.0    0.14429    0.00000
 1179.0    0.14594    0.00000
 1180.0    0.14830    0.00000
 1181.0    0.15113    0.00000
 1182.0    0.15349    0.00000
 1183.0    0.15514    0.00000
 1184.0    0.15796    0.00000
 1185.0    0.16079    0.00000
 1186.0    0.16244    0.00000
 1187.0    0.16527    0.00000
 1188.0    0.16810    0.00000
 1189.0    0.17022    0.00000
 1190.0    0.17305    0.00000
 1191.0    0.17470    0.00000
 1192.0    0.17800    0.00000
 1193.0    0.18083    0.00000
 1194.0    0.18296    0.00000
 1195.0    0.18579    0.00000
 1196.0    0.18791    0.00000
 1197.0    0.19121    0.00000
 1198.0    0.19333    0.00000
 1199.0    0.19663    0.00000
 1200.0    0.19875    0.00000
 1201.0    0.20135    0.00000
 1202.0    0.20418    0.00000
 1203.0    0.20677    0.00000
 1204.0    0.21007    0.00000
 1205.0    0.21266    0.00000
 1206.0    0.21526    0.00000
 1207.0    0.21856    0.00000
 1208.0    0.22115    0.00000
 1209.0    0.22374    0.00000
 1210.0    0.22704    0.00000
 1211.0    0.22964    0.00000
 1212.0    0.23223    0.00000
 1213.0    0.23600    0.00000
 1214.0    0.23860    0.00000
 1215.0    0.24119    0.00000
 1216.0    0.24496    0.00000
 1217.0    0.24756    0.00000
 1218.0    0.25062    0.00000
 1219.0    0.25369    0.00000
 1220.0    0.25628    0.00000
 1221.0    0.26005    0.00000
 1222.0    0.26312    0.00000
 1223.0    0.26618    0.00000
 1224.0    0.26925    0.00000
 1225.0    0.27231    0.00000
 1226.0    0.27608    0.00000
 1227.0    0.27915    0.00000
 1228.0    0.28221    0.00000
 1229.0    0.28528    0.00000
 1230.0    0.28834    0.00000
 1231.0    0.29188    0.00000
 1232.0    0.29495    0.00000
 1233.0    0.29872    0.00000
 1234.0    0.30225    0.00000
 1235.0    0.30532    0.00000
 1236.0    0.30886    0.00000
 1237.0    0.31192    0.00000
 1238.0    0.31546    0.00000
 1239.0    0.31899    0.00000
 1240.0    0.32253    0.00000
 1241.0    0.32560    0.00000
 1242.0    0.32913    0.00000
 1243.0    0.33267    0.00000
 1244.0    0.33621    0.00000
 1245.0    0.33974    0.00000
 1246.0    0.34328    0.00000
 1247.0    0.34681    0.00000
 1248.0    0.35035    0.00000
 1249.0    0.35436    0.00000
 1250.0    0.35790    0.00000
 1251.0    0.36143    0.00000
 1252.0    0.36497    0.00000
 1253.0    0.36898    0.00000
 1254.0    0.37251    0.00000
 1255.0    0.37652    0.00000
 1256.0    0.38006    0.00000
 1257.0    0.38407    0.00000
 1258.0    0.38807    0.00000
 1259.0    0.39161    0.00000
 1260.0    0.39562    0.00000
 1261.0    0.39963    0.00000
 1262.0    0.40316    0.00000
 1263.0    0.40717    0.00000
 1264.0    0.41118    0.00000
 1265.0    0.41519    0.00000
 1266.0    0.41920    0.00000
 1267.0    0.42320    0.00000
 1268.0    0.42721    0.00000
 1269.0    0.43122    0.00000
 1270.0    0.43523    0.00000
 1271.0    0.43900    0.00000
 1272.0    0.44301    0.00000
 1273.0    0.44702    0.00000
 1274.0    0.45150    0.00000
 1275.0    0.45550    0.00000
 1276.0    0.45951    0.00000
 1277.0    0.46399    0.00000
 1278.0    0.46800    0.00000
 1279.0    0.47248    0.00000
 1280.0    0.47649    0.00000
 1281.0    0.48026    0.00000
 1282.0    0.48474    0.00000
 1283.0    0.48875    0.00000
 1284.0    0.49323    0.00000
 1285.0    0.49771    0.00000
 1286.0    0.50219    0.00000
 1287.0    0.50667    0.00000
 1288.0    0.51115    0.00000
 1289.0    0.51492    0.00000
 1290.0    0.51940    0.00000
 1291.0    0.52388    0.00000
 1292.0    0.52836    0.00000
 1293.0    0.53284    0.00000
 1294.0    0.53732    0.00000
 1295.0    0.54180    0.00000
 1296.0    0.54557    0.00000
 1297.0    0.55052    0.00000
 1298.0    0.55500    0.00000
 1299.0    0.55948    0.00000
 1300.0    0.56443    0.00000
 1301.0    0.56891    0.00000
 1302.0    0.57386    0.00000
 1303.0    0.57763    0.00000
 1304.0    0.58258    0.00000
 1305.0    0.58706    0.00000
 1306.0    0.59201    0.00000
 1307.0    0.59649    0.00000
 1308.0    0.60144    0.00000
 1309.0    0.60569    0.00000
