   W         M2+(pi0_p)
 (MeV)      Re         Im
 1074.0   -0.00047    0.00000
 1075.0   -0.00094    0.00000
 1076.0   -0.00259    0.00000
 1077.0   -0.00236    0.00000
 1078.0   -0.00330    0.00000
 1079.0   -0.00424    0.00000
 1080.0   -0.00519    0.00000
 1081.0   -0.00613    0.00000
 1082.0   -0.00637    0.00000
 1083.0   -0.00731    0.00000
 1084.0   -0.00872    0.00000
 1085.0   -0.00896    0.00000
 1086.0   -0.00967    0.00000
 1087.0   -0.01061    0.00000
 1088.0   -0.01132    0.00000
 1089.0   -0.01202    0.00000
 1090.0   -0.01344    0.00000
 1091.0   -0.01415    0.00000
 1092.0   -0.01485    0.00000
 1093.0   -0.01556    0.00000
 1094.0   -0.01627    0.00000
 1095.0   -0.01698    0.00000
 1096.0   -0.01815    0.00000
 1097.0   -0.01815    0.00000
 1098.0   -0.01933    0.00000
 1099.0   -0.02004    0.00000
 1100.0   -0.02122    0.00000
 1101.0   -0.02169    0.00000
 1102.0   -0.02287    0.00000
 1103.0   -0.02334    0.00000
 1104.0   -0.02452    0.00000
 1105.0   -0.02499    0.00000
 1106.0   -0.02617    0.00000
 1107.0   -0.02664    0.00000
 1108.0   -0.02711    0.00000
 1109.0   -0.02806    0.00000
 1110.0   -0.02924    0.00000
 1111.0   -0.02971    0.00000
 1112.0   -0.03065    0.00000
 1113.0   -0.03159    0.00000
 1114.0   -0.03206    0.00000
 1115.0   -0.03301    0.00000
 1116.0   -0.03395    0.00000
 1117.0   -0.03419    0.00000
 1118.0   -0.03513    0.00000
 1119.0   -0.03607    0.00000
 1120.0   -0.03702    0.00000
 1121.0   -0.03796    0.00000
 1122.0   -0.03819    0.00000
 1123.0   -0.03914    0.00000
 1124.0   -0.03937    0.00000
 1125.0   -0.04079    0.00000
 1126.0   -0.04173    0.00000
 1127.0   -0.04197    0.00000
 1128.0   -0.04338    0.00000
 1129.0   -0.04362    0.00000
 1130.0   -0.04432    0.00000
 1131.0   -0.04574    0.00000
 1132.0   -0.04597   -0.00071
 1133.0   -0.04668   -0.00071
 1134.0   -0.04739   -0.00071
 1135.0   -0.04880   -0.00071
 1136.0   -0.04951   -0.00071
 1137.0   -0.05022   -0.00071
 1138.0   -0.05093   -0.00071
 1139.0   -0.05163   -0.00071
 1140.0   -0.05234   -0.00071
 1141.0   -0.05305   -0.00071
 1142.0   -0.05376   -0.00071
 1143.0   -0.05446   -0.00071
 1144.0   -0.05564   -0.00071
 1145.0   -0.05635   -0.00071
 1146.0   -0.05706   -0.00071
 1147.0   -0.05753   -0.00118
 1148.0   -0.05823   -0.00118
 1149.0   -0.05941   -0.00118
 1150.0   -0.06012   -0.00118
 1151.0   -0.06059   -0.00118
 1152.0   -0.06177   -0.00118
 1153.0   -0.06177   -0.00118
 1154.0   -0.06295   -0.00118
 1155.0   -0.06413   -0.00118
 1156.0   -0.06413   -0.00118
 1157.0   -0.06531   -0.00118
 1158.0   -0.06578   -0.00118
 1159.0   -0.06696   -0.00189
 1160.0   -0.06743   -0.00189
 1161.0   -0.06790   -0.00189
 1162.0   -0.06908   -0.00189
 1163.0   -0.06955   -0.00189
 1164.0   -0.07002   -0.00189
 1165.0   -0.07120   -0.00189
 1166.0   -0.07167   -0.00189
 1167.0   -0.07215   -0.00189
 1168.0   -0.07309   -0.00189
 1169.0   -0.07356   -0.00189
 1170.0   -0.07474   -0.00189
 1171.0   -0.07568   -0.00189
 1172.0   -0.07615   -0.00189
 1173.0   -0.07662   -0.00189
 1174.0   -0.07757   -0.00189
 1175.0   -0.07804   -0.00189
 1176.0   -0.07898   -0.00189
 1177.0   -0.07945   -0.00259
 1178.0   -0.08040   -0.00259
 1179.0   -0.08087   -0.00259
 1180.0   -0.08181   -0.00259
 1181.0   -0.08158   -0.00259
 1182.0   -0.08252   -0.00259
 1183.0   -0.08346   -0.00306
 1184.0   -0.08441   -0.00306
 1185.0   -0.08488   -0.00306
 1186.0   -0.08511   -0.00306
 1187.0   -0.08606   -0.00306
 1188.0   -0.08700   -0.00306
 1189.0   -0.08794   -0.00306
 1190.0   -0.08771   -0.00306
 1191.0   -0.08865   -0.00377
 1192.0   -0.08959   -0.00377
 1193.0   -0.08983   -0.00377
 1194.0   -0.09077   -0.00377
 1195.0   -0.09101   -0.00377
 1196.0   -0.09195   -0.00377
 1197.0   -0.09219   -0.00377
 1198.0   -0.09313   -0.00377
 1199.0   -0.09384   -0.00377
 1200.0   -0.09478   -0.00377
 1201.0   -0.09501   -0.00377
 1202.0   -0.09596   -0.00377
 1203.0   -0.09619   -0.00377
 1204.0   -0.09643   -0.00448
 1205.0   -0.09784   -0.00448
 1206.0   -0.09808   -0.00448
 1207.0   -0.09832   -0.00448
 1208.0   -0.09902   -0.00448
 1209.0   -0.09997   -0.00448
 1210.0   -0.10020   -0.00495
 1211.0   -0.10091   -0.00495
 1212.0   -0.10114   -0.00495
 1213.0   -0.10138   -0.00495
 1214.0   -0.10279   -0.00495
 1215.0   -0.10303   -0.00566
 1216.0   -0.10374   -0.00566
 1217.0   -0.10397   -0.00566
 1218.0   -0.10468   -0.00566
 1219.0   -0.10492   -0.00566
 1220.0   -0.10562   -0.00566
 1221.0   -0.10586   -0.00566
 1222.0   -0.10657   -0.00566
 1223.0   -0.10727   -0.00566
 1224.0   -0.10751   -0.00566
 1225.0   -0.10822   -0.00566
 1226.0   -0.10892   -0.00566
 1227.0   -0.10916   -0.00637
 1228.0   -0.10987   -0.00637
 1229.0   -0.11058   -0.00637
 1230.0   -0.11128   -0.00637
 1231.0   -0.11152   -0.00637
 1232.0   -0.11152   -0.00684
 1233.0   -0.11223   -0.00684
 1234.0   -0.11293   -0.00684
 1235.0   -0.11317   -0.00684
 1236.0   -0.11317   -0.00684
 1237.0   -0.11388   -0.00684
 1238.0   -0.11458   -0.00684
 1239.0   -0.11529   -0.00754
 1240.0   -0.11529   -0.00754
 1241.0   -0.11600   -0.00754
 1242.0   -0.11671   -0.00754
 1243.0   -0.11671   -0.00754
 1244.0   -0.11741   -0.00754
 1245.0   -0.11812   -0.00754
 1246.0   -0.11812   -0.00754
 1247.0   -0.11883   -0.00754
 1248.0   -0.11953   -0.00754
 1249.0   -0.11953   -0.00754
 1250.0   -0.12024   -0.00825
 1251.0   -0.12024   -0.00825
 1252.0   -0.12095   -0.00825
 1253.0   -0.12095   -0.00825
 1254.0   -0.12166   -0.00872
 1255.0   -0.12166   -0.00872
 1256.0   -0.12236   -0.00872
 1257.0   -0.12236   -0.00872
 1258.0   -0.12236   -0.00872
 1259.0   -0.12354   -0.00872
 1260.0   -0.12354   -0.00872
 1261.0   -0.12354   -0.00872
 1262.0   -0.12425   -0.00943
 1263.0   -0.12425   -0.00943
 1264.0   -0.12543   -0.00943
 1265.0   -0.12543   -0.00943
 1266.0   -0.12543   -0.00943
 1267.0   -0.12614   -0.00943
 1268.0   -0.12661   -0.00943
 1269.0   -0.12661   -0.00943
 1270.0   -0.12661   -0.00943
 1271.0   -0.12779   -0.00943
 1272.0   -0.12779   -0.00943
 1273.0   -0.12779   -0.00943
 1274.0   -0.12826   -0.01014
 1275.0   -0.12897   -0.01014
 1276.0   -0.12897   -0.01014
 1277.0   -0.12944   -0.01061
 1278.0   -0.12944   -0.01061
 1279.0   -0.12944   -0.01061
 1280.0   -0.13062   -0.01061
 1281.0   -0.13062   -0.01061
 1282.0   -0.13109   -0.01061
 1283.0   -0.13109   -0.01061
 1284.0   -0.13156   -0.01061
 1285.0   -0.13156   -0.01061
 1286.0   -0.13156   -0.01132
