   W         M2+(pi0_p)
 (MeV)      Re         Im
 1074.0   -0.00094    0.00000
 1075.0   -0.00165    0.00000
 1076.0   -0.00236    0.00000
 1077.0   -0.00306    0.00000
 1078.0   -0.00377    0.00000
 1079.0   -0.00495    0.00000
 1080.0   -0.00566    0.00000
 1081.0   -0.00684    0.00000
 1082.0   -0.00731    0.00000
 1083.0   -0.00802    0.00000
 1084.0   -0.00919    0.00000
 1085.0   -0.00967    0.00000
 1086.0   -0.01085    0.00000
 1087.0   -0.01132    0.00000
 1088.0   -0.01250    0.00000
 1089.0   -0.01297    0.00000
 1090.0   -0.01462    0.00000
 1091.0   -0.01509    0.00000
 1092.0   -0.01603    0.00000
 1093.0   -0.01650    0.00000
 1094.0   -0.01745    0.00000
 1095.0   -0.01792    0.00000
 1096.0   -0.01886    0.00000
 1097.0   -0.01980    0.00000
 1098.0   -0.02075    0.00000
 1099.0   -0.02122    0.00000
 1100.0   -0.02216    0.00000
 1101.0   -0.02311    0.00000
 1102.0   -0.02381    0.00000
 1103.0   -0.02476    0.00000
 1104.0   -0.02570    0.00000
 1105.0   -0.02593    0.00000
 1106.0   -0.02735    0.00000
 1107.0   -0.02758    0.00000
 1108.0   -0.02853    0.00000
 1109.0   -0.02924    0.00000
 1110.0   -0.02947    0.00000
 1111.0   -0.03089    0.00000
 1112.0   -0.03159    0.00000
 1113.0   -0.03183    0.00000
 1114.0   -0.03254    0.00000
 1115.0   -0.03324    0.00000
 1116.0   -0.03395    0.00000
 1117.0   -0.03537    0.00000
 1118.0   -0.03607    0.00000
 1119.0   -0.03678    0.00000
 1120.0   -0.03678    0.00000
 1121.0   -0.03749    0.00000
 1122.0   -0.03819    0.00000
 1123.0   -0.03937    0.00000
 1124.0   -0.04008    0.00000
 1125.0   -0.04079    0.00000
 1126.0   -0.04079    0.00000
 1127.0   -0.04197    0.00000
 1128.0   -0.04267    0.00000
 1129.0   -0.04315    0.00000
 1130.0   -0.04385    0.00000
 1131.0   -0.04432    0.00000
 1132.0   -0.04503    0.00000
 1133.0   -0.04550    0.00000
 1134.0   -0.04668    0.00000
 1135.0   -0.04668    0.00000
 1136.0   -0.04715    0.00000
 1137.0   -0.04833    0.00000
 1138.0   -0.04880    0.00000
 1139.0   -0.04928    0.00000
 1140.0   -0.04975    0.00000
 1141.0   -0.05093    0.00000
 1142.0   -0.05140    0.00000
 1143.0   -0.05187    0.00000
 1144.0   -0.05234    0.00000
 1145.0   -0.05281    0.00000
 1146.0   -0.05328    0.00000
 1147.0   -0.05376    0.00000
 1148.0   -0.05423    0.00000
 1149.0   -0.05470    0.00000
 1150.0   -0.05517    0.00000
 1151.0   -0.05611    0.00000
 1152.0   -0.05658    0.00000
 1153.0   -0.05706    0.00000
 1154.0   -0.05729    0.00000
 1155.0   -0.05776    0.00000
 1156.0   -0.05823    0.00000
 1157.0   -0.05918    0.00000
 1158.0   -0.05894    0.00000
 1159.0   -0.05989    0.00000
 1160.0   -0.06036    0.00000
 1161.0   -0.06059    0.00000
 1162.0   -0.06106    0.00000
 1163.0   -0.06130    0.00000
 1164.0   -0.06224    0.00000
 1165.0   -0.06201    0.00000
 1166.0   -0.06295    0.00000
 1167.0   -0.06319    0.00000
 1168.0   -0.06366    0.00000
 1169.0   -0.06389    0.00000
 1170.0   -0.06413    0.00000
 1171.0   -0.06507    0.00000
 1172.0   -0.06484    0.00000
 1173.0   -0.06507    0.00000
 1174.0   -0.06602    0.00000
 1175.0   -0.06625    0.00000
 1176.0   -0.06649    0.00000
 1177.0   -0.06672    0.00000
 1178.0   -0.06719    0.00000
 1179.0   -0.06743    0.00000
 1180.0   -0.06767    0.00000
 1181.0   -0.06790    0.00000
 1182.0   -0.06814    0.00000
 1183.0   -0.06837    0.00000
 1184.0   -0.06861    0.00000
 1185.0   -0.06884    0.00000
 1186.0   -0.06908    0.00000
 1187.0   -0.06979    0.00000
 1188.0   -0.07002    0.00000
 1189.0   -0.07026    0.00000
 1190.0   -0.07049    0.00000
 1191.0   -0.07073    0.00000
 1192.0   -0.07097    0.00000
 1193.0   -0.07120    0.00000
 1194.0   -0.07073    0.00000
 1195.0   -0.07144    0.00000
 1196.0   -0.07167    0.00000
 1197.0   -0.07191    0.00000
 1198.0   -0.07144    0.00000
 1199.0   -0.07215    0.00000
