   W         E2-(pi0_p)
 (MeV)      Re       Im
1073.50   -0.0036   0.0000
1074.00   -0.0106   0.0000
1074.50   -0.0174   0.0000
1075.00   -0.0242   0.0000
1075.50   -0.0310   0.0000
1076.00   -0.0378   0.0000
1076.50   -0.0445   0.0000
1077.00   -0.0511   0.0000
1077.50   -0.0578   0.0000
1078.00   -0.0643   0.0000
1078.50   -0.0709   0.0000
1079.00   -0.0774   0.0000
1079.50   -0.0839   0.0000
1080.00   -0.0903   0.0000
1080.50   -0.0967   0.0000
1081.00   -0.1031   0.0000
1081.50   -0.1095   0.0000
1082.00   -0.1158   0.0000
1082.50   -0.1220   0.0000
1083.00   -0.1283   0.0000
1083.50   -0.1345   0.0000
1084.00   -0.1406   0.0000
1084.50   -0.1468   0.0000
1085.00   -0.1529   0.0000
1085.50   -0.1589   0.0000
1086.00   -0.1650   0.0000
1086.50   -0.1710   0.0000
1087.00   -0.1769   0.0000
1087.50   -0.1829   0.0000
1088.00   -0.1888   0.0000
1088.50   -0.1947   0.0000
1089.00   -0.2005   0.0000
1089.50   -0.2063   0.0000
1090.00   -0.2121   0.0000
1090.50   -0.2179   0.0000
1091.00   -0.2236   0.0000
1091.50   -0.2293   0.0000
1092.00   -0.2349   0.0000
1092.50   -0.2406   0.0000
1093.00   -0.2462   0.0000
1093.50   -0.2517   0.0000
1094.00   -0.2573   0.0000
1094.50   -0.2628  -0.0001
1095.00   -0.2683  -0.0001
1095.50   -0.2737  -0.0001
1096.00   -0.2792  -0.0001
1096.50   -0.2846  -0.0001
1097.00   -0.2899  -0.0001
1097.50   -0.2953  -0.0001
1098.00   -0.3006  -0.0001
1098.50   -0.3059  -0.0001
1099.00   -0.3112  -0.0001
1099.50   -0.3164  -0.0001
1100.00   -0.3216  -0.0001
1100.50   -0.3268  -0.0001
1101.00   -0.3320  -0.0001
1101.50   -0.3371  -0.0001
1102.00   -0.3422  -0.0002
1102.50   -0.3473  -0.0002
1103.00   -0.3523  -0.0002
1103.50   -0.3574  -0.0002
1104.00   -0.3624  -0.0002
1104.50   -0.3673  -0.0002
1105.00   -0.3723  -0.0002
1105.50   -0.3772  -0.0002
1106.00   -0.3821  -0.0002
1106.50   -0.3870  -0.0002
1107.00   -0.3918  -0.0003
1107.50   -0.3967  -0.0003
1108.00   -0.4015  -0.0003
1108.50   -0.4063  -0.0003
1109.00   -0.4110  -0.0003
1109.50   -0.4157  -0.0003
1110.00   -0.4204  -0.0003
1110.50   -0.4251  -0.0003
1111.00   -0.4298  -0.0004
1111.50   -0.4344  -0.0004
1112.00   -0.4390  -0.0004
1112.50   -0.4436  -0.0004
1113.00   -0.4482  -0.0004
1113.50   -0.4527  -0.0004
1114.00   -0.4573  -0.0005
1114.50   -0.4618  -0.0005
1115.00   -0.4663  -0.0005
1115.50   -0.4707  -0.0005
1116.00   -0.4751  -0.0005
1116.50   -0.4796  -0.0005
1117.00   -0.4839  -0.0005
1117.50   -0.4883  -0.0006
1118.00   -0.4927  -0.0006
1118.50   -0.4970  -0.0006
1119.00   -0.5013  -0.0006
1119.50   -0.5056  -0.0006
1120.00   -0.5098  -0.0007
1120.50   -0.5141  -0.0007
1121.00   -0.5183  -0.0007
1121.50   -0.5225  -0.0007
1122.00   -0.5266  -0.0007
1122.50   -0.5308  -0.0008
1123.00   -0.5349  -0.0008
1123.50   -0.5390  -0.0008
1124.00   -0.5431  -0.0008
