   W         E2+(pi0_p)
 (MeV)      Re       Im
1073.50    0.0000   0.0000
1074.00    0.0000   0.0000
1074.50    0.0000   0.0000
1075.00    0.0000   0.0000
1075.50    0.0000   0.0000
1076.00    0.0000   0.0000
1076.50   -0.0001   0.0000
1077.00   -0.0001   0.0000
1077.50   -0.0001   0.0000
1078.00   -0.0001   0.0000
1078.50   -0.0001   0.0000
1079.00   -0.0001   0.0000
1079.50   -0.0001   0.0000
1080.00   -0.0001   0.0000
1080.50   -0.0001   0.0000
1081.00   -0.0001   0.0000
1081.50   -0.0001   0.0000
1082.00   -0.0001   0.0000
1082.50   -0.0001   0.0000
1083.00   -0.0001   0.0000
1083.50   -0.0001   0.0000
1084.00   -0.0001   0.0000
1084.50   -0.0001   0.0000
1085.00   -0.0002   0.0000
1085.50   -0.0002   0.0000
1086.00   -0.0002   0.0000
1086.50   -0.0002   0.0000
1087.00   -0.0002   0.0000
1087.50   -0.0002   0.0000
1088.00   -0.0002   0.0000
1088.50   -0.0002   0.0000
1089.00   -0.0002   0.0000
1089.50   -0.0002   0.0000
1090.00   -0.0002   0.0000
1090.50   -0.0002   0.0000
1091.00   -0.0002   0.0000
1091.50   -0.0002   0.0000
1092.00   -0.0002   0.0000
1092.50   -0.0002   0.0000
1093.00   -0.0002   0.0000
1093.50   -0.0002   0.0000
1094.00   -0.0002   0.0000
1094.50   -0.0002   0.0000
1095.00   -0.0002   0.0000
1095.50   -0.0002   0.0000
1096.00   -0.0002   0.0000
1096.50   -0.0002   0.0000
1097.00   -0.0002   0.0000
1097.50   -0.0002   0.0000
1098.00   -0.0002   0.0000
1098.50   -0.0002   0.0000
1099.00   -0.0002   0.0000
1099.50   -0.0002   0.0000
1100.00   -0.0002   0.0000
1100.50   -0.0002   0.0000
1101.00   -0.0002   0.0001
1101.50   -0.0002   0.0001
1102.00   -0.0002   0.0001
1102.50   -0.0002   0.0001
1103.00   -0.0002   0.0001
1103.50   -0.0002   0.0001
1104.00   -0.0002   0.0001
1104.50   -0.0002   0.0001
1105.00   -0.0002   0.0001
1105.50   -0.0002   0.0001
1106.00   -0.0002   0.0001
1106.50   -0.0002   0.0001
1107.00   -0.0002   0.0001
1107.50   -0.0002   0.0001
1108.00   -0.0002   0.0001
1108.50   -0.0002   0.0001
1109.00   -0.0002   0.0001
1109.50   -0.0002   0.0001
1110.00   -0.0002   0.0001
1110.50   -0.0002   0.0001
1111.00   -0.0002   0.0002
1111.50   -0.0002   0.0002
1112.00   -0.0002   0.0002
1112.50   -0.0002   0.0002
1113.00   -0.0002   0.0002
1113.50   -0.0002   0.0002
1114.00   -0.0001   0.0002
1114.50   -0.0001   0.0002
1115.00   -0.0001   0.0002
1115.50   -0.0001   0.0002
1116.00   -0.0001   0.0002
1116.50   -0.0001   0.0002
1117.00   -0.0001   0.0002
1117.50   -0.0001   0.0003
1118.00   -0.0001   0.0003
1118.50   -0.0001   0.0003
1119.00   -0.0001   0.0003
1119.50   -0.0001   0.0003
1120.00   -0.0001   0.0003
1120.50   -0.0001   0.0003
1121.00   -0.0001   0.0003
1121.50   -0.0001   0.0003
1122.00   -0.0001   0.0004
1122.50   -0.0001   0.0004
1123.00   -0.0001   0.0004
1123.50   -0.0001   0.0004
1124.00   -0.0001   0.0004
