   W         M1+(pi0_p)
 (MeV)      Re       Im
1073.50    0.3885   0.0000
1074.00    0.6757   0.0000
1074.50    0.8726   0.0000
1075.00    1.0340   0.0000
1075.50    1.1747   0.0000
1076.00    1.3016   0.0000
1076.50    1.4183   0.0000
1077.00    1.5273   0.0000
1077.50    1.6301   0.0000
1078.00    1.7277   0.0000
1078.50    1.8211   0.0000
1079.00    1.9110   0.0000
1079.50    1.9977   0.0001
1080.00    2.0818   0.0002
1080.50    2.1634   0.0004
1081.00    2.2429   0.0007
1081.50    2.3204   0.0010
1082.00    2.3962   0.0014
1082.50    2.4704   0.0018
1083.00    2.5432   0.0022
1083.50    2.6146   0.0027
1084.00    2.6849   0.0033
1084.50    2.7540   0.0039
1085.00    2.8221   0.0046
1085.50    2.8892   0.0053
1086.00    2.9555   0.0060
1086.50    3.0209   0.0068
1087.00    3.0856   0.0076
1087.50    3.1495   0.0085
1088.00    3.2127   0.0094
1088.50    3.2754   0.0104
1089.00    3.3374   0.0114
1089.50    3.3988   0.0124
1090.00    3.4597   0.0135
1090.50    3.5201   0.0147
1091.00    3.5800   0.0158
1091.50    3.6395   0.0171
1092.00    3.6986   0.0183
1092.50    3.7572   0.0196
1093.00    3.8155   0.0210
1093.50    3.8733   0.0224
1094.00    3.9309   0.0238
1094.50    3.9881   0.0253
1095.00    4.0450   0.0268
1095.50    4.1015   0.0284
1096.00    4.1578   0.0300
1096.50    4.2138   0.0316
1097.00    4.2696   0.0333
1097.50    4.3251   0.0350
1098.00    4.3803   0.0368
1098.50    4.4354   0.0386
1099.00    4.4902   0.0404
1099.50    4.5448   0.0423
1100.00    4.5991   0.0443
1100.50    4.6533   0.0462
1101.00    4.7073   0.0482
1101.50    4.7612   0.0503
1102.00    4.8148   0.0524
1102.50    4.8683   0.0545
1103.00    4.9216   0.0566
1103.50    4.9748   0.0588
1104.00    5.0278   0.0611
1104.50    5.0807   0.0634
1105.00    5.1335   0.0657
1105.50    5.1861   0.0680
1106.00    5.2386   0.0704
1106.50    5.2910   0.0729
1107.00    5.3432   0.0754
1107.50    5.3954   0.0779
1108.00    5.4474   0.0804
1108.50    5.4994   0.0830
1109.00    5.5512   0.0856
1109.50    5.6030   0.0883
1110.00    5.6547   0.0910
1110.50    5.7062   0.0937
1111.00    5.7577   0.0965
1111.50    5.8091   0.0993
1112.00    5.8605   0.1022
1112.50    5.9117   0.1051
1113.00    5.9629   0.1080
1113.50    6.0140   0.1110
1114.00    6.0651   0.1140
1114.50    6.1161   0.1170
1115.00    6.1670   0.1201
1115.50    6.2179   0.1232
1116.00    6.2687   0.1263
1116.50    6.3194   0.1295
1117.00    6.3701   0.1327
1117.50    6.4208   0.1360
1118.00    6.4714   0.1393
1118.50    6.5220   0.1426
1119.00    6.5725   0.1460
1119.50    6.6230   0.1494
1120.00    6.6734   0.1528
1120.50    6.7238   0.1563
1121.00    6.7742   0.1598
1121.50    6.8245   0.1634
1122.00    6.8748   0.1669
1122.50    6.9251   0.1706
1123.00    6.9754   0.1742
1123.50    7.0256   0.1779
1124.00    7.0758   0.1816
