   W         M2-(pi0_p)
 (MeV)      Re       Im
1073.50    0.0001   0.0000
1074.00    0.0001   0.0000
1074.50    0.0002   0.0000
1075.00    0.0003   0.0000
1075.50    0.0004   0.0000
1076.00    0.0005   0.0000
1076.50    0.0006   0.0000
1077.00    0.0007   0.0000
1077.50    0.0008   0.0000
1078.00    0.0009   0.0000
1078.50    0.0010   0.0000
1079.00    0.0011   0.0000
1079.50    0.0011   0.0000
1080.00    0.0012   0.0000
1080.50    0.0013   0.0000
1081.00    0.0014   0.0000
1081.50    0.0015   0.0000
1082.00    0.0016   0.0000
1082.50    0.0017   0.0000
1083.00    0.0017   0.0000
1083.50    0.0018   0.0000
1084.00    0.0019   0.0000
1084.50    0.0020   0.0000
1085.00    0.0021   0.0000
1085.50    0.0022   0.0000
1086.00    0.0022   0.0000
1086.50    0.0023   0.0000
1087.00    0.0024   0.0000
1087.50    0.0025   0.0000
1088.00    0.0025   0.0000
1088.50    0.0026   0.0000
1089.00    0.0027   0.0000
1089.50    0.0028   0.0000
1090.00    0.0028   0.0000
1090.50    0.0029   0.0000
1091.00    0.0030   0.0000
1091.50    0.0031   0.0000
1092.00    0.0031   0.0000
1092.50    0.0032   0.0000
1093.00    0.0033   0.0000
1093.50    0.0034   0.0000
1094.00    0.0034   0.0000
1094.50    0.0035   0.0000
1095.00    0.0036   0.0000
1095.50    0.0036   0.0000
1096.00    0.0037   0.0000
1096.50    0.0038   0.0000
1097.00    0.0038   0.0000
1097.50    0.0039   0.0000
1098.00    0.0039   0.0000
1098.50    0.0040   0.0000
1099.00    0.0041   0.0000
1099.50    0.0041   0.0000
1100.00    0.0042   0.0000
1100.50    0.0042   0.0000
1101.00    0.0043   0.0000
1101.50    0.0044   0.0000
1102.00    0.0044   0.0000
1102.50    0.0045   0.0000
1103.00    0.0045   0.0000
1103.50    0.0046   0.0000
1104.00    0.0046   0.0000
1104.50    0.0047   0.0000
1105.00    0.0047   0.0000
1105.50    0.0048   0.0000
1106.00    0.0048   0.0000
1106.50    0.0049   0.0000
1107.00    0.0049   0.0000
1107.50    0.0050   0.0000
1108.00    0.0050   0.0000
1108.50    0.0051   0.0000
1109.00    0.0051   0.0000
1109.50    0.0051   0.0000
1110.00    0.0052   0.0000
1110.50    0.0052   0.0000
1111.00    0.0053   0.0000
1111.50    0.0053   0.0000
1112.00    0.0053   0.0000
1112.50    0.0054   0.0000
1113.00    0.0054   0.0000
1113.50    0.0054   0.0000
1114.00    0.0055   0.0000
1114.50    0.0055   0.0000
1115.00    0.0055   0.0000
1115.50    0.0056   0.0000
1116.00    0.0056   0.0000
1116.50    0.0056   0.0000
1117.00    0.0057   0.0000
1117.50    0.0057   0.0000
1118.00    0.0057  -0.0001
1118.50    0.0057  -0.0001
1119.00    0.0058  -0.0001
1119.50    0.0058  -0.0001
1120.00    0.0058  -0.0001
1120.50    0.0058  -0.0001
1121.00    0.0059  -0.0001
1121.50    0.0059  -0.0001
1122.00    0.0059  -0.0001
1122.50    0.0059  -0.0001
1123.00    0.0059  -0.0001
1123.50    0.0059  -0.0001
1124.00    0.0060  -0.0001
