   W          E1+(pi0_p)
 (MeV)       Re        Im
1073.524   -0.1379    0.0000
1073.961   -0.1399    0.0000
1074.397   -0.1418    0.0000
1074.834   -0.1438    0.0000
1075.270   -0.1458    0.0000
1075.707   -0.1478    0.0000
1076.143   -0.1497    0.0000
1076.578   -0.1517    0.0000
1077.014   -0.1537    0.0000
1077.450   -0.1556    0.0000
1077.885   -0.1576    0.0000
1078.320   -0.1596    0.0000
1078.755   -0.1616    0.0000
1079.190   -0.1635    0.0000
1079.624   -0.1655    0.0000
1080.059   -0.1675    0.0000
1080.493   -0.1694    0.0000
1080.927   -0.1714    0.0000
1081.361   -0.1734    0.0000
1081.795   -0.1753    0.0000
1082.229   -0.1773    0.0000
1082.662   -0.1793    0.0000
1083.095   -0.1813    0.0000
1083.528   -0.1832    0.0000
1083.961   -0.1852    0.0000
1084.394   -0.1872    0.0000
1084.826   -0.1891    0.0000
1085.259   -0.1911    0.0000
1085.691   -0.1931    0.0000
1086.123   -0.1950    0.0000
1086.555   -0.1970    0.0000
1086.987   -0.1990    0.0000
1087.418   -0.2010    0.0000
1087.849   -0.2029    0.0000
1088.281   -0.2049    0.0000
1088.712   -0.2069    0.0000
1089.142   -0.2088    0.0000
1089.573   -0.2108    0.0000
1090.003   -0.2128    0.0000
1090.434   -0.2148    0.0000
1090.864   -0.2167    0.0000
1091.294   -0.2187    0.0000
1091.724   -0.2207    0.0000
1092.153   -0.2226    0.0000
1092.583   -0.2246    0.0000
1093.012   -0.2266    0.0000
1093.441   -0.2285    0.0000
1093.870   -0.2305    0.0000
1094.299   -0.2325    0.0000
1094.728   -0.2345    0.0000
1095.156   -0.2364    0.0000
1095.584   -0.2384    0.0000
1096.012   -0.2404    0.0000
1096.440   -0.2423    0.0000
1096.868   -0.2443    0.0000
1097.296   -0.2463    0.0000
1097.723   -0.2482    0.0000
1098.151   -0.2502    0.0000
1098.578   -0.2522    0.0000
1099.005   -0.2542    0.0000
1099.431   -0.2561    0.0000
1099.858   -0.2581    0.0000
1100.285   -0.2601    0.0000
1100.711   -0.2620    0.0000
1101.137   -0.2640    0.0000
1101.563   -0.2660    0.0000
1101.989   -0.2679    0.0000
1102.414   -0.2699    0.0000
1102.840   -0.2719    0.0000
1103.265   -0.2739    0.0000
1103.690   -0.2758    0.0000
1104.115   -0.2778    0.0000
1104.540   -0.2798    0.0000
1104.965   -0.2817    0.0000
1105.389   -0.2837    0.0000
1105.814   -0.2857    0.0000
1106.238   -0.2877    0.0000
1106.662   -0.2896    0.0000
1107.086   -0.2916    0.0000
1107.509   -0.2936    0.0000
1107.933   -0.2955    0.0000
1108.356   -0.2975    0.0000
1108.779   -0.2995    0.0000
1109.202   -0.3014    0.0000
1109.625   -0.3034    0.0000
1110.048   -0.3054    0.0000
1110.470   -0.3074    0.0000
1110.893   -0.3093    0.0000
1111.315   -0.3113    0.0000
1111.737   -0.3133    0.0000
1112.159   -0.3152    0.0000
1112.581   -0.3172    0.0000
1113.002   -0.3192    0.0000
1113.424   -0.3211    0.0000
1113.845   -0.3231    0.0000
1114.266   -0.3251    0.0000
1114.687   -0.3271    0.0000
1115.108   -0.3290    0.0000
1115.529   -0.3310    0.0000
1115.949   -0.3330    0.0000
1116.369   -0.3349    0.0000
1116.789   -0.3369    0.0000
1117.209   -0.3389    0.0000
1117.629   -0.3409    0.0000
1118.049   -0.3428    0.0000
1118.469   -0.3448    0.0000
1118.888   -0.3468    0.0000
1119.307   -0.3487    0.0000
1119.726   -0.3507    0.0000
1120.145   -0.3527    0.0000
1120.564   -0.3546    0.0000
