   W          E2-(pi0_p)
 (MeV)       Re        Im
 1073.30   -0.00086   0.00000
 1073.40   -0.00221   0.00000
 1073.50   -0.00355   0.00000
 1073.60   -0.00490   0.00000
 1073.70   -0.00625   0.00000
 1073.80   -0.00759   0.00000
 1073.90   -0.00893   0.00000
 1074.00   -0.01027   0.00000
 1074.10   -0.01161   0.00000
 1074.20   -0.01295   0.00000
 1074.30   -0.01428   0.00000
 1074.40   -0.01562   0.00000
 1074.50   -0.01695   0.00000
 1074.60   -0.01828   0.00000
 1074.70   -0.01962   0.00000
 1074.80   -0.02094   0.00000
 1074.90   -0.02227   0.00000
 1075.00   -0.02360   0.00000
 1075.10   -0.02492   0.00000
 1075.20   -0.02625   0.00000
 1075.30   -0.02757   0.00000
 1075.40   -0.02889   0.00000
 1075.50   -0.03021   0.00000
 1075.60   -0.03153   0.00000
 1075.70   -0.03284   0.00000
 1075.80   -0.03416   0.00000
 1075.90   -0.03547   0.00000
 1076.00   -0.03678   0.00000
 1076.10   -0.03810   0.00000
 1076.20   -0.03940   0.00000
 1076.30   -0.04071   0.00000
 1076.40   -0.04202   0.00000
 1076.50   -0.04332   0.00000
 1076.60   -0.04463   0.00000
 1076.70   -0.04593   0.00000
 1076.80   -0.04723   0.00000
 1076.90   -0.04853   0.00000
 1077.00   -0.04983   0.00000
 1077.10   -0.05113   0.00000
 1077.20   -0.05242   0.00000
 1077.30   -0.05372   0.00000
 1077.40   -0.05501   0.00000
 1077.50   -0.05630   0.00000
 1077.60   -0.05759   0.00000
 1077.70   -0.05888   0.00000
 1077.80   -0.06017   0.00000
 1077.90   -0.06146   0.00000
 1078.00   -0.06274   0.00000
 1078.10   -0.06403   0.00000
 1078.20   -0.06531   0.00000
 1078.30   -0.06659   0.00000
 1078.40   -0.06787   0.00000
 1078.50   -0.06915   0.00000
 1078.60   -0.07042   0.00000
 1078.70   -0.07170   0.00000
 1078.80   -0.07298   0.00000
 1078.90   -0.07425   0.00000
 1079.00   -0.07552   0.00000
 1079.10   -0.07679   0.00000
 1079.20   -0.07806   0.00000
 1079.30   -0.07933   0.00000
 1079.40   -0.08059   0.00000
 1079.50   -0.08186   0.00000
 1079.60   -0.08312   0.00000
 1079.70   -0.08439   0.00000
 1079.80   -0.08565   0.00000
 1079.90   -0.08691   0.00000
 1080.00   -0.08817   0.00000
 1080.10   -0.08942   0.00000
 1080.20   -0.09068   0.00000
 1080.30   -0.09194   0.00000
 1080.40   -0.09319   0.00000
 1080.50   -0.09444   0.00000
 1080.60   -0.09569   0.00000
 1080.70   -0.09694   0.00000
 1080.80   -0.09819   0.00000
 1080.90   -0.09944   0.00000
 1081.00   -0.10069   0.00000
 1081.10   -0.10193   0.00000
 1081.20   -0.10317   0.00000
 1081.30   -0.10442   0.00000
 1081.40   -0.10566   0.00000
 1081.50   -0.10690   0.00000
 1081.60   -0.10814   0.00000
 1081.70   -0.10937   0.00000
 1081.80   -0.11061   0.00000
 1081.90   -0.11184   0.00000
 1082.00   -0.11308   0.00000
 1082.10   -0.11431   0.00000
 1082.20   -0.11554   0.00000
 1082.30   -0.11677   0.00000
 1082.40   -0.11800   0.00000
 1082.50   -0.11923   0.00000
 1082.60   -0.12045   0.00000
 1082.70   -0.12168   0.00000
 1082.80   -0.12290   0.00000
 1082.90   -0.12413   0.00000
 1083.00   -0.12535   0.00000
 1083.10   -0.12657   0.00000
 1083.20   -0.12779   0.00000
 1083.30   -0.12900   0.00000
 1083.40   -0.13022   0.00000
 1083.50   -0.13144   0.00000
 1083.60   -0.13265   0.00000
 1083.70   -0.13386   0.00000
 1083.80   -0.13507   0.00000
 1083.90   -0.13628   0.00000
 1084.00   -0.13749   0.00000
 1084.10   -0.13870   0.00000
 1084.20   -0.13991   0.00000
 1084.30   -0.14111   0.00000
 1084.40   -0.14232   0.00000
 1084.50   -0.14352   0.00000
 1084.60   -0.14472   0.00000
 1084.70   -0.14593   0.00000
 1084.80   -0.14712   0.00000
 1084.90   -0.14832   0.00000
 1085.00   -0.14952   0.00000
 1085.10   -0.15072   0.00000
 1085.20   -0.15191   0.00000
 1085.30   -0.15311   0.00000
 1085.40   -0.15430   0.00000
 1085.50   -0.15549   0.00000
 1085.60   -0.15668   0.00000
 1085.70   -0.15787   0.00000
 1085.80   -0.15906   0.00000
 1085.90   -0.16025   0.00000
 1086.00   -0.16143   0.00000
 1086.10   -0.16262   0.00000
 1086.20   -0.16380   0.00000
 1086.30   -0.16498   0.00000
 1086.40   -0.16616   0.00000
 1086.50   -0.16734   0.00000
 1086.60   -0.16852   0.00000
 1086.70   -0.16970   0.00000
 1086.80   -0.17088   0.00000
 1086.90   -0.17205   0.00000
 1087.00   -0.17323   0.00000
 1087.10   -0.17440   0.00000
 1087.20   -0.17557   0.00000
 1087.30   -0.17674   0.00000
 1087.40   -0.17791   0.00000
 1087.50   -0.17908   0.00000
 1087.60   -0.18025   0.00000
 1087.70   -0.18142   0.00000
 1087.80   -0.18258   0.00000
 1087.90   -0.18374   0.00000
 1088.00   -0.18491   0.00000
 1088.10   -0.18607   0.00000
 1088.20   -0.18723   0.00000
 1088.30   -0.18839   0.00000
 1088.40   -0.18955   0.00000
 1088.50   -0.19071   0.00000
 1088.60   -0.19186   0.00000
 1088.70   -0.19302   0.00000
 1088.80   -0.19417   0.00000
 1088.90   -0.19533   0.00000
 1089.00   -0.19648   0.00000
 1089.10   -0.19763   0.00000
 1089.20   -0.19878   0.00000
 1089.30   -0.19993   0.00000
 1089.40   -0.20108   0.00000
 1089.50   -0.20222   0.00000
 1089.60   -0.20337   0.00000
 1089.70   -0.20451   0.00000
 1089.80   -0.20566   0.00000
 1089.90   -0.20680   0.00000
 1090.00   -0.20794   0.00000
 1090.10   -0.20908   0.00000
 1090.20   -0.21022   0.00000
 1090.30   -0.21136   0.00000
 1090.40   -0.21249   0.00000
 1090.50   -0.21363   0.00000
 1090.60   -0.21476   0.00000
 1090.70   -0.21590   0.00000
 1090.80   -0.21703   0.00000
 1090.90   -0.21816   0.00000
 1091.00   -0.21929   0.00000
 1091.10   -0.22042   0.00000
 1091.20   -0.22155   0.00000
 1091.30   -0.22268   0.00000
 1091.40   -0.22380   0.00000
 1091.50   -0.22493   0.00000
 1091.60   -0.22605   0.00000
 1091.70   -0.22718   0.00000
 1091.80   -0.22830   0.00000
 1091.90   -0.22942   0.00000
 1092.00   -0.23054   0.00000
 1092.10   -0.23166   0.00000
 1092.20   -0.23278   0.00000
 1092.30   -0.23389   0.00000
 1092.40   -0.23501   0.00000
 1092.50   -0.23612   0.00000
 1092.60   -0.23724   0.00000
 1092.70   -0.23835   0.00000
 1092.80   -0.23946   0.00000
 1092.90   -0.24057   0.00000
 1093.00   -0.24168   0.00000
 1093.10   -0.24279   0.00000
 1093.20   -0.24390   0.00000
 1093.30   -0.24501   0.00000
 1093.40   -0.24611   0.00000
 1093.50   -0.24722   0.00000
 1093.60   -0.24832   0.00000
 1093.70   -0.24942   0.00000
 1093.80   -0.25052   0.00000
 1093.90   -0.25163   0.00000
 1094.00   -0.25273   0.00000
 1094.10   -0.25382   0.00000
 1094.20   -0.25492   0.00000
 1094.30   -0.25602   0.00000
 1094.40   -0.25711   0.00000
 1094.50   -0.25821   0.00000
 1094.60   -0.25930   0.00000
 1094.70   -0.26039   0.00000
 1094.80   -0.26149   0.00000
 1094.90   -0.26258   0.00000
 1095.00   -0.26367   0.00000
 1095.10   -0.26475   0.00000
 1095.20   -0.26584   0.00000
