   W          M1-(pi0_p)
 (MeV)       Re        Im
1073.524   -3.5274    0.0000
1073.961   -3.5180    0.0000
1074.397   -3.5087    0.0000
1074.834   -3.4993    0.0000
1075.270   -3.4899    0.0000
1075.707   -3.4805    0.0000
1076.143   -3.4711    0.0000
1076.578   -3.4617    0.0000
1077.014   -3.4523    0.0000
1077.450   -3.4430    0.0000
1077.885   -3.4336    0.0000
1078.320   -3.4242    0.0000
1078.755   -3.4148    0.0000
1079.190   -3.4054    0.0000
1079.624   -3.3960    0.0000
1080.059   -3.3866    0.0000
1080.493   -3.3772    0.0000
1080.927   -3.3679    0.0000
1081.361   -3.3585    0.0000
1081.795   -3.3491    0.0000
1082.229   -3.3397    0.0000
1082.662   -3.3303    0.0000
1083.095   -3.3209    0.0000
1083.528   -3.3115    0.0000
1083.961   -3.3022    0.0000
1084.394   -3.2928    0.0000
1084.826   -3.2834    0.0000
1085.259   -3.2740    0.0000
1085.691   -3.2646    0.0000
1086.123   -3.2552    0.0000
1086.555   -3.2458    0.0000
1086.987   -3.2365    0.0000
1087.418   -3.2271    0.0000
1087.849   -3.2177    0.0000
1088.281   -3.2083    0.0000
1088.712   -3.1989    0.0000
1089.142   -3.1895    0.0000
1089.573   -3.1801    0.0000
1090.003   -3.1708    0.0000
1090.434   -3.1614    0.0000
1090.864   -3.1520    0.0000
1091.294   -3.1426    0.0000
1091.724   -3.1332    0.0000
1092.153   -3.1238    0.0000
1092.583   -3.1144    0.0000
1093.012   -3.1051    0.0000
1093.441   -3.0957    0.0000
1093.870   -3.0863    0.0000
1094.299   -3.0769    0.0000
1094.728   -3.0675    0.0000
1095.156   -3.0581    0.0000
1095.584   -3.0487    0.0000
1096.012   -3.0394    0.0000
1096.440   -3.0300    0.0000
1096.868   -3.0206    0.0000
1097.296   -3.0112    0.0000
1097.723   -3.0018    0.0000
1098.151   -2.9924    0.0000
1098.578   -2.9830    0.0000
1099.005   -2.9737    0.0000
1099.431   -2.9643    0.0000
1099.858   -2.9549    0.0000
1100.285   -2.9455    0.0000
1100.711   -2.9361    0.0000
1101.137   -2.9267    0.0000
1101.563   -2.9173    0.0000
1101.989   -2.9080    0.0000
1102.414   -2.8986    0.0000
1102.840   -2.8892    0.0000
1103.265   -2.8798    0.0000
1103.690   -2.8704    0.0000
1104.115   -2.8610    0.0000
1104.540   -2.8516    0.0000
1104.965   -2.8422    0.0000
1105.389   -2.8329    0.0000
1105.814   -2.8235    0.0000
1106.238   -2.8141    0.0000
1106.662   -2.8047    0.0000
1107.086   -2.7953    0.0000
1107.509   -2.7859    0.0000
1107.933   -2.7765    0.0000
1108.356   -2.7672    0.0000
1108.779   -2.7578    0.0000
1109.202   -2.7484    0.0000
1109.625   -2.7390    0.0000
1110.048   -2.7296    0.0000
1110.470   -2.7202    0.0000
1110.893   -2.7108    0.0000
1111.315   -2.7015    0.0000
1111.737   -2.6921    0.0000
1112.159   -2.6827    0.0000
1112.581   -2.6733    0.0000
1113.002   -2.6639    0.0000
1113.424   -2.6545    0.0000
1113.845   -2.6451    0.0000
1114.266   -2.6358    0.0000
1114.687   -2.6264    0.0000
1115.108   -2.6170    0.0000
1115.529   -2.6076    0.0000
1115.949   -2.5982    0.0000
1116.369   -2.5888    0.0000
1116.789   -2.5794    0.0000
1117.209   -2.5701    0.0000
1117.629   -2.5607    0.0000
1118.049   -2.5513    0.0000
1118.469   -2.5419    0.0000
1118.888   -2.5325    0.0000
1119.307   -2.5231    0.0000
1119.726   -2.5137    0.0000
1120.145   -2.5044    0.0000
1120.564   -2.4950    0.0000
