   W          M1+(pi0_p)
 (MeV)       Re        Im
1073.524    7.0147    0.0000
1073.961    7.0274    0.0000
1074.397    7.0402    0.0000
1074.834    7.0530    0.0000
1075.270    7.0657    0.0000
1075.707    7.0785    0.0000
1076.143    7.0912    0.0000
1076.578    7.1040    0.0000
1077.014    7.1167    0.0000
1077.450    7.1295    0.0000
1077.885    7.1422    0.0000
1078.320    7.1550    0.0000
1078.755    7.1677    0.0000
1079.190    7.1805    0.0000
1079.624    7.1932    0.0000
1080.059    7.2060    0.0000
1080.493    7.2188    0.0000
1080.927    7.2315    0.0000
1081.361    7.2443    0.0000
1081.795    7.2570    0.0000
1082.229    7.2698    0.0000
1082.662    7.2825    0.0000
1083.095    7.2953    0.0000
1083.528    7.3080    0.0000
1083.961    7.3208    0.0000
1084.394    7.3335    0.0000
1084.826    7.3463    0.0000
1085.259    7.3590    0.0000
1085.691    7.3718    0.0000
1086.123    7.3845    0.0000
1086.555    7.3973    0.0000
1086.987    7.4101    0.0000
1087.418    7.4228    0.0000
1087.849    7.4356    0.0000
1088.281    7.4483    0.0000
1088.712    7.4611    0.0000
1089.142    7.4738    0.0000
1089.573    7.4866    0.0000
1090.003    7.4993    0.0000
1090.434    7.5121    0.0000
1090.864    7.5248    0.0000
1091.294    7.5376    0.0000
1091.724    7.5503    0.0000
1092.153    7.5631    0.0000
1092.583    7.5758    0.0000
1093.012    7.5886    0.0000
1093.441    7.6014    0.0000
1093.870    7.6141    0.0000
1094.299    7.6269    0.0000
1094.728    7.6396    0.0000
1095.156    7.6524    0.0000
1095.584    7.6651    0.0000
1096.012    7.6779    0.0000
1096.440    7.6906    0.0000
1096.868    7.7034    0.0000
1097.296    7.7161    0.0000
1097.723    7.7289    0.0000
1098.151    7.7416    0.0000
1098.578    7.7544    0.0000
1099.005    7.7671    0.0000
1099.431    7.7799    0.0000
1099.858    7.7927    0.0000
1100.285    7.8054    0.0000
1100.711    7.8182    0.0000
1101.137    7.8309    0.0000
1101.563    7.8437    0.0000
1101.989    7.8564    0.0000
1102.414    7.8692    0.0000
1102.840    7.8819    0.0000
1103.265    7.8947    0.0000
1103.690    7.9074    0.0000
1104.115    7.9202    0.0000
1104.540    7.9329    0.0000
1104.965    7.9457    0.0000
1105.389    7.9584    0.0000
1105.814    7.9712    0.0000
1106.238    7.9840    0.0000
1106.662    7.9967    0.0000
1107.086    8.0095    0.0000
1107.509    8.0222    0.0000
1107.933    8.0350    0.0000
1108.356    8.0477    0.0000
1108.779    8.0605    0.0000
1109.202    8.0732    0.0000
1109.625    8.0860    0.0000
1110.048    8.0987    0.0000
1110.470    8.1115    0.0000
1110.893    8.1242    0.0000
1111.315    8.1370    0.0000
1111.737    8.1498    0.0000
1112.159    8.1625    0.0000
1112.581    8.1753    0.0000
1113.002    8.1880    0.0000
1113.424    8.2008    0.0000
1113.845    8.2135    0.0000
1114.266    8.2263    0.0000
1114.687    8.2390    0.0000
1115.108    8.2518    0.0000
1115.529    8.2645    0.0000
1115.949    8.2773    0.0000
1116.369    8.2900    0.0000
1116.789    8.3028    0.0000
1117.209    8.3155    0.0000
1117.629    8.3283    0.0000
1118.049    8.3411    0.0000
1118.469    8.3538    0.0000
1118.888    8.3666    0.0000
1119.307    8.3793    0.0000
1119.726    8.3921    0.0000
1120.145    8.4048    0.0000
1120.564    8.4176    0.0000
