rel ChPT p^4 PRL111

     elab           Re E0+        Im E0+         Re P1        Re P2         Re P3         Re E1+        Re M1+        Re M1- 
    145.0000       -1.0630        0.0000       10.1284      -10.9558       10.5020       -0.1379        7.0147       -3.5274
    145.5000       -1.0387        0.0000       10.1259      -10.9651       10.5369       -0.1399        7.0274       -3.5180
    146.0000       -1.0130        0.0000       10.1233      -10.9744       10.5718       -0.1418        7.0402       -3.5087
    146.5000       -0.9858        0.0000       10.1208      -10.9837       10.6066       -0.1438        7.0530       -3.4993
    147.0000       -0.9567        0.0000       10.1182      -10.9930       10.6415       -0.1458        7.0657       -3.4899
    147.5000       -0.9256        0.0000       10.1157      -11.0022       10.6764       -0.1478        7.0785       -3.4805
    148.0000       -0.8918        0.0000       10.1131      -11.0115       10.7113       -0.1497        7.0912       -3.4711
    148.5000       -0.8549        0.0000       10.1106      -11.0208       10.7462       -0.1517        7.1040       -3.4617
    149.0000       -0.8140        0.0000       10.1081      -11.0301       10.7811       -0.1537        7.1167       -3.4523
    149.5000       -0.7678        0.0000       10.1055      -11.0393       10.8160       -0.1556        7.1295       -3.4430
    150.0000       -0.7140        0.0000       10.1030      -11.0486       10.8509       -0.1576        7.1422       -3.4336
    150.5000       -0.6480        0.0000       10.1004      -11.0579       10.8858       -0.1596        7.1550       -3.4242
    151.0000       -0.5575        0.0000       10.0979      -11.0672       10.9207       -0.1616        7.1677       -3.4148
    151.5000       -0.3526        0.0808       10.0953      -11.0765       10.9556       -0.1635        7.1805       -3.4054
    152.0000       -0.3615        0.2423       10.0928      -11.0857       10.9905       -0.1655        7.1932       -3.3960
    152.5000       -0.3705        0.3327       10.0902      -11.0950       11.0254       -0.1675        7.2060       -3.3866
    153.0000       -0.3795        0.4032       10.0877      -11.1043       11.0603       -0.1694        7.2188       -3.3772
    153.5000       -0.3885        0.4629       10.0852      -11.1136       11.0951       -0.1714        7.2315       -3.3679
    154.0000       -0.3975        0.5156       10.0826      -11.1229       11.1300       -0.1734        7.2443       -3.3585
    154.5000       -0.4065        0.5633       10.0801      -11.1321       11.1649       -0.1753        7.2570       -3.3491
    155.0000       -0.4155        0.6071       10.0775      -11.1414       11.1998       -0.1773        7.2698       -3.3397
    155.5000       -0.4245        0.6478       10.0750      -11.1507       11.2347       -0.1793        7.2825       -3.3303
    156.0000       -0.4335        0.6860       10.0724      -11.1600       11.2696       -0.1813        7.2953       -3.3209
    156.5000       -0.4425        0.7221       10.0699      -11.1692       11.3045       -0.1832        7.3080       -3.3115
    157.0000       -0.4515        0.7564       10.0674      -11.1785       11.3394       -0.1852        7.3208       -3.3022
    157.5000       -0.4605        0.7890       10.0648      -11.1878       11.3743       -0.1872        7.3335       -3.2928
    158.0000       -0.4694        0.8203       10.0623      -11.1971       11.4092       -0.1891        7.3463       -3.2834
    158.5000       -0.4784        0.8503       10.0597      -11.2064       11.4441       -0.1911        7.3590       -3.2740
    159.0000       -0.4874        0.8792       10.0572      -11.2156       11.4790       -0.1931        7.3718       -3.2646
    159.5000       -0.4964        0.9071       10.0546      -11.2249       11.5139       -0.1950        7.3845       -3.2552
    160.0000       -0.5054        0.9341       10.0521      -11.2342       11.5488       -0.1970        7.3973       -3.2458
    160.5000       -0.5144        0.9602       10.0495      -11.2435       11.5836       -0.1990        7.4101       -3.2365
    161.0000       -0.5234        0.9856       10.0470      -11.2528       11.6185       -0.2010        7.4228       -3.2271
    161.5000       -0.5324        1.0102       10.0445      -11.2620       11.6534       -0.2029        7.4356       -3.2177
    162.0000       -0.5414        1.0342       10.0419      -11.2713       11.6883       -0.2049        7.4483       -3.2083
    162.5000       -0.5504        1.0575       10.0394      -11.2806       11.7232       -0.2069        7.4611       -3.1989
    163.0000       -0.5594        1.0803       10.0368      -11.2899       11.7581       -0.2088        7.4738       -3.1895
    163.5000       -0.5684        1.1025       10.0343      -11.2991       11.7930       -0.2108        7.4866       -3.1801
    164.0000       -0.5774        1.1242       10.0317      -11.3084       11.8279       -0.2128        7.4993       -3.1708
    164.5000       -0.5863        1.1454       10.0292      -11.3177       11.8628       -0.2148        7.5121       -3.1614
