   W          E1+(pi0_p)
 (MeV)       Re        Im
 1073.3    -0.00361   0.00000
 1073.4    -0.00622   0.00000
 1073.5    -0.00803   0.00000
 1073.6    -0.00952   0.00000
 1073.7    -0.01082   0.00000
 1073.8    -0.01200   0.00000
 1073.9    -0.01308   0.00000
 1074.0    -0.01409   0.00000
 1074.1    -0.01504   0.00000
 1074.2    -0.01594   0.00000
 1074.3    -0.01680   0.00000
 1074.4    -0.01763   0.00000
 1074.5    -0.01843   0.00000
 1074.6    -0.01921   0.00000
 1074.7    -0.01996   0.00000
 1074.8    -0.02070   0.00000
 1074.9    -0.02141   0.00000
 1075.0    -0.02211   0.00000
 1075.1    -0.02280   0.00000
 1075.2    -0.02347   0.00000
 1075.3    -0.02413   0.00000
 1075.4    -0.02478   0.00000
 1075.5    -0.02541   0.00000
 1075.6    -0.02604   0.00000
 1075.7    -0.02666   0.00000
 1075.8    -0.02728   0.00000
 1075.9    -0.02788   0.00000
 1076.0    -0.02848   0.00000
 1076.1    -0.02907   0.00000
 1076.2    -0.02965   0.00000
 1076.3    -0.03023   0.00000
 1076.4    -0.03081   0.00000
 1076.5    -0.03137   0.00000
 1076.6    -0.03194   0.00000
 1076.7    -0.03250   0.00000
 1076.8    -0.03305   0.00000
 1076.9    -0.03360   0.00000
 1077.0    -0.03415   0.00000
 1077.1    -0.03469   0.00000
 1077.2    -0.03523   0.00000
 1077.3    -0.03577   0.00000
 1077.4    -0.03630   0.00000
 1077.5    -0.03683   0.00000
 1077.6    -0.03736   0.00000
 1077.7    -0.03788   0.00000
 1077.8    -0.03840   0.00000
 1077.9    -0.03892   0.00000
 1078.0    -0.03944   0.00000
 1078.1    -0.03996   0.00000
 1078.2    -0.04047   0.00000
 1078.3    -0.04098   0.00000
 1078.4    -0.04149   0.00000
 1078.5    -0.04200   0.00000
 1078.6    -0.04250   0.00000
 1078.7    -0.04301   0.00000
 1078.8    -0.04351   0.00000
 1078.9    -0.04401   0.00000
 1079.0    -0.04451   0.00000
 1079.1    -0.04501   0.00000
 1079.2    -0.04550   0.00000
 1079.3    -0.04600   0.00000
 1079.4    -0.04649   0.00000
 1079.5    -0.04699   0.00000
 1079.6    -0.04748   0.00000
 1079.7    -0.04797   0.00000
 1079.8    -0.04846   0.00000
 1079.9    -0.04895   0.00000
 1080.0    -0.04944   0.00000
 1080.1    -0.04992   0.00000
 1080.2    -0.05041   0.00000
 1080.3    -0.05090   0.00000
 1080.4    -0.05138   0.00000
 1080.5    -0.05187   0.00000
 1080.6    -0.05235   0.00000
 1080.7    -0.05283   0.00000
 1080.8    -0.05331   0.00000
 1080.9    -0.05380   0.00000
 1081.0    -0.05428   0.00000
 1081.1    -0.05476   0.00000
 1081.2    -0.05524   0.00000
 1081.3    -0.05572   0.00000
 1081.4    -0.05620   0.00000
 1081.5    -0.05667   0.00000
 1081.6    -0.05715   0.00000
 1081.7    -0.05763   0.00000
 1081.8    -0.05811   0.00000
 1081.9    -0.05858   0.00000
 1082.0    -0.05906   0.00000
 1082.1    -0.05954   0.00000
 1082.2    -0.06001   0.00000
 1082.3    -0.06049   0.00000
 1082.4    -0.06097   0.00000
 1082.5    -0.06144   0.00000
 1082.6    -0.06192   0.00000
 1082.7    -0.06239   0.00000
 1082.8    -0.06287   0.00000
 1082.9    -0.06334   0.00000
