   W          M1-(pi0_p)
 (MeV)       Re        Im
 1073.3    -0.08987   0.00000
 1073.4    -0.15416   0.00000
 1073.5    -0.19853   0.00000
 1073.6    -0.23457   0.00000
 1073.7    -0.26571   0.00000
 1073.8    -0.29349   0.00000
 1073.9    -0.31880   0.00000
 1074.0    -0.34220   0.00000
 1074.1    -0.36404   0.00000
 1074.2    -0.38459   0.00000
 1074.3    -0.40405   0.00000
 1074.4    -0.42258   0.00000
 1074.5    -0.44028   0.00000
 1074.6    -0.45726   0.00000
 1074.7    -0.47359   0.00000
 1074.8    -0.48934   0.00000
 1074.9    -0.50455   0.00000
 1075.0    -0.51929   0.00000
 1075.1    -0.53359   0.00000
 1075.2    -0.54747   0.00000
 1075.3    -0.56098   0.00000
 1075.4    -0.57415   0.00000
 1075.5    -0.58698   0.00000
 1075.6    -0.59951   0.00000
 1075.7    -0.61175   0.00000
 1075.8    -0.62372   0.00000
 1075.9    -0.63543   0.00000
 1076.0    -0.64691   0.00000
 1076.1    -0.65816   0.00000
 1076.2    -0.66919   0.00000
 1076.3    -0.68001   0.00000
 1076.4    -0.69064   0.00000
 1076.5    -0.70108   0.00000
 1076.6    -0.71134   0.00000
 1076.7    -0.72142   0.00000
 1076.8    -0.73135   0.00000
 1076.9    -0.74111   0.00000
 1077.0    -0.75073   0.00000
 1077.1    -0.76019   0.00000
 1077.2    -0.76952   0.00000
 1077.3    -0.77871   0.00000
 1077.4    -0.78777   0.00000
 1077.5    -0.79671   0.00000
 1077.6    -0.80552   0.00000
 1077.7    -0.81421   0.00000
 1077.8    -0.82279   0.00000
 1077.9    -0.83126   0.00000
 1078.0    -0.83962   0.00000
 1078.1    -0.84788   0.00000
 1078.2    -0.85603   0.00000
 1078.3    -0.86409   0.00000
 1078.4    -0.87205   0.00000
 1078.5    -0.87992   0.00000
 1078.6    -0.88770   0.00000
 1078.7    -0.89538   0.00000
 1078.8    -0.90299   0.00000
 1078.9    -0.91051   0.00000
 1079.0    -0.91794   0.00000
 1079.1    -0.92530   0.00000
 1079.2    -0.93258   0.00000
 1079.3    -0.93978   0.00000
 1079.4    -0.94691   0.00000
 1079.5    -0.95397   0.00000
 1079.6    -0.96095   0.00000
 1079.7    -0.96787   0.00000
 1079.8    -0.97472   0.00000
 1079.9    -0.98150   0.00000
 1080.0    -0.98821   0.00000
 1080.1    -0.99486   0.00000
 1080.2    -1.00145   0.00000
 1080.3    -1.00798   0.00000
 1080.4    -1.01445   0.00000
 1080.5    -1.02086   0.00000
 1080.6    -1.02721   0.00000
 1080.7    -1.03350   0.00000
 1080.8    -1.03974   0.00000
 1080.9    -1.04592   0.00000
 1081.0    -1.05205   0.00000
 1081.1    -1.05812   0.00000
 1081.2    -1.06415   0.00000
 1081.3    -1.07012   0.00000
 1081.4    -1.07604   0.00000
 1081.5    -1.08192   0.00000
 1081.6    -1.08774   0.00000
 1081.7    -1.09352   0.00000
 1081.8    -1.09924   0.00000
 1081.9    -1.10493   0.00000
 1082.0    -1.11056   0.00000
 1082.1    -1.11616   0.00000
 1082.2    -1.12170   0.00000
 1082.3    -1.12721   0.00000
 1082.4    -1.13267   0.00000
 1082.5    -1.13809   0.00000
 1082.6    -1.14347   0.00000
 1082.7    -1.14880   0.00000
 1082.8    -1.15410   0.00000
 1082.9    -1.15935   0.00000
 1083.0    -1.16457   0.00000
 1083.1    -1.16975   0.00000
 1083.2    -1.17488   0.00000
 1083.3    -1.17998   0.00000
 1083.4    -1.18505   0.00000
 1083.5    -1.19007   0.00000
 1083.6    -1.19506   0.00000
 1083.7    -1.20002   0.00000
 1083.8    -1.20493   0.00000
 1083.9    -1.20982   0.00000
 1084.0    -1.21467   0.00000
 1084.1    -1.21948   0.00000
 1084.2    -1.22426   0.00000
 1084.3    -1.22901   0.00000
 1084.4    -1.23372   0.00000
 1084.5    -1.23840   0.00000
 1084.6    -1.24305   0.00000
 1084.7    -1.24767   0.00000
 1084.8    -1.25225   0.00000
 1084.9    -1.25680   0.00000
 1085.0    -1.26133   0.00000
 1085.1    -1.26582   0.00000
 1085.2    -1.27028   0.00000
 1085.3    -1.27471   0.00000
 1085.4    -1.27912   0.00000
 1085.5    -1.28349   0.00000
 1085.6    -1.28783   0.00000
 1085.7    -1.29215   0.00000
 1085.8    -1.29644   0.00000
 1085.9    -1.30070   0.00000
 1086.0    -1.30493   0.00000
 1086.1    -1.30913   0.00000
 1086.2    -1.31331   0.00000
 1086.3    -1.31746   0.00000
 1086.4    -1.32158   0.00000
 1086.5    -1.32567   0.00000
 1086.6    -1.32974   0.00000
 1086.7    -1.33379   0.00000
 1086.8    -1.33781   0.00000
 1086.9    -1.34180   0.00000
 1087.0    -1.34577   0.00000
 1087.1    -1.34971   0.00000
 1087.2    -1.35362   0.00000
 1087.3    -1.35752   0.00000
 1087.4    -1.36139   0.00000
 1087.5    -1.36523   0.00000
 1087.6    -1.36905   0.00000
 1087.7    -1.37285   0.00000
 1087.8    -1.37662   0.00000
 1087.9    -1.38037   0.00000
 1088.0    -1.38409   0.00000
 1088.1    -1.38780   0.00000
 1088.2    -1.39148   0.00000
 1088.3    -1.39513   0.00000
 1088.4    -1.39877   0.00000
 1088.5    -1.40238   0.00000
 1088.6    -1.40597   0.00000
 1088.7    -1.40954   0.00000
 1088.8    -1.41309   0.00000
 1088.9    -1.41662   0.00000
 1089.0    -1.42012   0.00000
 1089.1    -1.42360   0.00000
 1089.2    -1.42707   0.00000
 1089.3    -1.43051   0.00000
 1089.4    -1.43393   0.00000
 1089.5    -1.43733   0.00000
 1089.6    -1.44071   0.00000
 1089.7    -1.44406   0.00000
 1089.8    -1.44740   0.00000
 1089.9    -1.45072   0.00000
 1090.0    -1.45402   0.00000
 1090.1    -1.45730   0.00000
 1090.2    -1.46056   0.00000
 1090.3    -1.46380   0.00000
 1090.4    -1.46702   0.00000
 1090.5    -1.47022   0.00000
 1090.6    -1.47341   0.00000
 1090.7    -1.47657   0.00000
 1090.8    -1.47971   0.00000
 1090.9    -1.48284   0.00000
 1091.0    -1.48595   0.00000
 1091.1    -1.48904   0.00000
 1091.2    -1.49211   0.00000
 1091.3    -1.49516   0.00000
 1091.4    -1.49820   0.00000
 1091.5    -1.50121   0.00000
 1091.6    -1.50421   0.00000
 1091.7    -1.50719   0.00000
 1091.8    -1.51016   0.00000
 1091.9    -1.51310   0.00000
 1092.0    -1.51603   0.00000
 1092.1    -1.51894   0.00000
 1092.2    -1.52184   0.00000
 1092.3    -1.52471   0.00000
 1092.4    -1.52757   0.00000
 1092.5    -1.53042   0.00000
 1092.6    -1.53324   0.00000
 1092.7    -1.53605   0.00000
 1092.8    -1.53885   0.00000
 1092.9    -1.54162   0.00000
 1093.0    -1.54439   0.00000
 1093.1    -1.54713   0.00000
 1093.2    -1.54986   0.00000
 1093.3    -1.55257   0.00000
 1093.4    -1.55527   0.00000
 1093.5    -1.55795   0.00000
 1093.6    -1.56061   0.00000
 1093.7    -1.56326   0.00000
 1093.8    -1.56589   0.00000
 1093.9    -1.56851   0.00000
 1094.0    -1.57111   0.00000
 1094.1    -1.57369   0.00000
 1094.2    -1.57627   0.00000
 1094.3    -1.57882   0.00000
 1094.4    -1.58136   0.00000
 1094.5    -1.58389   0.00000
 1094.6    -1.58640   0.00000
 1094.7    -1.58889   0.00000
 1094.8    -1.59137   0.00000
 1094.9    -1.59384   0.00000
 1095.0    -1.59629   0.00000
 1095.1    -1.59873   0.00000
 1095.2    -1.60115   0.00000
 1095.3    -1.60356   0.00000
 1095.4    -1.60595   0.00000
 1095.5    -1.60833   0.00000
 1095.6    -1.61069   0.00000
 1095.7    -1.61304   0.00000
 1095.8    -1.61538   0.00000
 1095.9    -1.61770   0.00000
 1096.0    -1.62001   0.00000
 1096.1    -1.62230   0.00000
 1096.2    -1.62458   0.00000
 1096.3    -1.62685   0.00000
 1096.4    -1.62910   0.00000
 1096.5    -1.63134   0.00000
 1096.6    -1.63357   0.00000
 1096.7    -1.63578   0.00000
 1096.8    -1.63798   0.00000
 1096.9    -1.64016   0.00000
 1097.0    -1.64233   0.00000
 1097.1    -1.64449   0.00000
 1097.2    -1.64664   0.00000
 1097.3    -1.64877   0.00000
 1097.4    -1.65089   0.00000
 1097.5    -1.65299   0.00000
 1097.6    -1.65508   0.00000
 1097.7    -1.65716   0.00000
 1097.8    -1.65923   0.00000
 1097.9    -1.66128   0.00000
 1098.0    -1.66333   0.00000
 1098.1    -1.66535   0.00000
 1098.2    -1.66737   0.00000
 1098.3    -1.66937   0.00000
 1098.4    -1.67136   0.00000
 1098.5    -1.67334   0.00000
 1098.6    -1.67531   0.00000
 1098.7    -1.67726   0.00000
 1098.8    -1.67920   0.00000
 1098.9    -1.68113   0.00000
 1099.0    -1.68305   0.00000
 1099.1    -1.68495   0.00000
 1099.2    -1.68684   0.00000
 1099.3    -1.68872   0.00000
 1099.4    -1.69059   0.00000
 1099.5    -1.69244   0.00000
 1099.6    -1.69429   0.00000
 1099.7    -1.69612   0.00000
 1099.8    -1.69794   0.00000
 1099.9    -1.69975   0.00000
 1100.0    -1.70154   0.00000
 1100.1    -1.70333   0.00000
 1100.2    -1.70510   0.00000
 1100.3    -1.70686   0.00000
 1100.4    -1.70861   0.00000
 1100.5    -1.71035   0.00000
 1100.6    -1.71207   0.00000
 1100.7    -1.71379   0.00000
 1100.8    -1.71549   0.00000
 1100.9    -1.71718   0.00000
 1101.0    -1.71886   0.00000
 1101.1    -1.72053   0.00000
 1101.2    -1.72219   0.00000
 1101.3    -1.72384   0.00000
 1101.4    -1.72547   0.00000
 1101.5    -1.72710   0.00000
 1101.6    -1.72871   0.00000
 1101.7    -1.73031   0.00000
 1101.8    -1.73190   0.00000
 1101.9    -1.73348   0.00000
 1102.0    -1.73505   0.00000
 1102.1    -1.73661   0.00000
 1102.2    -1.73816   0.00000
 1102.3    -1.73969   0.00000
 1102.4    -1.74122   0.00000
 1102.5    -1.74273   0.00000
 1102.6    -1.74424   0.00000
 1102.7    -1.74573   0.00000
 1102.8    -1.74721   0.00000
 1102.9    -1.74869   0.00000
 1103.0    -1.75015   0.00000
 1103.1    -1.75160   0.00000
 1103.2    -1.75304   0.00000
 1103.3    -1.75447   0.00000
 1103.4    -1.75589   0.00000
 1103.5    -1.75730   0.00000
 1103.6    -1.75869   0.00000
 1103.7    -1.76008   0.00000
 1103.8    -1.76146   0.00000
 1103.9    -1.76283   0.00000
 1104.0    -1.76418   0.00000
 1104.1    -1.76553   0.00000
 1104.2    -1.76687   0.00000
 1104.3    -1.76819   0.00000
 1104.4    -1.76951   0.00000
 1104.5    -1.77082   0.00000
 1104.6    -1.77211   0.00000
 1104.7    -1.77340   0.00000
 1104.8    -1.77467   0.00000
 1104.9    -1.77594   0.00000
 1105.0    -1.77720   0.00000
 1105.1    -1.77844   0.00000
 1105.2    -1.77968   0.00000
 1105.3    -1.78090   0.00000
 1105.4    -1.78212   0.00000
 1105.5    -1.78333   0.00000
 1105.6    -1.78452   0.00000
 1105.7    -1.78571   0.00000
 1105.8    -1.78689   0.00000
 1105.9    -1.78806   0.00000
 1106.0    -1.78921   0.00000
 1106.1    -1.79036   0.00000
 1106.2    -1.79150   0.00000
 1106.3    -1.79263   0.00000
 1106.4    -1.79375   0.00000
 1106.5    -1.79486   0.00000
 1106.6    -1.79596   0.00000
 1106.7    -1.79705   0.00000
 1106.8    -1.79813   0.00000
 1106.9    -1.79920   0.00000
 1107.0    -1.80026   0.00000
 1107.1    -1.80132   0.00000
 1107.2    -1.80236   0.00000
 1107.3    -1.80340   0.00000
 1107.4    -1.80442   0.00000
 1107.5    -1.80544   0.00000
 1107.6    -1.80644   0.00000
 1107.7    -1.80744   0.00000
 1107.8    -1.80843   0.00000
 1107.9    -1.80941   0.00000
 1108.0    -1.81038   0.00000
 1108.1    -1.81134   0.00000
 1108.2    -1.81229   0.00000
 1108.3    -1.81323   0.00000
 1108.4    -1.81416   0.00000
 1108.5    -1.81509   0.00000
 1108.6    -1.81600   0.00000
 1108.7    -1.81691   0.00000
 1108.8    -1.81781   0.00000
 1108.9    -1.81869   0.00000
 1109.0    -1.81957   0.00000
 1109.1    -1.82044   0.00000
 1109.2    -1.82130   0.00000
 1109.3    -1.82216   0.00000
 1109.4    -1.82300   0.00000
 1109.5    -1.82384   0.00000
 1109.6    -1.82466   0.00000
 1109.7    -1.82548   0.00000
 1109.8    -1.82629   0.00000
 1109.9    -1.82709   0.00000
 1110.0    -1.82788   0.00000
 1110.1    -1.82866   0.00000
 1110.2    -1.82943   0.00000
 1110.3    -1.83020   0.00000
 1110.4    -1.83095   0.00000
 1110.5    -1.83170   0.00000
 1110.6    -1.83244   0.00000
 1110.7    -1.83317   0.00000
 1110.8    -1.83389   0.00000
 1110.9    -1.83461   0.00000
 1111.0    -1.83531   0.00000
 1111.1    -1.83601   0.00000
 1111.2    -1.83669   0.00000
 1111.3    -1.83737   0.00000
 1111.4    -1.83804   0.00000
 1111.5    -1.83871   0.00000
 1111.6    -1.83936   0.00000
