   W          M1+(pi0_p)
 (MeV)       Re        Im
 1073.3     0.16570   0.00000
 1073.4     0.28464   0.00000
 1073.5     0.36713   0.00000
 1073.6     0.43444   0.00000
 1073.7     0.49285   0.00000
 1073.8     0.54521   0.00000
 1073.9     0.59313   0.00000
 1074.0     0.63762   0.00000
 1074.1     0.67935   0.00000
 1074.2     0.71880   0.00000
 1074.3     0.75632   0.00000
 1074.4     0.79219   0.00000
 1074.5     0.82664   0.00000
 1074.6     0.85982   0.00000
 1074.7     0.89187   0.00000
 1074.8     0.92293   0.00000
 1074.9     0.95308   0.00000
 1075.0     0.98241   0.00000
 1075.1     1.01098   0.00000
 1075.2     1.03887   0.00000
 1075.3     1.06613   0.00000
 1075.4     1.09280   0.00000
 1075.5     1.11892   0.00000
 1075.6     1.14454   0.00000
 1075.7     1.16969   0.00000
 1075.8     1.19439   0.00000
 1075.9     1.21868   0.00000
 1076.0     1.24257   0.00000
 1076.1     1.26610   0.00000
 1076.2     1.28927   0.00000
 1076.3     1.31212   0.00000
 1076.4     1.33465   0.00000
 1076.5     1.35688   0.00000
 1076.6     1.37884   0.00000
 1076.7     1.40052   0.00000
 1076.8     1.42194   0.00000
 1076.9     1.44312   0.00000
 1077.0     1.46407   0.00000
 1077.1     1.48479   0.00000
 1077.2     1.50530   0.00000
 1077.3     1.52559   0.00000
 1077.4     1.54569   0.00000
 1077.5     1.56560   0.00000
 1077.6     1.58533   0.00000
 1077.7     1.60488   0.00000
 1077.8     1.62426   0.00000
 1077.9     1.64348   0.00000
 1078.0     1.66254   0.00000
 1078.1     1.68145   0.00000
 1078.2     1.70021   0.00000
 1078.3     1.71882   0.00000
 1078.4     1.73730   0.00000
 1078.5     1.75565   0.00000
 1078.6     1.77387   0.00000
 1078.7     1.79196   0.00000
 1078.8     1.80993   0.00000
 1078.9     1.82778   0.00000
 1079.0     1.84552   0.00000
 1079.1     1.86315   0.00000
 1079.2     1.88068   0.00000
 1079.3     1.89809   0.00000
 1079.4     1.91541   0.00000
 1079.5     1.93263   0.00000
 1079.6     1.94975   0.00000
 1079.7     1.96678   0.00000
 1079.8     1.98372   0.00000
 1079.9     2.00057   0.00000
 1080.0     2.01733   0.00000
 1080.1     2.03401   0.00000
 1080.2     2.05061   0.00000
 1080.3     2.06713   0.00000
 1080.4     2.08357   0.00000
 1080.5     2.09994   0.00000
 1080.6     2.11623   0.00000
 1080.7     2.13245   0.00000
 1080.8     2.14860   0.00000
 1080.9     2.16468   0.00000
 1081.0     2.18069   0.00000
 1081.1     2.19664   0.00000
 1081.2     2.21253   0.00000
 1081.3     2.22835   0.00000
 1081.4     2.24411   0.00000
 1081.5     2.25981   0.00000
 1081.6     2.27545   0.00000
 1081.7     2.29104   0.00000
 1081.8     2.30656   0.00000
 1081.9     2.32204   0.00000
 1082.0     2.33746   0.00000
 1082.1     2.35283   0.00000
 1082.2     2.36814   0.00000
 1082.3     2.38341   0.00000
 1082.4     2.39863   0.00000
 1082.5     2.41380   0.00000
 1082.6     2.42892   0.00000
 1082.7     2.44399   0.00000
 1082.8     2.45902   0.00000
 1082.9     2.47401   0.00000
 1083.0     2.48895   0.00000
 1083.1     2.50385   0.00000
 1083.2     2.51871   0.00000
 1083.3     2.53352   0.00000
 1083.4     2.54830   0.00000
 1083.5     2.56304   0.00000
 1083.6     2.57773   0.00000
 1083.7     2.59239   0.00000
 1083.8     2.60701   0.00000
 1083.9     2.62160   0.00000
 1084.0     2.63615   0.00000
 1084.1     2.65066   0.00000
 1084.2     2.66514   0.00000
 1084.3     2.67959   0.00000
 1084.4     2.69400   0.00000
 1084.5     2.70838   0.00000
 1084.6     2.72273   0.00000
 1084.7     2.73704   0.00000
 1084.8     2.75133   0.00000
 1084.9     2.76558   0.00000
 1085.0     2.77981   0.00000
 1085.1     2.79400   0.00000
 1085.2     2.80817   0.00000
 1085.3     2.82230   0.00000
 1085.4     2.83641   0.00000
 1085.5     2.85050   0.00000
 1085.6     2.86455   0.00000
