   W          E1+(pi0_p)
 (MeV)       Re        Im
1073.524   -0.1114    0.0000
1073.961   -0.1135    0.0000
1074.397   -0.1157    0.0000
1074.834   -0.1179    0.0000
1075.270   -0.1201    0.0000
1075.707   -0.1222    0.0000
1076.143   -0.1244    0.0000
1076.578   -0.1266    0.0000
1077.014   -0.1288    0.0000
1077.450   -0.1309    0.0000
1077.885   -0.1331    0.0000
1078.320   -0.1353    0.0000
1078.755   -0.1374    0.0000
1079.190   -0.1396    0.0000
1079.624   -0.1418    0.0000
1080.059   -0.1440    0.0000
1080.493   -0.1461    0.0000
1080.927   -0.1483    0.0000
1081.361   -0.1505    0.0000
1081.795   -0.1527    0.0000
1082.229   -0.1548    0.0000
1082.662   -0.1570    0.0000
1083.095   -0.1592    0.0000
1083.528   -0.1614    0.0000
1083.961   -0.1635    0.0000
1084.394   -0.1657    0.0000
1084.826   -0.1679    0.0000
1085.259   -0.1700    0.0000
1085.691   -0.1722    0.0000
1086.123   -0.1744    0.0000
1086.555   -0.1766    0.0000
1086.987   -0.1787    0.0000
1087.418   -0.1809    0.0000
1087.849   -0.1831    0.0000
1088.281   -0.1853    0.0000
1088.712   -0.1874    0.0000
1089.142   -0.1896    0.0000
1089.573   -0.1918    0.0000
1090.003   -0.1940    0.0000
1090.434   -0.1961    0.0000
1090.864   -0.1983    0.0000
1091.294   -0.2005    0.0000
1091.724   -0.2026    0.0000
1092.153   -0.2048    0.0000
1092.583   -0.2070    0.0000
1093.012   -0.2092    0.0000
1093.441   -0.2113    0.0000
1093.870   -0.2135    0.0000
1094.299   -0.2157    0.0000
1094.728   -0.2179    0.0000
1095.156   -0.2200    0.0000
1095.584   -0.2222    0.0000
1096.012   -0.2244    0.0000
1096.440   -0.2266    0.0000
1096.868   -0.2287    0.0000
1097.296   -0.2309    0.0000
1097.723   -0.2331    0.0000
1098.151   -0.2352    0.0000
1098.578   -0.2374    0.0000
1099.005   -0.2396    0.0000
1099.431   -0.2418    0.0000
1099.858   -0.2439    0.0000
1100.285   -0.2461    0.0000
1100.711   -0.2483    0.0000
1101.137   -0.2505    0.0000
1101.563   -0.2526    0.0000
1101.989   -0.2548    0.0000
1102.414   -0.2570    0.0000
1102.840   -0.2592    0.0000
1103.265   -0.2613    0.0000
1103.690   -0.2635    0.0000
1104.115   -0.2657    0.0000
1104.540   -0.2678    0.0000
1104.965   -0.2700    0.0000
1105.389   -0.2722    0.0000
1105.814   -0.2744    0.0000
1106.238   -0.2765    0.0000
1106.662   -0.2787    0.0000
1107.086   -0.2809    0.0000
1107.509   -0.2831    0.0000
1107.933   -0.2852    0.0000
1108.356   -0.2874    0.0000
1108.779   -0.2896    0.0000
1109.202   -0.2918    0.0000
1109.625   -0.2939    0.0000
1110.048   -0.2961    0.0000
1110.470   -0.2983    0.0000
1110.893   -0.3004    0.0000
1111.315   -0.3026    0.0000
1111.737   -0.3048    0.0000
1112.159   -0.3070    0.0000
1112.581   -0.3091    0.0000
1113.002   -0.3113    0.0000
1113.424   -0.3135    0.0000
1113.845   -0.3157    0.0000
1114.266   -0.3178    0.0000
1114.687   -0.3200    0.0000
1115.108   -0.3222    0.0000
1115.529   -0.3244    0.0000
1115.949   -0.3265    0.0000
1116.369   -0.3287    0.0000
1116.789   -0.3309    0.0000
1117.209   -0.3330    0.0000
1117.629   -0.3352    0.0000
1118.049   -0.3374    0.0000
1118.469   -0.3396    0.0000
1118.888   -0.3417    0.0000
1119.307   -0.3439    0.0000
1119.726   -0.3461    0.0000
1120.145   -0.3483    0.0000
1120.564   -0.3504    0.0000
