   W          E2-(pi0_p)
 (MeV)       Re        Im
 1073.30   -0.00081   0.00000
 1073.40   -0.00208   0.00000
 1073.50   -0.00336   0.00000
 1073.60   -0.00463   0.00000
 1073.70   -0.00590   0.00000
 1073.80   -0.00716   0.00000
 1073.90   -0.00843   0.00000
 1074.00   -0.00970   0.00000
 1074.10   -0.01096   0.00000
 1074.20   -0.01222   0.00000
 1074.30   -0.01348   0.00000
 1074.40   -0.01474   0.00000
 1074.50   -0.01600   0.00000
 1074.60   -0.01725   0.00000
 1074.70   -0.01851   0.00000
 1074.80   -0.01976   0.00000
 1074.90   -0.02101   0.00000
 1075.00   -0.02226   0.00000
 1075.10   -0.02351   0.00000
 1075.20   -0.02475   0.00000
 1075.30   -0.02600   0.00000
 1075.40   -0.02724   0.00000
 1075.50   -0.02848   0.00000
 1075.60   -0.02972   0.00000
 1075.70   -0.03096   0.00000
 1075.80   -0.03220   0.00000
 1075.90   -0.03344   0.00000
 1076.00   -0.03467   0.00000
 1076.10   -0.03590   0.00000
 1076.20   -0.03713   0.00000
 1076.30   -0.03836   0.00000
 1076.40   -0.03959   0.00000
 1076.50   -0.04082   0.00000
 1076.60   -0.04204   0.00000
 1076.70   -0.04327   0.00000
 1076.80   -0.04449   0.00000
 1076.90   -0.04571   0.00000
 1077.00   -0.04693   0.00000
 1077.10   -0.04815   0.00000
 1077.20   -0.04937   0.00000
 1077.30   -0.05058   0.00000
 1077.40   -0.05179   0.00000
 1077.50   -0.05301   0.00000
 1077.60   -0.05422   0.00000
 1077.70   -0.05543   0.00000
 1077.80   -0.05663   0.00000
 1077.90   -0.05784   0.00000
 1078.00   -0.05905   0.00000
 1078.10   -0.06025   0.00000
 1078.20   -0.06145   0.00000
 1078.30   -0.06265   0.00000
 1078.40   -0.06385   0.00000
 1078.50   -0.06505   0.00000
 1078.60   -0.06625   0.00000
 1078.70   -0.06744   0.00000
 1078.80   -0.06863   0.00000
 1078.90   -0.06983   0.00000
 1079.00   -0.07102   0.00000
 1079.10   -0.07221   0.00000
 1079.20   -0.07339   0.00000
 1079.30   -0.07458   0.00000
 1079.40   -0.07577   0.00000
 1079.50   -0.07695   0.00000
 1079.60   -0.07813   0.00000
 1079.70   -0.07931   0.00000
 1079.80   -0.08049   0.00000
 1079.90   -0.08167   0.00000
 1080.00   -0.08285   0.00000
 1080.10   -0.08402   0.00000
 1080.20   -0.08520   0.00000
 1080.30   -0.08637   0.00000
 1080.40   -0.08754   0.00000
 1080.50   -0.08871   0.00000
 1080.60   -0.08988   0.00000
 1080.70   -0.09104   0.00000
 1080.80   -0.09221   0.00000
 1080.90   -0.09337   0.00000
 1081.00   -0.09454   0.00000
 1081.10   -0.09570   0.00000
 1081.20   -0.09686   0.00000
 1081.30   -0.09802   0.00000
 1081.40   -0.09917   0.00000
 1081.50   -0.10033   0.00000
 1081.60   -0.10149   0.00000
 1081.70   -0.10264   0.00000
 1081.80   -0.10379   0.00000
 1081.90   -0.10494   0.00000
 1082.00   -0.10609   0.00000
 1082.10   -0.10724   0.00000
 1082.20   -0.10839   0.00000
 1082.30   -0.10953   0.00000
 1082.40   -0.11067   0.00000
 1082.50   -0.11182   0.00000
 1082.60   -0.11296   0.00000
 1082.70   -0.11410   0.00000
 1082.80   -0.11524   0.00000
 1082.90   -0.11637   0.00000
 1083.00   -0.11751   0.00000
 1083.10   -0.11864   0.00000
 1083.20   -0.11978   0.00000
 1083.30   -0.12091   0.00000
 1083.40   -0.12204   0.00000
 1083.50   -0.12317   0.00000
 1083.60   -0.12430   0.00000
 1083.70   -0.12542   0.00000
 1083.80   -0.12655   0.00000
 1083.90   -0.12767   0.00000
