   W          M1+(pi0_p)
 (MeV)       Re        Im
1073.524    6.9249    0.0000
1073.961    6.9433    0.0000
1074.397    6.9618    0.0000
1074.834    6.9802    0.0000
1075.270    6.9986    0.0000
1075.707    7.0170    0.0000
1076.143    7.0354    0.0000
1076.578    7.0538    0.0000
1077.014    7.0722    0.0000
1077.450    7.0906    0.0000
1077.885    7.1091    0.0000
1078.320    7.1275    0.0000
1078.755    7.1459    0.0000
1079.190    7.1643    0.0000
1079.624    7.1827    0.0000
1080.059    7.2011    0.0000
1080.493    7.2195    0.0000
1080.927    7.2380    0.0000
1081.361    7.2564    0.0000
1081.795    7.2748    0.0000
1082.229    7.2932    0.0000
1082.662    7.3116    0.0000
1083.095    7.3300    0.0000
1083.528    7.3484    0.0000
1083.961    7.3669    0.0000
1084.394    7.3853    0.0000
1084.826    7.4037    0.0000
1085.259    7.4221    0.0000
1085.691    7.4405    0.0000
1086.123    7.4589    0.0000
1086.555    7.4773    0.0000
1086.987    7.4957    0.0000
1087.418    7.5142    0.0000
1087.849    7.5326    0.0000
1088.281    7.5510    0.0000
1088.712    7.5694    0.0000
1089.142    7.5878    0.0000
1089.573    7.6062    0.0000
1090.003    7.6246    0.0000
1090.434    7.6431    0.0000
1090.864    7.6615    0.0000
1091.294    7.6799    0.0000
1091.724    7.6983    0.0000
1092.153    7.7167    0.0000
1092.583    7.7351    0.0000
1093.012    7.7535    0.0000
1093.441    7.7720    0.0000
1093.870    7.7904    0.0000
1094.299    7.8088    0.0000
1094.728    7.8272    0.0000
1095.156    7.8456    0.0000
1095.584    7.8640    0.0000
1096.012    7.8824    0.0000
1096.440    7.9009    0.0000
1096.868    7.9193    0.0000
1097.296    7.9377    0.0000
1097.723    7.9561    0.0000
1098.151    7.9745    0.0000
1098.578    7.9929    0.0000
1099.005    8.0113    0.0000
1099.431    8.0297    0.0000
1099.858    8.0482    0.0000
1100.285    8.0666    0.0000
1100.711    8.0850    0.0000
1101.137    8.1034    0.0000
1101.563    8.1218    0.0000
1101.989    8.1402    0.0000
1102.414    8.1586    0.0000
1102.840    8.1771    0.0000
1103.265    8.1955    0.0000
1103.690    8.2139    0.0000
1104.115    8.2323    0.0000
1104.540    8.2507    0.0000
1104.965    8.2691    0.0000
1105.389    8.2875    0.0000
1105.814    8.3060    0.0000
1106.238    8.3244    0.0000
1106.662    8.3428    0.0000
1107.086    8.3612    0.0000
1107.509    8.3796    0.0000
1107.933    8.3980    0.0000
1108.356    8.4164    0.0000
1108.779    8.4348    0.0000
1109.202    8.4533    0.0000
1109.625    8.4717    0.0000
1110.048    8.4901    0.0000
1110.470    8.5085    0.0000
1110.893    8.5269    0.0000
1111.315    8.5453    0.0000
1111.737    8.5637    0.0000
1112.159    8.5822    0.0000
1112.581    8.6006    0.0000
1113.002    8.6190    0.0000
1113.424    8.6374    0.0000
1113.845    8.6558    0.0000
1114.266    8.6742    0.0000
1114.687    8.6926    0.0000
1115.108    8.7111    0.0000
1115.529    8.7295    0.0000
1115.949    8.7479    0.0000
1116.369    8.7663    0.0000
1116.789    8.7847    0.0000
1117.209    8.8031    0.0000
1117.629    8.8215    0.0000
1118.049    8.8399    0.0000
1118.469    8.8584    0.0000
1118.888    8.8768    0.0000
1119.307    8.8952    0.0000
1119.726    8.9136    0.0000
1120.145    8.9320    0.0000
1120.564    8.9504    0.0000
