   W          M2-(pi0_p)
 (MeV)       Re        Im
 1073.30    0.00004   0.00000
 1073.40    0.00010   0.00000
 1073.50    0.00016   0.00000
 1073.60    0.00022   0.00000
 1073.70    0.00028   0.00000
 1073.80    0.00034   0.00000
 1073.90    0.00040   0.00000
 1074.00    0.00046   0.00000
 1074.10    0.00052   0.00000
 1074.20    0.00058   0.00000
 1074.30    0.00065   0.00000
 1074.40    0.00071   0.00000
 1074.50    0.00077   0.00000
 1074.60    0.00083   0.00000
 1074.70    0.00089   0.00000
 1074.80    0.00095   0.00000
 1074.90    0.00102   0.00000
 1075.00    0.00108   0.00000
 1075.10    0.00114   0.00000
 1075.20    0.00120   0.00000
 1075.30    0.00126   0.00000
 1075.40    0.00133   0.00000
 1075.50    0.00139   0.00000
 1075.60    0.00145   0.00000
 1075.70    0.00152   0.00000
 1075.80    0.00158   0.00000
 1075.90    0.00164   0.00000
 1076.00    0.00171   0.00000
 1076.10    0.00177   0.00000
 1076.20    0.00183   0.00001
 1076.30    0.00190   0.00001
 1076.40    0.00196   0.00001
 1076.50    0.00202   0.00001
 1076.60    0.00209   0.00001
 1076.70    0.00215   0.00001
 1076.80    0.00222   0.00001
 1076.90    0.00228   0.00001
 1077.00    0.00234   0.00001
 1077.10    0.00241   0.00001
 1077.20    0.00247   0.00001
 1077.30    0.00254   0.00001
 1077.40    0.00260   0.00001
 1077.50    0.00267   0.00001
 1077.60    0.00273   0.00001
 1077.70    0.00280   0.00001
 1077.80    0.00286   0.00001
 1077.90    0.00293   0.00001
 1078.00    0.00299   0.00001
 1078.10    0.00306   0.00001
 1078.20    0.00313   0.00001
 1078.30    0.00319   0.00001
 1078.40    0.00326   0.00001
 1078.50    0.00332   0.00001
 1078.60    0.00339   0.00001
 1078.70    0.00346   0.00001
 1078.80    0.00352   0.00001
 1078.90    0.00359   0.00001
 1079.00    0.00366   0.00001
 1079.10    0.00372   0.00001
 1079.20    0.00379   0.00001
 1079.30    0.00386   0.00001
 1079.40    0.00393   0.00001
 1079.50    0.00399   0.00001
 1079.60    0.00406   0.00001
 1079.70    0.00413   0.00001
 1079.80    0.00420   0.00001
 1079.90    0.00426   0.00001
 1080.00    0.00433   0.00001
 1080.10    0.00440   0.00001
 1080.20    0.00447   0.00001
 1080.30    0.00454   0.00001
 1080.40    0.00461   0.00001
 1080.50    0.00468   0.00001
 1080.60    0.00474   0.00001
 1080.70    0.00481   0.00002
 1080.80    0.00488   0.00002
 1080.90    0.00495   0.00002
 1081.00    0.00502   0.00002
 1081.10    0.00509   0.00002
 1081.20    0.00516   0.00002
 1081.30    0.00523   0.00002
 1081.40    0.00530   0.00002
 1081.50    0.00537   0.00002
 1081.60    0.00544   0.00002
 1081.70    0.00551   0.00002
 1081.80    0.00558   0.00002
 1081.90    0.00565   0.00002
 1082.00    0.00572   0.00002
 1082.10    0.00579   0.00002
 1082.20    0.00586   0.00002
 1082.30    0.00593   0.00002
 1082.40    0.00600   0.00002
 1082.50    0.00607   0.00002
 1082.60    0.00615   0.00002
 1082.70    0.00622   0.00002
 1082.80    0.00629   0.00002
 1082.90    0.00636   0.00002
 1083.00    0.00643   0.00002
 1083.10    0.00650   0.00002
 1083.20    0.00658   0.00002
 1083.30    0.00665   0.00002
 1083.40    0.00672   0.00002
 1083.50    0.00679   0.00002
 1083.60    0.00686   0.00002
 1083.70    0.00694   0.00002
 1083.80    0.00701   0.00002
 1083.90    0.00708   0.00002
