   W          M2-(pi0_p)
 (MeV)       Re        Im
 1073.30    0.00002   0.00000
 1073.40    0.00004   0.00000
 1073.50    0.00007   0.00000
 1073.60    0.00010   0.00000
 1073.70    0.00012   0.00000
 1073.80    0.00015   0.00000
 1073.90    0.00018   0.00000
 1074.00    0.00020   0.00000
 1074.10    0.00023   0.00000
 1074.20    0.00026   0.00000
 1074.30    0.00028   0.00000
 1074.40    0.00031   0.00000
 1074.50    0.00034   0.00000
 1074.60    0.00036   0.00000
 1074.70    0.00039   0.00000
 1074.80    0.00042   0.00000
 1074.90    0.00045   0.00000
 1075.00    0.00047   0.00000
 1075.10    0.00050   0.00000
 1075.20    0.00053   0.00000
 1075.30    0.00055   0.00000
 1075.40    0.00058   0.00000
 1075.50    0.00061   0.00000
 1075.60    0.00063   0.00000
 1075.70    0.00066   0.00000
 1075.80    0.00069   0.00000
 1075.90    0.00071   0.00000
 1076.00    0.00074   0.00000
 1076.10    0.00077   0.00000
 1076.20    0.00079   0.00000
 1076.30    0.00082   0.00000
 1076.40    0.00085   0.00000
 1076.50    0.00088   0.00000
 1076.60    0.00090   0.00000
 1076.70    0.00093   0.00000
 1076.80    0.00096   0.00000
 1076.90    0.00098   0.00000
 1077.00    0.00101   0.00000
 1077.10    0.00104   0.00000
 1077.20    0.00107   0.00000
 1077.30    0.00109   0.00000
 1077.40    0.00112   0.00000
 1077.50    0.00115   0.00000
 1077.60    0.00117   0.00000
 1077.70    0.00120   0.00000
 1077.80    0.00123   0.00000
 1077.90    0.00125   0.00000
 1078.00    0.00128   0.00000
 1078.10    0.00131   0.00000
 1078.20    0.00134   0.00000
 1078.30    0.00136   0.00000
 1078.40    0.00139   0.00000
 1078.50    0.00142   0.00000
 1078.60    0.00145   0.00000
 1078.70    0.00147   0.00000
 1078.80    0.00150   0.00000
 1078.90    0.00153   0.00000
 1079.00    0.00155   0.00000
 1079.10    0.00158   0.00000
 1079.20    0.00161   0.00000
 1079.30    0.00164   0.00000
 1079.40    0.00166   0.00000
 1079.50    0.00169   0.00000
 1079.60    0.00172   0.00000
 1079.70    0.00174   0.00000
 1079.80    0.00177   0.00000
 1079.90    0.00180   0.00000
 1080.00    0.00183   0.00000
 1080.10    0.00185   0.00000
 1080.20    0.00188   0.00000
 1080.30    0.00191   0.00000
 1080.40    0.00194   0.00000
 1080.50    0.00196   0.00000
 1080.60    0.00199   0.00000
 1080.70    0.00202   0.00000
 1080.80    0.00205   0.00000
 1080.90    0.00207   0.00000
 1081.00    0.00210   0.00000
 1081.10    0.00213   0.00000
 1081.20    0.00216   0.00000
 1081.30    0.00218   0.00000
 1081.40    0.00221   0.00000
 1081.50    0.00224   0.00000
 1081.60    0.00227   0.00000
 1081.70    0.00229   0.00000
 1081.80    0.00232   0.00000
 1081.90    0.00235   0.00000
 1082.00    0.00238   0.00000
 1082.10    0.00240   0.00000
 1082.20    0.00243   0.00000
 1082.30    0.00246   0.00000
 1082.40    0.00249   0.00000
 1082.50    0.00251   0.00000
 1082.60    0.00254   0.00000
 1082.70    0.00257   0.00000
