   W          M2+(pi0_p)
 (MeV)       Re        Im
 1073.30   -0.00007   0.00000
 1073.40   -0.00018   0.00000
 1073.50   -0.00029   0.00000
 1073.60   -0.00040   0.00000
 1073.70   -0.00052   0.00000
 1073.80   -0.00063   0.00000
 1073.90   -0.00074   0.00000
 1074.00   -0.00085   0.00000
 1074.10   -0.00096   0.00000
 1074.20   -0.00107   0.00000
 1074.30   -0.00118   0.00000
 1074.40   -0.00130   0.00000
 1074.50   -0.00141   0.00000
 1074.60   -0.00152   0.00000
 1074.70   -0.00163   0.00000
 1074.80   -0.00174   0.00000
 1074.90   -0.00186   0.00000
 1075.00   -0.00197   0.00000
 1075.10   -0.00208   0.00000
 1075.20   -0.00219   0.00000
 1075.30   -0.00230   0.00000
 1075.40   -0.00242   0.00000
 1075.50   -0.00253   0.00000
 1075.60   -0.00264   0.00000
 1075.70   -0.00275   0.00000
 1075.80   -0.00287   0.00000
 1075.90   -0.00298   0.00000
 1076.00   -0.00309   0.00000
 1076.10   -0.00320   0.00000
 1076.20   -0.00332   0.00000
 1076.30   -0.00343   0.00000
 1076.40   -0.00354   0.00000
 1076.50   -0.00365   0.00000
 1076.60   -0.00377   0.00000
 1076.70   -0.00388   0.00000
 1076.80   -0.00399   0.00000
 1076.90   -0.00410   0.00000
 1077.00   -0.00422   0.00000
 1077.10   -0.00433   0.00000
 1077.20   -0.00444   0.00000
 1077.30   -0.00456   0.00000
 1077.40   -0.00467   0.00000
 1077.50   -0.00478   0.00000
 1077.60   -0.00490   0.00000
 1077.70   -0.00501   0.00000
 1077.80   -0.00512   0.00000
 1077.90   -0.00524   0.00000
 1078.00   -0.00535   0.00000
 1078.10   -0.00546   0.00000
 1078.20   -0.00558   0.00000
 1078.30   -0.00569   0.00000
 1078.40   -0.00580   0.00000
 1078.50   -0.00592   0.00000
 1078.60   -0.00603   0.00000
 1078.70   -0.00614   0.00000
 1078.80   -0.00626   0.00000
 1078.90   -0.00637   0.00000
 1079.00   -0.00649   0.00000
 1079.10   -0.00660   0.00000
 1079.20   -0.00671   0.00000
 1079.30   -0.00683   0.00000
 1079.40   -0.00694   0.00000
 1079.50   -0.00706   0.00000
 1079.60   -0.00717   0.00000
 1079.70   -0.00728   0.00000
 1079.80   -0.00740   0.00000
 1079.90   -0.00751   0.00000
 1080.00   -0.00763   0.00000
 1080.10   -0.00774   0.00000
 1080.20   -0.00785   0.00000
 1080.30   -0.00797   0.00000
 1080.40   -0.00808   0.00000
 1080.50   -0.00820   0.00000
 1080.60   -0.00831   0.00000
 1080.70   -0.00843   0.00000
 1080.80   -0.00854   0.00000
 1080.90   -0.00866   0.00000
 1081.00   -0.00877   0.00000
 1081.10   -0.00889   0.00000
 1081.20   -0.00900   0.00000
 1081.30   -0.00912   0.00000
 1081.40   -0.00923   0.00000
 1081.50   -0.00935   0.00000
 1081.60   -0.00946   0.00000
 1081.70   -0.00958   0.00000
 1081.80   -0.00969   0.00000
 1081.90   -0.00981   0.00000
 1082.00   -0.00992   0.00000
 1082.10   -0.01004   0.00000
 1082.20   -0.01015   0.00000
 1082.30   -0.01027   0.00000
 1082.40   -0.01038   0.00000
 1082.50   -0.01050   0.00000
 1082.60   -0.01061   0.00000
 1082.70   -0.01073   0.00000
 1082.80   -0.01085   0.00000
 1082.90   -0.01096   0.00000
 1083.00   -0.01108   0.00000
 1083.10   -0.01119   0.00000
 1083.20   -0.01131   0.00000
 1083.30   -0.01142   0.00000
 1083.40   -0.01154   0.00000
 1083.50   -0.01166   0.00000
 1083.60   -0.01177   0.00000
 1083.70   -0.01189   0.00000
 1083.80   -0.01200   0.00000
 1083.90   -0.01212   0.00000
 1084.00   -0.01224   0.00000
 1084.10   -0.01235   0.00000
 1084.20   -0.01247   0.00000
 1084.30   -0.01258   0.00000
 1084.40   -0.01270   0.00000
 1084.50   -0.01282   0.00000
 1084.60   -0.01293   0.00000
 1084.70   -0.01305   0.00000
 1084.80   -0.01317   0.00000
 1084.90   -0.01328   0.00000
 1085.00   -0.01340   0.00000
 1085.10   -0.01352   0.00000
 1085.20   -0.01363   0.00000
 1085.30   -0.01375   0.00000
 1085.40   -0.01387   0.00000
 1085.50   -0.01398   0.00000
 1085.60   -0.01410   0.00000
 1085.70   -0.01422   0.00000
 1085.80   -0.01433   0.00000
 1085.90   -0.01445   0.00000
 1086.00   -0.01457   0.00000
 1086.10   -0.01468   0.00000
 1086.20   -0.01480   0.00000
 1086.30   -0.01492   0.00000
 1086.40   -0.01504   0.00000
 1086.50   -0.01515   0.00000
 1086.60   -0.01527   0.00000
 1086.70   -0.01539   0.00000
 1086.80   -0.01550   0.00000
 1086.90   -0.01562   0.00000
 1087.00   -0.01574   0.00000
 1087.10   -0.01586   0.00000
 1087.20   -0.01597   0.00000
 1087.30   -0.01609   0.00000
 1087.40   -0.01621   0.00000
