hB ChPT p^4 PRL111

     elab           Re E0+        Im E0+         Re P1        Re P2         Re P3         Re E1+        Re M1+        Re M1- 
    145.0000       -1.0254        0.0000       10.3988      -11.0670       10.0419       -0.1114        6.9249       -3.8079
    145.5000       -1.0018        0.0000       10.3968      -11.0780       10.0926       -0.1135        6.9433       -3.7941
    146.0000       -0.9771        0.0000       10.3948      -11.0891       10.1433       -0.1157        6.9618       -3.7802
    146.5000       -0.9510        0.0000       10.3928      -11.1002       10.1940       -0.1179        6.9802       -3.7663
    147.0000       -0.9235        0.0000       10.3909      -11.1112       10.2447       -0.1201        6.9986       -3.7525
    147.5000       -0.8940        0.0000       10.3889      -11.1223       10.2954       -0.1222        7.0170       -3.7386
    148.0000       -0.8624        0.0000       10.3869      -11.1334       10.3461       -0.1244        7.0354       -3.7248
    148.5000       -0.8281        0.0000       10.3850      -11.1445       10.3968       -0.1266        7.0538       -3.7109
    149.0000       -0.7903        0.0000       10.3830      -11.1555       10.4474       -0.1288        7.0722       -3.6970
    149.5000       -0.7480        0.0000       10.3810      -11.1666       10.4981       -0.1309        7.0906       -3.6832
    150.0000       -0.6990        0.0000       10.3791      -11.1777       10.5488       -0.1331        7.1091       -3.6693
    150.5000       -0.6394        0.0000       10.3771      -11.1887       10.5995       -0.1353        7.1275       -3.6554
    151.0000       -0.5584        0.0000       10.3751      -11.1998       10.6502       -0.1374        7.1459       -3.6416
    151.5000       -0.3767        0.0712       10.3731      -11.2109       10.7009       -0.1396        7.1643       -3.6277
    152.0000       -0.3838        0.2132       10.3712      -11.2219       10.7516       -0.1418        7.1827       -3.6138
    152.5000       -0.3909        0.2925       10.3692      -11.2330       10.8023       -0.1440        7.2011       -3.6000
    153.0000       -0.3980        0.3540       10.3672      -11.2441       10.8530       -0.1461        7.2195       -3.5861
    153.5000       -0.4050        0.4059       10.3653      -11.2552       10.9037       -0.1483        7.2380       -3.5723
    154.0000       -0.4121        0.4515       10.3633      -11.2662       10.9544       -0.1505        7.2564       -3.5584
    154.5000       -0.4192        0.4926       10.3613      -11.2773       11.0050       -0.1527        7.2748       -3.5445
    155.0000       -0.4263        0.5302       10.3594      -11.2884       11.0557       -0.1548        7.2932       -3.5307
    155.5000       -0.4334        0.5650       10.3574      -11.2994       11.1064       -0.1570        7.3116       -3.5168
    156.0000       -0.4405        0.5975       10.3554      -11.3105       11.1571       -0.1592        7.3300       -3.5029
    156.5000       -0.4476        0.6281       10.3534      -11.3216       11.2078       -0.1614        7.3484       -3.4891
    157.0000       -0.4547        0.6570       10.3515      -11.3326       11.2585       -0.1635        7.3669       -3.4752
    157.5000       -0.4618        0.6844       10.3495      -11.3437       11.3092       -0.1657        7.3853       -3.4613
    158.0000       -0.4689        0.7105       10.3475      -11.3548       11.3599       -0.1679        7.4037       -3.4475
    158.5000       -0.4760        0.7355       10.3456      -11.3659       11.4106       -0.1700        7.4221       -3.4336
    159.0000       -0.4831        0.7595       10.3436      -11.3769       11.4613       -0.1722        7.4405       -3.4197
    159.5000       -0.4902        0.7825       10.3416      -11.3880       11.5120       -0.1744        7.4589       -3.4059
