   W           E1+(pi0_p)
 (MeV)       Re          Im
1073.52    -0.008100    0.000000
1073.59    -0.008976    0.000000
1073.67    -0.010027    0.000000
1073.76    -0.011085    0.000000
1073.86    -0.012150    0.000000
1073.96    -0.013224    0.000000
1074.08    -0.014314    0.000000
1074.20    -0.015415    0.000000
1074.33    -0.016529    0.000000
1074.47    -0.017661    0.000000
1074.62    -0.018815    0.000000
1074.77    -0.019989    0.000000
1074.94    -0.021190    0.000000
1075.11    -0.022418    0.000000
1075.29    -0.023671    0.000000
1075.48    -0.024953    0.000000
1075.67    -0.026261    0.000000
1075.88    -0.027600    0.000000
1076.09    -0.028974    0.000000
1076.31    -0.030398    0.000000
1076.54    -0.031868    0.000000
1076.78    -0.033385    0.000000
1077.02    -0.034951    0.000000
1077.27    -0.036586    0.000000
1077.54    -0.038320    0.000000
1077.80    -0.040129    0.000000
1078.08    -0.041896    0.000000
1078.36    -0.044103    0.000000
1078.66    -0.046635    0.000000
1078.96    -0.046633    0.000000
1079.26    -0.046118    0.000000
1079.58    -0.048025    0.000000
1079.90    -0.049917    0.000000
1080.23    -0.051610    0.000000
1080.57    -0.053437    0.000000
1080.92    -0.055280    0.000000
1081.27    -0.057139    0.000000
1081.63    -0.059042    0.000000
1082.00    -0.060973    0.000000
1082.37    -0.062930    0.000000
1082.76    -0.064920    0.000000
1083.15    -0.066926    0.000000
1083.54    -0.068951    0.000000
1083.95    -0.070984    0.000000
1084.36    -0.073026    0.000000
1084.78    -0.075085    0.000000
1085.20    -0.077151    0.000000
1085.63    -0.079238    0.000000
1086.07    -0.081333    0.000000
1086.52    -0.083448    0.000000
1086.97    -0.085590    0.000000
1087.43    -0.087740    0.000000
1087.90    -0.089939    0.000000
1088.37    -0.092152    0.000000
1088.85    -0.094421    0.000000
1089.34    -0.096714    0.000000
1089.83    -0.099061    0.000000
1090.33    -0.101446    0.000000
1090.84    -0.103879    0.000000
1091.35    -0.106363    0.000000
1091.87    -0.108903    0.000000
1092.40    -0.111486    0.000000
1092.93    -0.114127    0.000000
1093.47    -0.116818    0.000000
1094.01    -0.119574    0.000000
1094.56    -0.122379    0.000000
1095.12    -0.125261    0.000000
1095.68    -0.128191    0.000000
