   W          E2-(pi0_p)
 (MeV)       Re        Im
 1073.30   -0.00080   0.00000
 1073.40   -0.00206   0.00001
 1073.50   -0.00332   0.00002
 1073.60   -0.00458   0.00002
 1073.70   -0.00583   0.00003
 1073.80   -0.00708   0.00003
 1073.90   -0.00833   0.00004
 1074.00   -0.00958   0.00004
 1074.10   -0.01083   0.00005
 1074.20   -0.01208   0.00006
 1074.30   -0.01333   0.00006
 1074.40   -0.01457   0.00007
 1074.50   -0.01581   0.00007
 1074.60   -0.01705   0.00008
 1074.70   -0.01829   0.00009
 1074.80   -0.01953   0.00009
 1074.90   -0.02076   0.00010
 1075.00   -0.02200   0.00010
 1075.10   -0.02323   0.00011
 1075.20   -0.02446   0.00012
 1075.30   -0.02569   0.00012
 1075.40   -0.02692   0.00013
 1075.50   -0.02814   0.00014
 1075.60   -0.02937   0.00014
 1075.70   -0.03059   0.00015
 1075.80   -0.03181   0.00015
 1075.90   -0.03303   0.00016
 1076.00   -0.03425   0.00017
 1076.10   -0.03547   0.00017
 1076.20   -0.03668   0.00018
 1076.30   -0.03790   0.00019
 1076.40   -0.03911   0.00019
 1076.50   -0.04032   0.00020
 1076.60   -0.04153   0.00021
 1076.70   -0.04274   0.00021
 1076.80   -0.04394   0.00022
 1076.90   -0.04515   0.00022
 1077.00   -0.04635   0.00023
 1077.10   -0.04755   0.00024
 1077.20   -0.04875   0.00024
 1077.30   -0.04995   0.00025
 1077.40   -0.05115   0.00026
 1077.50   -0.05234   0.00026
 1077.60   -0.05354   0.00027
 1077.70   -0.05473   0.00028
 1077.80   -0.05592   0.00028
 1077.90   -0.05711   0.00029
 1078.00   -0.05830   0.00030
 1078.10   -0.05948   0.00031
 1078.20   -0.06067   0.00031
 1078.30   -0.06185   0.00032
 1078.40   -0.06303   0.00033
 1078.50   -0.06421   0.00033
 1078.60   -0.06539   0.00034
 1078.70   -0.06657   0.00035
 1078.80   -0.06775   0.00035
 1078.90   -0.06892   0.00036
 1079.00   -0.07009   0.00037
 1079.10   -0.07126   0.00037
 1079.20   -0.07243   0.00038
 1079.30   -0.07360   0.00039
 1079.40   -0.07477   0.00040
 1079.50   -0.07594   0.00040
 1079.60   -0.07710   0.00041
 1079.70   -0.07826   0.00042
 1079.80   -0.07942   0.00042
 1079.90   -0.08058   0.00043
 1080.00   -0.08174   0.00044
 1080.10   -0.08290   0.00045
 1080.20   -0.08405   0.00045
 1080.30   -0.08521   0.00046
 1080.40   -0.08636   0.00047
 1080.50   -0.08751   0.00048
 1080.60   -0.08866   0.00048
 1080.70   -0.08981   0.00049
 1080.80   -0.09096   0.00050
 1080.90   -0.09210   0.00051
 1081.00   -0.09325   0.00051
 1081.10   -0.09439   0.00052
 1081.20   -0.09553   0.00053
 1081.30   -0.09667   0.00054
 1081.40   -0.09781   0.00054
 1081.50   -0.09894   0.00055
 1081.60   -0.10008   0.00056
 1081.70   -0.10121   0.00057
 1081.80   -0.10234   0.00057
 1081.90   -0.10348   0.00058
 1082.00   -0.10461   0.00059
 1082.10   -0.10573   0.00060
 1082.20   -0.10686   0.00061
 1082.30   -0.10799   0.00061
 1082.40   -0.10911   0.00062
 1082.50   -0.11023   0.00063
 1082.60   -0.11135   0.00064
 1082.70   -0.11247   0.00064
 1082.80   -0.11359   0.00065
 1082.90   -0.11471   0.00066
 1083.00   -0.11582   0.00067
 1083.10   -0.11694   0.00068
 1083.20   -0.11805   0.00068
 1083.30   -0.11916   0.00069
 1083.40   -0.12027   0.00070
 1083.50   -0.12138   0.00071
 1083.60   -0.12249   0.00072
 1083.70   -0.12360   0.00073
 1083.80   -0.12470   0.00073
 1083.90   -0.12580   0.00074
 1084.00   -0.12691   0.00075
 1084.10   -0.12801   0.00076
 1084.20   -0.12911   0.00077
 1084.30   -0.13020   0.00077
 1084.40   -0.13130   0.00078
 1084.50   -0.13239   0.00079
 1084.60   -0.13349   0.00080
 1084.70   -0.13458   0.00081
 1084.80   -0.13567   0.00082
 1084.90   -0.13676   0.00083
 1085.00   -0.13785   0.00083
 1085.10   -0.13894   0.00084
 1085.20   -0.14002   0.00085
 1085.30   -0.14111   0.00086
 1085.40   -0.14219   0.00087
 1085.50   -0.14327   0.00088
 1085.60   -0.14435   0.00089
 1085.70   -0.14543   0.00089
 1085.80   -0.14651   0.00090
 1085.90   -0.14758   0.00091
 1086.00   -0.14866   0.00092
 1086.10   -0.14973   0.00093
 1086.20   -0.15081   0.00094
 1086.30   -0.15188   0.00095
 1086.40   -0.15295   0.00096
 1086.50   -0.15401   0.00096
 1086.60   -0.15508   0.00097
 1086.70   -0.15615   0.00098
 1086.80   -0.15721   0.00099
 1086.90   -0.15827   0.00100
 1087.00   -0.15934   0.00101
 1087.10   -0.16040   0.00102
 1087.20   -0.16146   0.00103
 1087.30   -0.16251   0.00104
 1087.40   -0.16357   0.00105
 1087.50   -0.16463   0.00105
 1087.60   -0.16568   0.00106
 1087.70   -0.16673   0.00107
 1087.80   -0.16778   0.00108
 1087.90   -0.16883   0.00109
 1088.00   -0.16988   0.00110
 1088.10   -0.17093   0.00111
 1088.20   -0.17198   0.00112
 1088.30   -0.17302   0.00113
 1088.40   -0.17407   0.00114
 1088.50   -0.17511   0.00115
 1088.60   -0.17615   0.00116
 1088.70   -0.17719   0.00117
 1088.80   -0.17823   0.00118
 1088.90   -0.17926   0.00119
 1089.00   -0.18030   0.00119
 1089.10   -0.18134   0.00120
 1089.20   -0.18237   0.00121
 1089.30   -0.18340   0.00122
 1089.40   -0.18443   0.00123
 1089.50   -0.18546   0.00124
 1089.60   -0.18649   0.00125
 1089.70   -0.18752   0.00126
 1089.80   -0.18854   0.00127
 1089.90   -0.18957   0.00128
 1090.00   -0.19059   0.00129
 1090.10   -0.19161   0.00130
 1090.20   -0.19263   0.00131
 1090.30   -0.19365   0.00132
 1090.40   -0.19467   0.00133
 1090.50   -0.19569   0.00134
 1090.60   -0.19671   0.00135
