   W           M1-(pi0_p)
 (MeV)       Re          Im
1073.52    -0.205270    0.000000
1073.59    -0.226849    0.000000
1073.67    -0.252372    0.000000
1073.76    -0.277853    0.000000
1073.86    -0.303296    0.000000
1073.96    -0.328681    0.000000
1074.08    -0.353977    0.000000
1074.20    -0.379207    0.000000
1074.33    -0.404387    0.000000
1074.47    -0.429499    0.000000
1074.62    -0.454540    0.000000
1074.77    -0.479525    0.000000
1074.94    -0.504438    0.000000
1075.11    -0.529280    0.000000
1075.29    -0.554055    0.000000
1075.48    -0.578750    0.000000
1075.67    -0.603371    0.000000
1075.88    -0.627905    0.000000
1076.09    -0.652356    0.000000
1076.31    -0.676712    0.000000
1076.54    -0.700979    0.000000
1076.78    -0.725155    0.000000
1077.02    -0.749242    0.000000
1077.27    -0.773231    0.000000
1077.54    -0.797114    0.000000
1077.80    -0.820888    0.000000
1078.08    -0.844576    0.000000
1078.36    -0.868123    0.000000
1078.66    -0.891525    0.000000
1078.96    -0.915083    0.000000
1079.26    -0.938564    0.000000
1079.58    -0.961648    0.000000
1079.90    -0.984626    0.000000
1080.23    -1.007497    0.000000
1080.57    -1.030214    0.000000
1080.92    -1.052805    0.000000
1081.27    -1.075271    0.000000
1081.63    -1.097587    0.000000
1082.00    -1.119774    0.000000
1082.37    -1.141821    0.000000
1082.76    -1.163714    0.000000
1083.15    -1.185479    0.000000
1083.54    -1.207083    0.000000
1083.95    -1.228540    0.000000
1084.36    -1.249855    0.000000
1084.78    -1.271012    0.000000
1085.20    -1.292000    0.000000
1085.63    -1.312846    0.000000
1086.07    -1.333539    0.000000
1086.52    -1.354063    0.000000
1086.97    -1.374421    0.000000
1087.43    -1.394628    0.000000
1087.90    -1.414651    0.000000
1088.37    -1.434519    0.000000
1088.85    -1.454209    0.000000
1089.34    -1.473738    0.000000
1089.83    -1.493086    0.000000
1090.33    -1.512259    0.000000
1090.84    -1.531268    0.000000
1091.35    -1.550095    0.000000
1091.87    -1.568749    0.000000
1092.40    -1.587216    0.000000
1092.93    -1.605505    0.000000
1093.47    -1.623623    0.000000
1094.01    -1.641554    0.000000
1094.56    -1.659289    0.000000
1095.12    -1.676846    0.000000
1095.68    -1.694212    0.000000
