   W           M1+(pi0_p)
 (MeV)       Re          Im
1073.52     0.371480    0.000000
1073.59     0.410824    0.000000
1073.67     0.457549    0.000000
1073.76     0.504320    0.000000
1073.86     0.551130    0.000000
1073.96     0.597995    0.000000
1074.08     0.644947    0.000000
1074.20     0.691972    0.000000
1074.33     0.739079    0.000000
1074.47     0.786319    0.000000
1074.62     0.833710    0.000000
1074.77     0.881227    0.000000
1074.94     0.928912    0.000000
1075.11     0.976768    0.000000
1075.29     1.024791    0.000000
1075.48     1.073025    0.000000
1075.67     1.121449    0.000000
1075.88     1.170102    0.000000
1076.09     1.218979    0.000000
1076.31     1.268109    0.000000
1076.54     1.317495    0.000000
1076.78     1.367173    0.000000
1077.02     1.417130    0.000000
1077.27     1.467400    0.000000
1077.54     1.518091    0.000000
1077.80     1.569132    0.000000
1078.08     1.620125    0.000000
1078.36     1.672510    0.000000
1078.66     1.725895    0.000000
1078.96     1.771577    0.000000
1079.26     1.816263    0.000000
1079.58     1.869283    0.000000
1079.90     1.922514    0.000000
1080.23     1.975421    0.000000
1080.57     2.029083    0.000000
1080.92     2.083061    0.000000
1081.27     2.137489    0.000000
1081.63     2.192364    0.000000
1082.00     2.247684    0.000000
1082.37     2.303468    0.000000
1082.76     2.359712    0.000000
1083.15     2.416403    0.000000
1083.54     2.473562    0.000000
1083.95     2.531204    0.000000
1084.36     2.589308    0.000000
1084.78     2.647907    0.000000
1085.20     2.707002    0.000000
1085.63     2.766612    0.000000
1086.07     2.826745    0.000000
1086.52     2.887404    0.000000
1086.97     2.948629    0.000000
1087.43     3.010408    0.000000
1087.90     3.072768    0.000000
1088.37     3.135740    0.000000
1088.85     3.199323    0.000000
1089.34     3.263525    0.000000
1089.83     3.328357    0.000000
1090.33     3.393840    0.000000
1090.84     3.459997    0.000000
1091.35     3.526820    0.000000
1091.87     3.594321    0.000000
1092.40     3.662510    0.000000
1092.93     3.731402    0.000000
1093.47     3.801003    0.000000
1094.01     3.871343    0.000000
1094.56     3.942399    0.000000
1095.12     4.014217    0.000000
1095.68     4.086796    0.000000
