   W          M2-(pi0_p)
 (MeV)       Re        Im
 1073.30    0.00004   0.00000
 1073.40    0.00010   0.00000
 1073.50    0.00016   0.00000
 1073.60    0.00022   0.00000
 1073.70    0.00028   0.00000
 1073.80    0.00034   0.00000
 1073.90    0.00040   0.00000
 1074.00    0.00046   0.00000
 1074.10    0.00052   0.00000
 1074.20    0.00058   0.00000
 1074.30    0.00064   0.00000
 1074.40    0.00071   0.00000
 1074.50    0.00077   0.00000
 1074.60    0.00083   0.00000
 1074.70    0.00089   0.00000
 1074.80    0.00095   0.00000
 1074.90    0.00101   0.00000
 1075.00    0.00107   0.00000
 1075.10    0.00114   0.00000
 1075.20    0.00120   0.00000
 1075.30    0.00126   0.00000
 1075.40    0.00132   0.00000
 1075.50    0.00139   0.00000
 1075.60    0.00145   0.00000
 1075.70    0.00151   0.00000
 1075.80    0.00157   0.00000
 1075.90    0.00164   0.00000
 1076.00    0.00170   0.00000
 1076.10    0.00176   0.00000
 1076.20    0.00183   0.00000
 1076.30    0.00189   0.00000
 1076.40    0.00195   0.00000
 1076.50    0.00202   0.00000
 1076.60    0.00208   0.00000
 1076.70    0.00214   0.00000
 1076.80    0.00221   0.00000
 1076.90    0.00227   0.00000
 1077.00    0.00234   0.00000
 1077.10    0.00240   0.00000
 1077.20    0.00247   0.00000
 1077.30    0.00253   0.00000
 1077.40    0.00260   0.00000
 1077.50    0.00266   0.00000
 1077.60    0.00273   0.00000
 1077.70    0.00279   0.00000
 1077.80    0.00286   0.00000
 1077.90    0.00292   0.00000
 1078.00    0.00299   0.00000
 1078.10    0.00305   0.00000
 1078.20    0.00312   0.00000
 1078.30    0.00318   0.00000
 1078.40    0.00325   0.00000
 1078.50    0.00331   0.00000
 1078.60    0.00338   0.00000
 1078.70    0.00345   0.00000
 1078.80    0.00351   0.00000
 1078.90    0.00358   0.00000
 1079.00    0.00365   0.00000
 1079.10    0.00371   0.00000
 1079.20    0.00378   0.00000
 1079.30    0.00385   0.00000
 1079.40    0.00391   0.00000
 1079.50    0.00398   0.00000
 1079.60    0.00405   0.00000
 1079.70    0.00412   0.00000
 1079.80    0.00418   0.00000
 1079.90    0.00425   0.00000
 1080.00    0.00432   0.00000
 1080.10    0.00439   0.00000
 1080.20    0.00446   0.00000
 1080.30    0.00452   0.00000
 1080.40    0.00459   0.00000
 1080.50    0.00466   0.00000
 1080.60    0.00473   0.00000
 1080.70    0.00480   0.00000
 1080.80    0.00487   0.00000
 1080.90    0.00493   0.00000
 1081.00    0.00500   0.00000
 1081.10    0.00507   0.00000
 1081.20    0.00514   0.00000
 1081.30    0.00521   0.00000
 1081.40    0.00528   0.00000
 1081.50    0.00535   0.00000
 1081.60    0.00542   0.00000
 1081.70    0.00549   0.00000
 1081.80    0.00556   0.00000
 1081.90    0.00563   0.00000
 1082.00    0.00570   0.00000
 1082.10    0.00577   0.00000
 1082.20    0.00584   0.00000
 1082.30    0.00591   0.00000
 1082.40    0.00598   0.00000
 1082.50    0.00605   0.00000
 1082.60    0.00612   0.00000
 1082.70    0.00620   0.00000
 1082.80    0.00627   0.00000
 1082.90    0.00634   0.00000
 1083.00    0.00641   0.00000
 1083.10    0.00648   0.00000
 1083.20    0.00655   0.00000
 1083.30    0.00662   0.00000
 1083.40    0.00670   0.00000
 1083.50    0.00677   0.00000
 1083.60    0.00684   0.00000
 1083.70    0.00691   0.00000
 1083.80    0.00699   0.00000
 1083.90    0.00706   0.00000
